,colgate_male,colgate_female,tuple,palmolive_male,palmolive_female,co_male,co_female,average_male,average_female,male-female
86,-1.9143182,-1.9857905,"('uninfluential', 'influential')",-1.2936447,-1.3347119,-0.4147092,-0.40382868,-1.2075574,-1.2414436,0.0338862
10,-1.817906,-1.8319503,"('unsympathetic', 'sympathetic')",-1.5838932,-1.6052371,-0.12322308,-0.13709071,-1.1750074,-1.191426,0.0164186
63,-1.4219817,-1.5354693,"('unperceptive', 'insightful')",-1.62065,-1.6304924,0.18973963,0.14880158,-0.950964,-1.0057201,0.0547561
35,1.3817089,1.327256,"('corrupt', 'incorrupt')",1.6363696,1.63994,-0.78150266,-0.76572394,0.7455252,0.733824,0.0117012
0,-1.3637446,-1.314077,"('unsociable', 'sociable')",-0.85904825,-0.90351015,0.071292005,0.060155325,-0.717167,-0.7191439,0.0019769
69,1.3196759,1.2787898,"('lazy', 'industrious')",2.8476646,2.802675,-0.40866747,-0.54597515,1.2528909,1.1784965,0.0743944
44,1.2987088,1.4335264,"('prejudiced', 'unprejudiced')",1.0571984,1.0642817,-1.1346266,-1.0454769,0.4070935,0.4841104,-0.0770169
23,-1.2883545,-1.3453637,"('insincere', 'sincere')",-1.7321948,-1.7382485,5.1023192,5.388156,0.6939233,0.7681812,-0.0742579
28,-1.1982131,-1.2952834,"('disloyal', 'loyal')",-0.26723063,-0.31762376,0.83587074,0.8507214,-0.2098577,-0.2540619,0.0442042
57,-1.1850815,-1.2680036,"('unimaginative', 'imaginative')",-1.0234245,-1.1120837,-2.8216834,-3.0015986,-1.6767298,-1.7938954,0.1171656
41,-1.183615,-1.3350108,"('unforgiving', 'forgiving')",-0.81994003,-0.86880696,0.18463945,0.09219211,-0.6063052,-0.7038752,0.09757
48,-1.179632,-1.1345345,"('unintelligent', 'intelligent')",-1.2660782,-1.183956,-0.07705978,-0.00029990543,-0.8409233,-0.7729301,-0.0679932
1,-1.1183803,-1.285512,"('unfriendly', 'friendly')",-0.15529633,-0.15357469,1.2154733,1.2606834,-0.0194011,-0.0594678,0.0400667
38,-1.0130528,-1.1446828,"('untruthful', 'truthful')",-0.60067886,-0.570654,-0.08779341,-0.025329638,-0.567175,-0.5802221,0.0130471
43,-0.9690109,-0.9881564,"('irresponsible', 'responsible')",-1.8194298,-1.8021625,0.50215983,0.6444554,-0.7620936,-0.7152878,-0.0468058
13,-0.96656066,-0.8927207,"('impolite', 'polite')",-0.6017744,-0.5780357,-0.016098186,0.013857223,-0.5281444,-0.4856331,-0.0425113
46,-0.958692,-0.90766925,"('uncompetitive', 'competitive')",-1.5648654,-1.55561,-0.6567367,-0.77262443,-1.060098,-1.0786346,0.0185366
51,-0.94838667,-0.9383637,"('uneducated', 'educated')",-0.8193045,-0.8775505,0.3650228,0.16053733,-0.4675561,-0.5517923,0.0842362
