,danaher_male,danaher_female,tuple,corp_male,corp_female,average_male,average_female,male-female
36,-3.4297073,-3.125321,"('hostile', 'amicable')",-0.6155557,-0.4054865,-2.0226314,-1.7654037,-0.2572277
60,3.174488,2.90686,"('inefficient', 'efficient')",0.23347314,0.15738116,1.7039806,1.5321206,0.17186
31,-2.8351977,-2.7856085,"('evil', 'good')",-0.9221951,-0.81206566,-1.8786964,-1.7988371,-0.0798593
6,-2.8172197,-2.54895,"('distant', 'open')",-0.7161787,-0.6078434,-1.7666992,-1.5783967,-0.1883025
62,2.7382503,2.3137352,"('incompetent', 'brilliant')",0.7527151,0.57812494,1.7454827,1.4459301,0.2995526
85,-2.694335,-2.3635533,"('insignificant', 'prestigious')",-0.40798035,-0.32219905,-1.5511577,-1.3428762,-0.2082815
81,2.6293788,2.1920574,"('submissive', 'aggressive')",-0.49699605,-0.7369698,1.0661914,0.7275438,0.3386476
8,-2.5177088,-2.2466063,"('unaffectionate', 'affectionate')",0.53172785,0.4734218,-0.9929905,-0.8865923,-0.1063982
56,2.3243308,1.9839493,"('impractical', 'practical')",-0.303248,-0.37075374,1.0105414,0.8065978,0.2039436
21,2.287334,1.7367499,"('immoral', 'moral')",-0.27552295,-0.48115146,1.0059055,0.6277992,0.3781063
46,2.266582,1.6347144,"('uncompetitive', 'competitive')",-0.574939,-0.9134677,0.8458215,0.3606233,0.4851982
35,-2.265983,-1.8319788,"('corrupt', 'incorrupt')",-0.60915524,-0.3164111,-1.4375691,-1.0741949,-0.3633742
5,-2.2625628,-2.0315363,"('distant', 'outgoing')",-0.424455,-0.246533,-1.3435088,-1.1390346,-0.2044742
79,-2.2322056,-2.0089974,"('wavering', 'unwavering')",-0.2765628,-0.2491285,-1.2543843,-1.129063,-0.1253213
55,2.1680384,1.6505573,"('incompetent', 'clever')",0.4269889,0.196378,1.2975136,0.9234676,0.374046
52,-2.0016415,-1.7008675,"('irrational', 'rational')",-0.09718258,0.027659077,-1.049412,-0.8366042,-0.2128078
80,1.970993,1.4744669,"('dominated', 'dominating')",-0.6247621,-0.8391967,0.6731155,0.3176351,0.3554804
76,1.8724015,1.6314139,"('anxious', 'daring')",-0.28566408,-0.45553783,0.7933687,0.5879381,0.2054306
14,1.7815522,1.5664866,"('antisocial', 'social')",-0.20082246,-0.10217549,0.7903649,0.7321556,0.0582093
1,-1.7130452,-1.8218061,"('unfriendly', 'friendly')",1.2301177,1.0083401,-0.2414638,-0.406733,0.1652692
9,-1.6991156,-1.4288622,"('unaffectionate', 'caring')",1.1381369,1.0223019,-0.2804894,-0.2032802,-0.0772092
16,-1.6523517,-1.3801024,"('unpopular', 'popular')",0.05013376,0.2716714,-0.801109,-0.5542155,-0.2468935
39,1.6354922,1.7890415,"('exploitative', 'cooperative')",0.19663584,0.15538451,0.916064,0.972213,-0.056149
19,-1.6088582,-1.5571582,"('inhospitable', 'hospitable')",-0.21242657,-0.24063319,-0.9106424,-0.8988957,-0.0117467
66,-1.5560945,-1.6626427,"('inactive', 'active')",-0.014137439,-0.14205402,-0.785116,-0.9023484,0.1172324
65,1.4632251,1.3222123,"('insecure', 'secure')",-0.23791902,-0.25235513,0.6126531,0.5349286,0.0777245
70,1.4623226,1.1289775,"('lethargic', 'energetic')",0.06363197,-0.16116959,0.7629773,0.483904,0.2790733
13,1.4258007,1.1179649,"('impolite', 'polite')",-0.5079003,-0.5942737,0.4589502,0.2618456,0.1971046
75,-1.4002587,-1.1397182,"('meek', 'impulsive')",-0.9530713,-0.780197,-1.1766649,-0.9599576,-0.2167073
