,teradata_male,teradata_female,tuple,corp_male,corp_female,de_male,de_female,average_male,average_female,male-female
10,-1.6562027,-1.8642962,"('unsympathetic', 'sympathetic')",0.09646569,-0.21132901,0.10258285,0.07019274,-0.4857181,-0.6684775,0.1827594
86,-1.5721952,-1.8581388,"('uninfluential', 'influential')",0.27178133,0.04444195,0.37547582,-0.0008388907,-0.3083127,-0.6048452,0.2965325
53,-1.4654391,-1.4680102,"('uncreative', 'creative')",-0.3476699,-0.45173517,0.66219056,0.6500763,-0.3836395,-0.423223,0.0395835
23,-1.3990159,-1.5299131,"('insincere', 'sincere')",0.63500416,0.45430735,6.885349,6.793003,2.0404456,1.9057991,0.1346465
73,1.269858,1.4318249,"('helpless', 'self-reliant')",1.1468697,1.2770363,-3.9418235,-3.6597536,-0.5083653,-0.3169641,-0.1914012
0,-1.1855339,-1.7387717,"('unsociable', 'sociable')",1.1457715,0.6783097,0.07190016,-0.42394242,0.0107126,-0.4948015,0.5055141
28,-1.1846666,-1.3335415,"('disloyal', 'loyal')",0.3101236,0.041127626,0.84832835,0.67302376,-0.0087382,-0.2064634,0.1977252
9,-1.1791933,-1.2411485,"('unaffectionate', 'caring')",0.16427407,0.2265393,1.0445794,1.0810744,0.0098867,0.022155,-0.0122683
45,-1.1567314,-1.276303,"('incompetent', 'competent')",0.83584327,0.54162467,-0.16541524,-0.5051518,-0.1621011,-0.4132768,0.2511757
77,-1.0984858,-1.3202771,"('unmotivated', 'motivated')",0.32636613,0.09385906,-0.9525068,-1.097541,-0.5748755,-0.774653,0.1997775
57,-0.97200406,-1.0083965,"('unimaginative', 'imaginative')",0.23532146,0.027165443,-2.7825387,-2.8845415,-1.1730738,-1.2885909,0.1155171
1,-0.92434174,-0.9164669,"('unfriendly', 'friendly')",0.027835049,-0.01515574,1.5366466,1.5052433,0.21338,0.1912069,0.0221731
43,-0.89624125,-1.1580465,"('irresponsible', 'responsible')",0.9342132,0.6414614,0.71391404,0.5871499,0.2506287,0.0235216,0.2271071
2,0.8821189,0.6524661,"('unlikable', 'likable')",1.4407818,1.2578598,0.79585356,0.7550002,1.0395848,0.888442,0.1511428
31,-0.8652904,-0.6120802,"('evil', 'good')",-1.3323015,-1.3072966,-1.4332099,-1.4342815,-1.2102672,-1.1178861,-0.0923811
19,-0.8550727,-0.74554765,"('inhospitable', 'hospitable')",-0.91702175,-0.85226464,-0.40282798,-0.33955938,-0.7249742,-0.6457906,-0.0791836
24,-0.8145885,-1.0170808,"('dishonest', 'honest')",0.09760858,-0.05188927,1.1766765,1.0263957,0.1532322,-0.0141915,0.1674237
75,0.7899587,0.97487855,"('meek', 'impulsive')",-1.4029387,-1.0953372,-0.46686178,-0.32986212,-0.3599473,-0.1501069,-0.2098404
42,0.7651087,0.710346,"('unreliable', 'reliable')",1.1714267,1.0462896,-3.1905613,-2.9218278,-0.4180086,-0.3883974,-0.0296112
65,-0.7539713,-0.95985717,"('insecure', 'secure')",0.963577,0.6176746,-0.067838736,0.030566521,0.0472557,-0.103872,0.1511277
66,-0.73540646,-1.105385,"('inactive', 'active')",-1.426554,-1.4846106,0.009365607,-0.112164885,-0.7175316,-0.9007201,0.1831885
47,-0.71498287,-0.6347545,"('stupid', 'smart')",0.34847048,0.29691467,5.5622344,5.4977922,1.7319074,1.7199842,0.0119232
87,-0.70786023,-0.99866545,"('unsuccessful', 'successful')",1.4019673,1.2408633,0.8153483,0.65929425,0.5031518,0.3004974,0.2026544
11,-0.6987543,-0.81453663,"('unhelpful', 'helpful')",1.0043304,1.013848,1.8251948,1.8259135,0.710257,0.675075,0.035182
61,-0.67238027,-0.9255444,"('illogical', 'logical')",0.80775857,0.3481682,0.36372858,0.19335422,0.166369,-0.1280073,0.2943763
48,-0.6174828,-0.6007949,"('unintelligent', 'intelligent')",0.7117741,0.85184133,0.40018356,0.35432777,0.164825,0.2017914,-0.0369664
13,-0.60970855,-0.681465,"('impolite', 'polite')",0.17724578,-0.017998405,-0.65353614,-0.5627554,-0.3619996,-0.4207396,0.05874
62,-0.5968736,-0.51896805,"('incompetent', 'brilliant')",1.8277173,1.7374121,0.5454511,0.56899816,0.5920983,0.5958141,-0.0037158
79,-0.58681244,-0.54109883,"('wavering', 'unwavering')",-2.0333068,-1.988089,-0.14525692,-0.05944533,-0.9217921,-0.8628777,-0.0589144
38,-0.5590984,-0.65494424,"('untruthful', 'truthful')",-0.80286515,-0.8359416,0.773373,0.6554084,-0.1961968,-0.2784925,0.0822957
35,0.5525897,0.6362988,"('corrupt', 'incorrupt')",-1.837502,-1.713362,-0.85673624,-0.9544964,-0.7138828,-0.6771865,-0.0366963
55,-0.54502666,-0.60965025,"('incompetent', 'clever')",1.5976435,1.2381293,0.22385669,0.022069082,0.4254912,0.2168494,0.2086418
29,-0.52055365,-0.6529288,"('unfair', 'fair')",-0.18194763,-0.25975814,-0.4665986,-0.5209876,-0.3897,-0.4778915,0.0881915
12,-0.520047,-0.53351414,"('unsupportive', 'supportive')",0.5319869,0.5369548,-1.8823254,-1.9174769,-0.6234618,-0.6380121,0.0145503
44,0.51513755,0.5375484,"('prejudiced', 'unprejudiced')",-0.3765931,-0.30173963,-1.0867606,-1.0678557,-0.3160721,-0.277349,-0.0387231
7,-0.5142071,-0.740742,"('insensitive', 'sensitive')",0.98390764,0.67874074,0.93594116,0.7351347,0.4685472,0.2243778,0.2441694
56,-0.5130879,-0.85962087,"('impractical', 'practical')",1.6654489,1.1954349,0.25279438,0.023341145,0.4683851,0.1197184,0.3486667
50,0.49608192,0.5504263,"('clumsy', 'skillful')",-0.44960728,-0.32407692,0.41488543,0.5015603,0.1537867,0.2426366,-0.0888499
85,0.47267768,0.48486263,"('insignificant', 'prestigious')",-1.569318,-1.3125187,0.1667293,0.18566044,-0.3099703,-0.2139986,-0.0959717
67,0.47061408,0.32713678,"('doubtful', 'determined')",0.16737515,0.15258722,-0.28543773,-0.432473,0.1175172,0.0157503,0.1017669
34,-0.4616817,-0.4779805,"('mean', 'honorable')",0.3843742,0.35475963,5.823813,5.800792,1.9155018,1.8925238,0.022978
15,0.4609921,0.38943005,"('boring', 'funny')",0.38364685,0.36115956,0.63329643,0.62987757,0.4926451,0.4601557,0.0324894
84,0.45945576,0.5513352,"('inferior', 'superior')",0.21554735,0.4393742,0.2120016,0.34260193,0.2956682,0.4444371,-0.1487689
59,0.45710993,0.50917614,"('foolish', 'wise')",-0.7735741,-0.6384085,-0.07196757,-0.011223331,-0.1294773,-0.0468186,-0.0826587
49,-0.4521373,-0.31932598,"('unable', 'able')",0.028441956,0.14372188,-0.06927578,0.016464815,-0.1643237,-0.0530464,-0.1112773
26,0.4421957,0.47782028,"('hardhearted', 'benevolent')",1.9665437,2.0278585,1.3948883,1.2758698,1.2678758,1.2605162,0.0073596
17,-0.4360066,-0.30813658,"('nasty', 'nice')",-0.22608988,-0.17972004,-1.0460896,-1.0382528,-0.5693954,-0.5087032,-0.0606922
3,-0.43582186,-0.6170505,"('repellent', 'pleasant')",1.6036419,1.3174106,0.61927664,0.5674676,0.5956989,0.4226092,0.1730897
78,-0.43528655,-0.47624132,"('nonresilient', 'resilient')",-0.030474816,-0.0709994,-0.11987155,-0.22206882,-0.195211,-0.2564365,0.0612255
54,-0.43480223,-0.60320526,"('incapable', 'capable')",-0.0030190647,-0.000366088,1.6182672,1.6470776,0.393482,0.3478354,0.0456466
