,rowan_male,rowan_female,tuple,companies_male,companies_female,plc_male,plc_female,average_male,average_female,male-female
81,6.898635,6.6107335,"('submissive', 'aggressive')",1.7386994,1.4620197,-0.8573233,-0.8004767,2.5933372,2.4240921,0.1692451
31,-6.5209923,-6.3053093,"('evil', 'good')",-1.1098856,-1.00806,-0.37331912,-0.42182928,-2.6680657,-2.5783995,-0.0896662
60,6.4619536,6.422048,"('inefficient', 'efficient')",2.0776892,2.186088,-0.30917257,0.052689865,2.7434899,2.8869419,-0.143452
36,-6.46133,-6.246888,"('hostile', 'amicable')",-1.4140654,-1.7259108,1.1228831,0.9307702,-2.2508373,-2.3473428,0.0965055
55,6.14372,5.998073,"('incompetent', 'clever')",1.6278352,1.730612,-0.033939887,0.11772214,2.5792052,2.6154691,-0.0362639
10,5.850967,5.6369705,"('unsympathetic', 'sympathetic')",1.4322417,1.1889726,-0.1255987,-0.052043095,2.38587,2.2579667,0.1279033
70,5.7321563,5.5819182,"('lethargic', 'energetic')",1.1085451,1.1444376,0.3021901,0.43401858,2.3809638,2.3867914,-0.0058276
14,5.636888,5.1853313,"('antisocial', 'social')",2.2672486,2.1806834,0.26649716,0.42200604,2.7235448,2.5960069,0.1275379
46,5.5245233,5.5686955,"('uncompetitive', 'competitive')",1.9243102,2.227137,-0.56344706,-0.2264682,2.2951288,2.5231215,-0.2279927
35,-5.4184318,-5.3879232,"('corrupt', 'incorrupt')",-1.9275271,-1.9180088,-0.23640586,-0.43143904,-2.5274549,-2.5791237,0.0516688
85,-5.2168093,-5.0051174,"('insignificant', 'prestigious')",-0.44559053,-0.31673577,0.6284031,0.5434776,-1.6779989,-1.5927919,-0.085207
80,5.154311,5.0339775,"('dominated', 'dominating')",0.9228375,0.98386246,0.4961205,0.51575834,2.1910896,2.1778661,0.0132235
52,-5.146068,-5.0436144,"('irrational', 'rational')",-1.8364241,-1.8322554,-0.24697159,-0.38069734,-2.4098214,-2.4188557,0.0090343
62,5.0432963,5.041708,"('incompetent', 'brilliant')",1.8966581,2.158123,0.5025304,0.728887,2.4808283,2.642906,-0.1620777
7,4.7631593,4.6385236,"('insensitive', 'sensitive')",0.9160729,0.9859912,0.96079355,0.9559669,2.2133419,2.1934938,0.0198481
6,-4.458914,-4.309231,"('distant', 'open')",-1.4495671,-1.372719,0.45704132,0.4908686,-1.8171465,-1.7303603,-0.0867862
45,4.4314365,4.4137383,"('incompetent', 'competent')",1.5449622,1.5309706,0.8508912,1.0318307,2.2757632,2.3255132,-0.04975
56,4.391197,4.387807,"('impractical', 'practical')",1.9580524,1.8105634,0.73151714,1.0809265,2.3602557,2.4264323,-0.0661766
76,4.172149,3.9963024,"('anxious', 'daring')",1.0980531,1.4783728,-0.1011247,0.02454179,1.7230258,1.8330723,-0.1100465
65,4.1590815,4.028714,"('insecure', 'secure')",0.8645011,0.74782187,0.24931523,0.38875315,1.7576326,1.721763,0.0358696
5,-4.038941,-3.7972057,"('distant', 'outgoing')",-1.1049174,-1.0280237,0.2339963,0.34687775,-1.6366207,-1.492784,-0.1438367
69,-3.828481,-3.8061442,"('lazy', 'industrious')",-0.035328936,-0.15423681,-0.20271257,0.0052800328,-1.3555075,-1.318367,-0.0371405
86,3.7302346,3.7611735,"('uninfluential', 'influential')",0.36590016,0.2628729,0.43936685,0.50706273,1.5118338,1.5103698,0.001464
43,3.6729076,3.4733548,"('irresponsible', 'responsible')",0.9107215,1.2254171,1.1630673,1.3077149,1.9155655,2.0021623,-0.0865968
