,macys_male,macys_female,tuple,inc_male,inc_female,average_male,average_female,male-female
56,1.5460474,1.0231137,"('impractical', 'practical')",0.21436648,0.10683987,0.8802069,0.5649768,0.3152301
44,-1.5124155,-1.3101263,"('prejudiced', 'unprejudiced')",-1.6982883,-1.5750427,-1.6053519,-1.4425845,-0.1627674
75,-1.4784988,-1.2068388,"('meek', 'impulsive')",-0.3467515,-0.13935304,-0.9126252,-0.6730959,-0.2395293
57,-1.4611409,-1.8480046,"('unimaginative', 'imaginative')",-2.7796595,-2.8683133,-2.1204002,-2.3581591,0.2377589
87,1.2210212,0.9147794,"('unsuccessful', 'successful')",0.6659305,1.0637369,0.9434758,0.9892582,-0.0457824
37,1.0893416,0.79306984,"('fake', 'genuine')",0.621743,0.53284264,0.8555423,0.6629562,0.1925861
13,1.0167394,0.46954677,"('impolite', 'polite')",0.12694207,-0.058003318,0.5718407,0.2057717,0.366069
33,0.99149954,1.0296079,"('wrong', 'right')",-0.77975833,-0.6287837,0.1058706,0.2004121,-0.0945415
12,0.9784424,1.1251926,"('unsupportive', 'supportive')",-1.6033938,-1.2023137,-0.3124757,-0.0385605,-0.2739152
63,0.97199315,0.8361502,"('unperceptive', 'insightful')",1.5509646,1.8090025,1.2614789,1.3225764,-0.0610975
64,-0.9521917,-1.3576378,"('shy', 'confident')",-6.7098656,-6.765739,-3.8310287,-4.0616884,0.2306597
39,0.93054414,0.8255198,"('exploitative', 'cooperative')",-0.2047182,-0.12907214,0.362913,0.3482238,0.0146892
26,0.92255133,0.76644444,"('hardhearted', 'benevolent')",1.1790996,1.0205451,1.0508255,0.8934948,0.1573307
73,0.90082085,0.96632105,"('helpless', 'self-reliant')",-3.6006842,-3.2275176,-1.3499317,-1.1305983,-0.2193334
31,-0.83959585,-0.5110411,"('evil', 'good')",-1.3896948,-1.2579827,-1.1146454,-0.8845119,-0.2301335
32,0.8392923,0.66781515,"('unkind', 'kind')",1.1994613,1.0953827,1.0193768,0.8815989,0.1377779
77,-0.7986034,-0.81271374,"('unmotivated', 'motivated')",-0.9191277,-0.8820917,-0.8588656,-0.8474027,-0.0114629
18,-0.78004295,-0.7220419,"('disagreeable', 'welcoming')",-0.77592516,-0.723781,-0.777984,-0.7229115,-0.0550725
65,-0.75222445,-1.4430718,"('insecure', 'secure')",-0.455957,-0.3576498,-0.6040907,-0.9003608,0.2962701
3,-0.7472722,-0.8801372,"('repellent', 'pleasant')",0.19148937,0.08250535,-0.2778914,-0.3988159,0.1209245
68,-0.7377766,-0.5881157,"('dependent', 'independent')",-0.23971339,0.02727458,-0.488745,-0.2804205,-0.2083245
21,0.7362457,0.15231499,"('immoral', 'moral')",-0.5129029,-0.7244966,0.1116714,-0.2860908,0.3977622
55,-0.72234035,-1.0354753,"('incompetent', 'clever')",-0.06618786,0.09989509,-0.3942641,-0.4677901,0.073526
61,0.72092766,0.54098856,"('illogical', 'logical')",0.39888516,0.39058903,0.5599064,0.4657888,0.0941176
47,0.71597636,0.35201,"('stupid', 'smart')",5.323797,5.441309,3.0198867,2.8966594,0.1232273
34,0.7096649,0.82511747,"('mean', 'honorable')",6.2993345,6.2109566,3.5044997,3.5180371,-0.0135374
69,0.6782126,0.99304956,"('lazy', 'industrious')",-0.72677726,-0.6947559,-0.0242823,0.1491468,-0.1734291
22,-0.661965,-1.0334696,"('untrustworthy', 'trustworthy')",-1.3930175,-1.0378802,-1.0274913,-1.0356748,0.0081835
74,0.6612127,0.5336488,"('undedicated', 'dedicated')",0.19623709,0.1536474,0.4287249,0.3436481,0.0850768
42,0.6520259,0.3133268,"('unreliable', 'reliable')",-3.0060275,-2.6895585,-1.1770008,-1.1881158,0.011115
1,0.6519333,0.9857945,"('unfriendly', 'friendly')",1.440619,1.7639744,1.0462761,1.3748845,-0.3286084
60,0.6413941,0.30095133,"('inefficient', 'efficient')",0.5543064,0.25495577,0.5978502,0.2779536,0.3198966
67,0.6394036,0.13212132,"('doubtful', 'determined')",-0.12646961,-0.60255957,0.256467,-0.2352191,0.4916861
29,-0.5944964,-0.21688443,"('unfair', 'fair')",-0.6970408,-0.50260425,-0.6457686,-0.3597443,-0.2860243
17,-0.5852742,-0.5308255,"('nasty', 'nice')",-0.6304599,-0.51664746,-0.6078671,-0.5237365,-0.0841306
