,altria_male,altria_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
86,-1.6245178,-1.5488478,"('uninfluential', 'influential')",-0.09151789,-0.18925579,-0.38047582,-0.34659052,-0.6988372,-0.694898,-0.0039392
1,-1.447098,-1.3431569,"('unfriendly', 'friendly')",-0.41120434,-0.4230575,1.830011,2.0209854,-0.0094304,0.0849237,-0.0943541
82,-1.4273726,-1.0705487,"('poor', 'rich')",-0.42617884,-0.13302791,5.7813478,5.905561,1.3092655,1.5673281,-0.2580626
19,-1.2844323,-1.1047759,"('inhospitable', 'hospitable')",-1.9738163,-1.7384925,-0.19775648,-0.033440925,-1.1520017,-0.9589031,-0.1930986
53,-1.2587864,-1.2379183,"('uncreative', 'creative')",-0.09043655,-0.2628105,1.0550085,1.0720793,-0.0980715,-0.1428831,0.0448116
67,1.2289495,1.141785,"('doubtful', 'determined')",0.40320557,0.5327756,-0.6840199,-0.6228834,0.3160451,0.3505591,-0.034514
51,-1.2012736,-0.8981653,"('uneducated', 'educated')",0.20511729,0.35095647,0.19388893,0.25254142,-0.2674224,-0.0982225,-0.1691999
31,-1.1919262,-1.0584674,"('evil', 'good')",-1.3237368,-1.2750691,-0.64509296,-0.59461427,-1.0535854,-0.9760503,-0.0775351
79,-1.1393516,-1.1363922,"('wavering', 'unwavering')",-2.0470924,-2.0662358,-0.04895196,0.06568812,-1.0784653,-1.0456467,-0.0328186
0,-1.1163872,-1.2746124,"('unsociable', 'sociable')",0.47361973,0.26943323,-0.5460734,-0.6743975,-0.3962803,-0.5598589,0.1635786
16,-1.1004765,-0.9155917,"('unpopular', 'popular')",-0.7616276,-0.5239702,0.31391138,0.34630954,-0.5160642,-0.3644174,-0.1516468
73,1.0582279,1.1615179,"('helpless', 'self-reliant')",0.20327929,0.2541962,-3.0196598,-2.8820868,-0.5860509,-0.4887909,-0.09726
77,-1.0401479,-0.9809358,"('unmotivated', 'motivated')",0.36039078,0.22079405,-1.4460196,-1.3246086,-0.7085923,-0.6949167,-0.0136756
9,-1.0345021,-1.0297171,"('unaffectionate', 'caring')",-0.21521239,-0.24896327,1.1738181,1.3362062,-0.0252988,0.0191753,-0.0444741
10,-1.0097246,-1.2462124,"('unsympathetic', 'sympathetic')",0.36051357,0.016503133,-0.39225176,-0.4217325,-0.3471543,-0.5504806,0.2033263
37,0.9924352,0.86540353,"('fake', 'genuine')",0.14111656,0.12626663,0.4737409,0.50738424,0.5357643,0.4996848,0.0360795
52,-0.97830874,-0.75756633,"('irrational', 'rational')",-1.1472472,-1.0232191,0.21981359,0.35544097,-0.6352475,-0.4751148,-0.1601327
38,-0.941845,-0.84803027,"('untruthful', 'truthful')",-1.1444489,-1.0960046,-0.4300326,-0.0987079,-0.8387755,-0.6809142,-0.1578613
