,ebay_male,ebay_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.297691,-2.462326,"('unsympathetic', 'sympathetic')",0.2579822,0.094178885,-1.0198544,-1.1840736,0.1642192
21,-1.853277,-1.803385,"('immoral', 'moral')",-0.43775907,-0.28370798,-1.1455181,-1.0435464,-0.1019717
65,-1.7302079,-1.577937,"('insecure', 'secure')",-0.009118989,0.15816545,-0.8696635,-0.7098858,-0.1597777
85,1.6209122,1.2774869,"('insignificant', 'prestigious')",0.024867345,-0.2466188,0.8228897,0.515434,0.3074557
6,1.5891812,1.3645896,"('distant', 'open')",0.051917978,0.051582895,0.8205496,0.7080863,0.1124633
36,1.5800427,1.5226079,"('hostile', 'amicable')",-0.7253605,-0.75539625,0.4273411,0.3836058,0.0437353
3,-1.5188773,-1.4034384,"('repellent', 'pleasant')",0.3185368,0.33933175,-0.6001703,-0.5320534,-0.0681169
22,-1.5099791,-1.4246544,"('untrustworthy', 'trustworthy')",-0.7674239,-0.66561073,-1.1387016,-1.0451325,-0.0935691
45,-1.5008162,-1.2969643,"('incompetent', 'competent')",0.05519128,0.10347999,-0.7228125,-0.5967422,-0.1260703
68,-1.4260113,-1.496931,"('dependent', 'independent')",-0.066753715,0.15632004,-0.7463825,-0.6703055,-0.076077
14,-1.4035847,-1.2790579,"('antisocial', 'social')",-1.0030895,-0.7531302,-1.2033372,-1.016094,-0.1872432
18,-1.3762133,-1.3197101,"('disagreeable', 'welcoming')",-0.5763714,-0.48233783,-0.9762924,-0.901024,-0.0752684
28,-1.3704479,-1.351678,"('disloyal', 'loyal')",0.8541017,0.83084565,-0.2581731,-0.2604162,0.0022431
5,1.3233346,1.1529105,"('distant', 'outgoing')",-0.48609996,-0.41461807,0.4186173,0.3691462,0.0494711
70,-1.2928317,-1.3276666,"('lethargic', 'energetic')",1.0794115,1.1226099,-0.1067101,-0.1025284,-0.0041817
73,1.2839212,1.2256912,"('helpless', 'self-reliant')",-3.1473477,-3.3028047,-0.9317132,-1.0385568,0.1068436
33,1.2388889,1.0245852,"('wrong', 'right')",-0.8536937,-0.97160506,0.1925976,0.0264901,0.1661075
86,-1.2023455,-1.1733383,"('uninfluential', 'influential')",0.3882309,0.36949027,-0.4070573,-0.401924,-0.0051333
71,1.1761466,1.0708061,"('diffident', 'self-confident')",0.41717148,0.43795654,0.7966591,0.7543814,0.0422777
55,-1.1654309,-1.0393982,"('incompetent', 'clever')",0.82484156,0.79045486,-0.1702947,-0.1244717,-0.045823
51,-1.1230751,-1.1718575,"('uneducated', 'educated')",1.4925338,1.3975244,0.1847293,0.1128334,0.0718959
57,-1.08343,-1.1708182,"('unimaginative', 'imaginative')",-2.769842,-2.928373,-1.926636,-2.0495956,0.1229596
37,-1.0715078,-1.1461525,"('fake', 'genuine')",0.60568875,0.53309447,-0.2329095,-0.306529,0.0736195
77,-0.99926096,-0.9397412,"('unmotivated', 'motivated')",-1.1822994,-1.0873039,-1.0907801,-1.0135225,-0.0772576
81,-0.9861273,-1.0534383,"('submissive', 'aggressive')",-0.38488704,-0.41372156,-0.6855072,-0.7335799,0.0480727
1,0.98579603,0.8828907,"('unfriendly', 'friendly')",1.7012348,1.6190501,1.3435154,1.2509704,0.092545
43,-0.96795386,-0.9712096,"('irresponsible', 'responsible')",0.93630266,1.1108593,-0.0158256,0.0698248,-0.0856504
15,0.9663929,0.8866168,"('boring', 'funny')",0.25780827,0.339171,0.6121006,0.6128939,-0.0007933
35,0.90868765,0.87943184,"('corrupt', 'incorrupt')",-0.9500614,-0.97901934,-0.0206869,-0.0497938,0.0291069
80,-0.9067553,-0.9842747,"('dominated', 'dominating')",-0.68203694,-0.7117842,-0.7943962,-0.8480294,0.0536332
49,-0.9028648,-0.86318135,"('unable', 'able')",0.16554856,0.33594584,-0.3686581,-0.2636178,-0.1050403
64,-0.8830645,-0.99447554,"('shy', 'confident')",-7.280404,-7.24208,-4.0817342,-4.118278,0.0365438
25,0.86286086,0.8379606,"('egoistic', 'altruistic')",1.27956,1.1968017,1.0712104,1.0173812,0.0538292
9,0.8468861,0.66872275,"('unaffectionate', 'caring')",1.1234691,1.1127508,0.9851776,0.8907368,0.0944408
69,0.8227448,0.8034553,"('lazy', 'industrious')",-1.6161071,-1.4613994,-0.3966812,-0.3289721,-0.0677091
23,-0.8123614,-0.8349405,"('insincere', 'sincere')",7.0698166,7.1525164,3.1287277,3.158788,-0.0300603
82,-0.7879148,-0.5634195,"('poor', 'rich')",7.1760745,7.378494,3.1940799,3.4075372,-0.2134573
30,-0.7873546,-0.9331013,"('intolerant', 'tolerant')",0.9092649,0.953585,0.0609552,0.0102419,0.0507133
46,-0.7848877,-0.7587082,"('uncompetitive', 'competitive')",0.15651771,0.27885205,-0.314185,-0.2399281,-0.0742569
87,0.7131749,0.72796434,"('unsuccessful', 'successful')",1.2310019,1.3164101,0.9720883,1.0221872,-0.0500989
0,-0.7032027,-0.6559603,"('unsociable', 'sociable')",-0.2281901,-0.14188243,-0.4656964,-0.3989214,-0.066775
34,0.653445,0.5978682,"('mean', 'honorable')",6.8450713,6.9616814,3.749258,3.7797747,-0.0305167
62,-0.62971276,-0.60552394,"('incompetent', 'brilliant')",1.0184174,1.1451918,0.1943523,0.2698339,-0.0754816
8,0.6267789,0.5889213,"('unaffectionate', 'affectionate')",0.54667634,0.49080423,0.5867276,0.5398628,0.0468648
83,0.61353683,0.38961184,"('powerless', 'powerful')",-0.49635017,-0.615881,0.0585933,-0.1131346,0.1717279
48,-0.5965303,-0.6993887,"('unintelligent', 'intelligent')",1.0178111,0.9762001,0.2106404,0.1384057,0.0722347
79,0.57018477,0.41580716,"('wavering', 'unwavering')",0.12669714,-0.03191778,0.3484409,0.1919447,0.1564962
26,0.56489784,0.5080883,"('hardhearted', 'benevolent')",0.8253999,0.7848069,0.6951488,0.6464476,0.0487012
13,-0.5600833,-0.428812,"('impolite', 'polite')",-0.012185186,0.16682673,-0.2861342,-0.1309926,-0.1551416
72,-0.5580082,-0.30745393,"('unambitious', 'ambitious')",-0.5650505,-0.39400077,-0.5615293,-0.3507273,-0.210802
54,0.5505898,0.33222717,"('incapable', 'capable')",1.4384569,1.4402838,0.9945233,0.8862555,0.1082678
11,-0.5433341,-0.6421191,"('unhelpful', 'helpful')",2.5554814,2.5792363,1.0060737,0.9685585,0.0375152
42,-0.5281588,-0.73991036,"('unreliable', 'reliable')",-3.0316615,-3.263592,-1.7799101,-2.0017512,0.2218411
7,-0.51353526,-0.43839455,"('insensitive', 'sensitive')",1.176209,1.3067836,0.3313369,0.4341945,-0.1028576
41,-0.50128156,-0.3748759,"('unforgiving', 'forgiving')",-0.44086036,-0.46329007,-0.4710709,-0.419083,-0.0519879
88,-0.48979706,-0.5410927,"('low', 'eminent')",0.19819537,0.17540282,-0.1458008,-0.1828449,0.0370441
60,-0.4881174,-0.24341062,"('inefficient', 'efficient')",0.6901507,0.9352925,0.1010166,0.3459409,-0.2449243
27,0.48458946,0.42980194,"('hardhearted', 'softhearted')",1.2398664,1.1583167,0.8622279,0.7940593,0.0681686
52,0.4841306,0.121737644,"('irrational', 'rational')",-0.71051687,-0.98122126,-0.1131931,-0.4297418,0.3165487
56,-0.46966323,-0.3830108,"('impractical', 'practical')",0.19333334,0.3012454,-0.1381649,-0.0408827,-0.0972822
67,-0.42733407,-0.4043296,"('doubtful', 'determined')",-0.923148,-0.8446556,-0.675241,-0.6244926,-0.0507484
31,0.40665883,0.21853988,"('evil', 'good')",-1.5562962,-1.5777171,-0.5748187,-0.6795886,0.1047699
59,0.3904457,0.2878096,"('foolish', 'wise')",0.046371046,0.13470115,0.2184084,0.2112554,0.007153
75,0.37641844,0.41586876,"('meek', 'impulsive')",-0.53016424,-0.4789398,-0.0768729,-0.0315355,-0.0453374
32,-0.3676999,-0.30278614,"('unkind', 'kind')",1.2080525,1.2880212,0.4201763,0.4926175,-0.0724412
24,-0.3628157,-0.43849018,"('dishonest', 'honest')",1.1251249,1.1933326,0.3811546,0.3774212,0.0037334
19,-0.34494808,-0.47906214,"('inhospitable', 'hospitable')",0.31644908,0.24755476,-0.0142495,-0.1157537,0.1015042
16,0.30684447,0.25507027,"('unpopular', 'popular')",0.32246882,0.2783209,0.3146566,0.2666956,0.047961
84,0.30157852,0.14439352,"('inferior', 'superior')",1.0777767,1.0568361,0.6896776,0.6006148,0.0890628
53,-0.28332713,-0.40412396,"('uncreative', 'creative')",0.7814706,0.70044124,0.2490717,0.1481586,0.1009131
44,-0.26517853,-0.16904922,"('prejudiced', 'unprejudiced')",-1.8314402,-1.7621088,-1.0483093,-0.965579,-0.0827303
20,-0.2648305,-0.3974249,"('rough', 'thoughtful')",0.9662822,0.83448976,0.3507258,0.2185324,0.1321934
39,0.21569026,0.076234944,"('exploitative', 'cooperative')",-0.036333177,-0.0024926383,0.0896785,0.0368712,0.0528073
63,0.18564579,0.05230217,"('unperceptive', 'insightful')",1.9186492,1.9952023,1.0521475,1.0237522,0.0283953
58,0.16256256,0.074949324,"('undiscriminating', 'discriminating')",0.4567067,0.4197306,0.3096346,0.24734,0.0622946
50,-0.14936781,-0.111662015,"('clumsy', 'skillful')",0.62316805,0.41764113,0.2369001,0.1529896,0.0839105
61,0.14505358,0.046580616,"('illogical', 'logical')",0.32244775,0.38164702,0.2337507,0.2141138,0.0196369
78,-0.12805907,-0.07915002,"('nonresilient', 'resilient')",0.6795287,0.6844151,0.2757348,0.3026325,-0.0268977
4,0.12790328,0.22618222,"('disliked', 'liked')",-7.091263,-7.2067857,-3.4816797,-3.4903016,0.0086219
74,-0.12447975,-0.10418753,"('undedicated', 'dedicated')",0.27471277,0.20035584,0.0751165,0.0480842,0.0270323
2,-0.10183121,-0.16146639,"('unlikable', 'likable')",0.29683933,0.38962492,0.0975041,0.1140793,-0.0165752
29,-0.09040517,-0.10895803,"('unfair', 'fair')",-0.30282772,-0.28627163,-0.1966164,-0.1976148,0.0009984
40,0.071096495,-0.07945224,"('stingy', 'generous')",-1.6232227,-1.7717181,-0.7760631,-0.9255852,0.1495221
47,-0.07023292,-0.14207298,"('stupid', 'smart')",5.8399,6.000951,2.8848336,2.9294388,-0.0446052
76,0.063926466,0.18366721,"('anxious', 'daring')",0.9075274,0.9198347,0.4857269,0.551751,-0.0660241
66,0.06198279,-0.3197897,"('inactive', 'active')",0.5209942,0.42165062,0.2914885,0.0509305,0.240558
12,-0.055879064,-0.113200456,"('unsupportive', 'supportive')",-1.3887613,-1.4017682,-0.7223202,-0.7574843,0.0351641
38,-0.04624088,-0.052095164,"('untruthful', 'truthful')",0.18497416,0.34950948,0.0693666,0.1487072,-0.0793406
17,-0.04133013,-0.06938437,"('nasty', 'nice')",-0.65657836,-0.7200213,-0.3489543,-0.3947029,0.0457486
