,cameron_male,cameron_female,tuple,international_male,international_female,corp_male,corp_female,average_male,average_female,male-female
12,3.001232,3.0365381,"('unsupportive', 'supportive')",0.17489463,0.27386063,-1.9599977,-1.968707,0.4053763,0.4472306,-0.0418543
9,2.647471,2.9484468,"('unaffectionate', 'caring')",0.47258675,0.7080772,1.2041764,0.9597906,1.4414113,1.5387715,-0.0973602
39,2.4796174,2.3079727,"('exploitative', 'cooperative')",0.64618945,0.7346971,0.22295421,0.3219717,1.1162537,1.1215471,-0.0052934
74,2.1240993,2.2532127,"('undedicated', 'dedicated')",0.48299766,0.69294184,-0.5955752,-0.49473774,0.6705073,0.817139,-0.1466317
43,1.9099246,1.8523223,"('irresponsible', 'responsible')",0.19019143,0.27903453,0.23640773,0.28668883,0.7788413,0.8060153,-0.027174
38,1.7802527,1.7430797,"('untruthful', 'truthful')",0.03176359,0.010440268,0.34458402,0.23901911,0.7188667,0.6641797,0.054687
73,1.6827343,1.6377662,"('helpless', 'self-reliant')",0.6794163,0.6265372,-3.005921,-3.0409927,-0.2145901,-0.2588964,0.0443063
2,1.6469667,1.8765916,"('unlikable', 'likable')",1.2949333,1.3832405,0.6740914,0.7019976,1.2053305,1.3206098,-0.1152793
16,-1.5935143,-1.685597,"('unpopular', 'popular')",0.25859958,0.1011508,0.22966665,0.26664758,-0.368416,-0.4392662,0.0708502
44,-1.5866268,-1.7559959,"('prejudiced', 'unprejudiced')",0.18933189,-0.022562832,-1.2390171,-1.3274633,-0.8787707,-1.0353406,0.1565699
84,1.5649728,1.4062386,"('inferior', 'superior')",0.45087337,0.5457317,1.0395579,1.0801064,1.0184681,1.0106923,0.0077758
56,1.5608553,1.5823017,"('impractical', 'practical')",1.1521494,1.2471077,-0.32294518,-0.2191254,0.7966865,0.8700947,-0.0734082
62,1.5183345,1.6280762,"('incompetent', 'brilliant')",0.8419844,0.689349,0.90819293,0.8611147,1.0895039,1.0595133,0.0299906
24,1.4627153,1.4470272,"('dishonest', 'honest')",-0.031290818,0.09358127,0.48081195,0.5236542,0.6374122,0.6880876,-0.0506754
28,1.4046855,1.8394227,"('disloyal', 'loyal')",-0.25824797,0.04340916,0.96234727,0.9208147,0.7029282,0.9345489,-0.2316207
33,1.3113401,1.2388883,"('wrong', 'right')",0.81670475,0.8294324,-0.37916982,-0.4564565,0.5829583,0.5372881,0.0456702
7,1.3070912,1.3994168,"('insensitive', 'sensitive')",-0.14891247,-0.1679298,0.21917388,0.26182365,0.4591176,0.4977702,-0.0386526
