,dynegy_male,dynegy_female,tuple,inc_male,inc_female,average_male,average_female,male-female
86,-2.3373237,-2.2457995,"('uninfluential', 'influential')",-0.62556726,-0.43960288,-1.4814454,-1.3427012,-0.1387442
10,-2.2238834,-2.2524989,"('unsympathetic', 'sympathetic')",-0.882199,-0.70167094,-1.5530412,-1.4770849,-0.0759563
1,-2.0583322,-1.826029,"('unfriendly', 'friendly')",1.7946162,1.988345,-0.131858,0.081158,-0.213016
53,-1.9147892,-1.9633449,"('uncreative', 'creative')",0.7619405,0.73065853,-0.5764244,-0.6163432,0.0399188
9,-1.7997391,-1.3902824,"('unaffectionate', 'caring')",0.99718684,1.3295199,-0.4012761,-0.0303813,-0.3708948
57,-1.5975248,-1.659402,"('unimaginative', 'imaginative')",-2.6807783,-2.579388,-2.1391516,-2.119395,-0.0197566
24,-1.5172528,-1.2475467,"('dishonest', 'honest')",0.45722535,0.68159604,-0.5300137,-0.2829753,-0.2470384
8,-1.3413585,-0.84232026,"('unaffectionate', 'affectionate')",0.9323909,1.3116319,-0.2044838,0.2346558,-0.4391396
44,1.2966697,1.206433,"('prejudiced', 'unprejudiced')",-1.2742058,-1.3034794,0.011232,-0.0485232,0.0597552
45,-1.2324051,-1.1754719,"('incompetent', 'competent')",-0.58672404,-0.46117327,-0.9095646,-0.8183226,-0.091242
28,-1.2256229,-1.4586266,"('disloyal', 'loyal')",0.7893492,0.60162735,-0.2181368,-0.4284996,0.2103628
13,-1.1976088,-1.0410353,"('impolite', 'polite')",-0.8226559,-0.77000064,-1.0101323,-0.9055179,-0.1046144
38,-1.1724125,-0.93721324,"('untruthful', 'truthful')",-0.028353564,0.12042091,-0.600383,-0.4083962,-0.1919868
36,-1.15107,-1.2609553,"('hostile', 'amicable')",0.6174412,0.26677483,-0.2668144,-0.4970903,0.2302759
7,-1.1432666,-1.3030183,"('insensitive', 'sensitive')",0.18508324,0.4496528,-0.4790916,-0.4266828,-0.0524088
23,-1.1103038,-1.2801716,"('insincere', 'sincere')",5.1790605,5.148819,2.0343783,1.9343237,0.1000546
73,1.0765687,1.3255605,"('helpless', 'self-reliant')",-2.7716916,-2.4552815,-0.8475614,-0.5648605,-0.2827009
0,-1.0722232,-1.2272859,"('unsociable', 'sociable')",-0.6843399,-0.7951829,-0.8782815,-1.0112344,0.1329529
54,-1.0413204,-1.0951188,"('incapable', 'capable')",1.2134084,1.3637941,0.086044,0.1343377,-0.0482937
31,-1.0349764,-0.6412659,"('evil', 'good')",-0.6254965,-0.5903572,-0.8302364,-0.6158116,-0.2144248
25,-1.0298365,-1.1704482,"('egoistic', 'altruistic')",1.7610403,1.6345539,0.3656019,0.2320529,0.133549
12,-0.9535588,-0.63929343,"('unsupportive', 'supportive')",-2.0383942,-1.5875158,-1.4959764,-1.1134046,-0.3825718
79,-0.86274236,-0.8268473,"('wavering', 'unwavering')",-0.021539932,0.08284265,-0.4421411,-0.3720023,-0.0701388
61,-0.85569996,-0.995466,"('illogical', 'logical')",-0.08662467,-0.108419396,-0.4711623,-0.5519427,0.0807804
69,0.83189386,0.9534574,"('lazy', 'industrious')",-0.036413938,0.14969641,0.3977399,0.5515769,-0.153837
48,-0.82286674,-0.9104819,"('unintelligent', 'intelligent')",0.6459722,0.8494883,-0.0884473,-0.0304968,-0.0579505
74,-0.8175286,-0.59194154,"('undedicated', 'dedicated')",-0.22225925,0.02841469,-0.5198939,-0.2817634,-0.2381305
72,-0.78397864,-0.88465905,"('unambitious', 'ambitious')",-0.6511868,-0.5229169,-0.7175827,-0.703788,-0.0137947
32,-0.7769197,-0.828809,"('unkind', 'kind')",0.43165073,0.48678416,-0.1726345,-0.1710124,-0.0016221
63,-0.77046585,-0.6580992,"('unperceptive', 'insightful')",0.7111601,0.9767245,-0.0296529,0.1593127,-0.1889656
66,-0.7535753,-0.79402643,"('inactive', 'active')",0.9783876,0.9475319,0.1124061,0.0767527,0.0356534
