,merrill_male,merrill_female,tuple,lynch_male,lynch_female,&_male,&_female,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
85,3.279175,3.4532483,"('insignificant', 'prestigious')",3.2705872,3.347042,2.6474962,2.8862414,2.6092074,2.8136916,1.5790901,1.5017083,2.6771111,2.8003862,-0.1232751
66,2.7205007,2.7828224,"('inactive', 'active')",2.7381148,2.6204603,2.6509204,2.691449,3.428815,3.4200292,2.0112545,1.9734086,2.7099209,2.6976339,0.012287
2,2.5140624,2.3390946,"('unlikable', 'likable')",2.023526,1.8835405,2.0849812,2.0659826,1.7953737,1.8031371,0.83714306,0.8243583,1.8510172,1.7832226,0.0677946
83,2.490088,2.3539727,"('powerless', 'powerful')",1.5228231,1.4862765,1.0531392,0.99540025,0.7618183,0.820678,-0.16894637,-0.16242601,1.1317844,1.0987803,0.0330041
26,2.4670892,2.515862,"('hardhearted', 'benevolent')",1.8273125,1.8078507,2.459309,2.4190035,1.3873506,1.4798031,1.7238896,1.6401037,1.9729902,1.9725245,0.0004657
33,2.185577,2.24895,"('wrong', 'right')",1.4309741,1.3996551,0.5087133,0.65540445,0.68014884,0.79562217,-0.26019013,-0.39082584,0.9090446,0.9417612,-0.0327166
45,-2.075899,-2.269136,"('incompetent', 'competent')",-1.699117,-1.6198409,-0.51424974,-0.7196969,-3.081595,-3.127977,-0.67707664,-0.80132234,-1.6095875,-1.7075945,0.098007
5,2.009575,2.2336974,"('distant', 'outgoing')",1.4317245,1.602638,0.5299473,0.8565786,1.0349133,1.2345039,-0.029268809,-0.018220032,0.9953782,1.1818396,-0.1864614
9,1.8881919,1.9401965,"('unaffectionate', 'caring')",1.4520558,1.3955282,0.22793846,0.23601693,-0.14631146,-0.09369858,2.100598,2.0541077,1.1044945,1.1064302,-0.0019357
10,-1.7014519,-1.9932741,"('unsympathetic', 'sympathetic')",-1.8583095,-1.8851707,-0.17984505,-0.45903882,-2.253736,-2.3138669,-0.010815413,0.079207934,-1.2008316,-1.3144284,0.1135968
1,1.6851898,1.7183203,"('unfriendly', 'friendly')",0.75508296,0.6664863,0.31013286,0.28666154,-0.3299395,-0.349549,2.28707,2.0651336,0.9415072,0.8774105,0.0640967
58,1.6685113,1.4920381,"('undiscriminating', 'discriminating')",0.48506254,0.42772055,0.62951565,0.580639,0.86828566,0.83519953,0.012935174,0.04730375,0.732862,0.6765802,0.0562818
53,1.5496168,1.5839553,"('uncreative', 'creative')",0.17177492,0.24603325,1.0667899,1.1911398,0.28992444,0.3493667,1.358976,1.3271023,0.8874164,0.9395194,-0.052103
69,1.5336,1.7221618,"('lazy', 'industrious')",2.5463283,2.6034245,0.19579342,0.46468964,2.8375852,3.0185122,-0.33973044,-0.41693062,1.3547153,1.4783715,-0.1236562
73,1.4979585,1.5539844,"('helpless', 'self-reliant')",1.3787502,1.4779147,-0.37327212,-0.2782059,1.2903743,1.3127136,-3.9557993,-3.8715775,-0.0323977,0.0389658,-0.0713635
61,1.4876928,1.3641019,"('illogical', 'logical')",0.62376046,0.58826953,0.70920134,0.599903,-0.46694216,-0.51866716,0.40998057,0.33417326,0.5527386,0.473556,0.0791826
6,1.4534649,1.6639535,"('distant', 'open')",1.3853241,1.5352906,0.60655737,0.9123435,0.8279569,0.99034655,0.84771574,0.8042361,1.0242038,1.181234,-0.1570302
22,-1.4393489,-1.4769535,"('untrustworthy', 'trustworthy')",-1.4976095,-1.3674374,-0.4784149,-0.634391,-2.119389,-2.0997753,-1.5177758,-1.613507,-1.4105076,-1.4384129,0.0279053
