,fifth_male,fifth_female,tuple,third_male,third_female,bancorp_male,bancorp_female,average_male,average_female,male-female
55,5.833051,5.1763644,"('incompetent', 'clever')",1.6467422,1.1220269,-1.4297512,-1.4839365,2.0166807,1.6048183,0.4118624
31,-5.726897,-5.226454,"('evil', 'good')",-1.9807955,-1.6817448,0.11875294,0.19344626,-2.5296464,-2.2382507,-0.2913957
10,5.5328875,4.9925995,"('unsympathetic', 'sympathetic')",1.5236917,1.1098307,-1.5801773,-1.5465217,1.8254673,1.5186362,0.3068311
46,5.471883,4.790896,"('uncompetitive', 'competitive')",1.6945262,1.1402068,-0.4773984,-0.5889279,2.2296702,1.780725,0.4489452
60,5.345861,4.591571,"('inefficient', 'efficient')",2.0026782,1.4164337,-0.56653804,-0.71644914,2.2606672,1.7638518,0.4968154
7,5.033424,4.7594776,"('insensitive', 'sensitive')",1.7031345,1.5243397,-0.16241285,-0.15556598,2.1913819,2.0427504,0.1486315
35,-4.939166,-4.536132,"('corrupt', 'incorrupt')",-1.1231477,-0.69271547,0.5744086,0.6274554,-1.8293018,-1.5337974,-0.2955044
21,4.910001,4.697503,"('immoral', 'moral')",1.4114174,1.2441316,-1.1228665,-1.0863352,1.7328506,1.6184332,0.1144174
85,-4.875685,-4.3175173,"('insignificant', 'prestigious')",-1.4777052,-1.164507,0.9196044,0.8374468,-1.8112621,-1.5481925,-0.2630696
36,-4.7657084,-4.4247212,"('hostile', 'amicable')",-1.7257605,-1.35718,1.2709535,1.1763945,-1.7401718,-1.535169,-0.2050028
80,4.6131415,4.193915,"('dominated', 'dominating')",1.7513881,1.6466794,-0.91990674,-0.83858943,1.8148743,1.6673349,0.1475394
62,4.4160485,4.035286,"('incompetent', 'brilliant')",1.449446,1.295906,-0.18496706,-0.22284396,1.8935092,1.7027826,0.1907266
79,-4.202834,-3.9270267,"('wavering', 'unwavering')",-0.4167774,-0.08115076,0.9762142,0.98349005,-1.2144659,-1.0082291,-0.2062368
81,4.155156,3.4722395,"('submissive', 'aggressive')",1.1850953,0.7424013,-1.3631535,-1.2730035,1.3256993,0.9805457,0.3451536
6,-4.0057297,-3.6596968,"('distant', 'open')",-0.59738415,-0.27676967,0.805971,0.8213974,-1.2657142,-1.0383563,-0.2273579
56,3.9624057,3.6811123,"('impractical', 'practical')",1.5002389,1.2983338,0.09718206,0.11833061,1.8532756,1.6992588,0.1540168
5,-3.8632004,-3.4545586,"('distant', 'outgoing')",-0.59853363,-0.4368294,0.79530764,0.79679364,-1.2221421,-1.0315314,-0.1906107
14,3.8523338,3.3516765,"('antisocial', 'social')",1.0657465,0.5636967,-1.0270833,-1.0498903,1.296999,0.9551609,0.3418381
23,3.8224378,3.6724236,"('insincere', 'sincere')",1.9511116,1.8219966,2.5057127,2.3411033,2.7597539,2.6118412,0.1479127
11,3.7662263,3.6802402,"('unhelpful', 'helpful')",1.4965537,1.3901364,0.5707924,0.5578391,1.9445241,1.8760718,0.0684523
43,3.6733994,3.314825,"('irresponsible', 'responsible')",1.250281,0.8013128,-0.84596246,-0.9510628,1.3592393,1.0550251,0.3042142
