,thermo_male,thermo_female,tuple,fisher_male,fisher_female,scientific_male,scientific_female,inc_male,inc_female,average_male,average_female,male-female
19,-2.044288,-2.0251877,"('inhospitable', 'hospitable')",-0.2304122,-0.32807258,-0.6600201,-0.6965058,-0.11422887,-0.16248536,-0.7622373,-0.8030629,0.0408256
1,-2.0161953,-2.0266402,"('unfriendly', 'friendly')",0.39057815,0.22772902,0.0017346255,0.045462973,1.9281992,1.831984,0.0760792,0.019634,0.0564452
86,-1.9852953,-1.8849967,"('uninfluential', 'influential')",-0.04021367,-0.1792972,0.5622357,0.58732533,-0.21483739,-0.15226415,-0.4195276,-0.4073082,-0.0122194
10,-1.7284077,-1.6213408,"('unsympathetic', 'sympathetic')",-0.09585082,-0.17269808,-0.3822618,-0.47392172,-0.2658063,-0.1396957,-0.6180816,-0.601914,-0.0161676
9,-1.7231504,-1.7416227,"('unaffectionate', 'caring')",0.78986603,0.75894684,0.33490276,0.3060276,1.1153727,1.1253545,0.1292478,0.1121766,0.0170712
8,-1.720925,-1.7984675,"('unaffectionate', 'affectionate')",0.06778806,0.09292191,-0.28469163,-0.2272758,0.43842596,0.3874663,-0.3748506,-0.3863388,0.0114882
53,-1.6841525,-1.668027,"('uncreative', 'creative')",-0.24505973,-0.3603208,0.5345854,0.48465553,1.2930251,1.1923206,-0.0254004,-0.087843,0.0624426
82,-1.472964,-1.4597285,"('poor', 'rich')",-1.023539,-1.0070424,0.32066846,0.31814626,5.3571553,5.3826804,0.7953302,0.8085139,-0.0131837
69,1.4453565,1.3432504,"('lazy', 'industrious')",0.8601772,0.9451476,0.868552,0.9027958,-0.15877396,-0.20832178,0.7538279,0.745718,0.0081099
6,-1.4326485,-1.4924659,"('distant', 'open')",-1.468939,-1.5310748,-1.3748945,-1.3046299,0.21120499,0.17446078,-1.0163193,-1.0384274,0.0221081
5,-1.4050181,-1.4233137,"('distant', 'outgoing')",-0.995156,-0.95878345,-1.0454956,-0.9463894,-0.065425426,-0.1016177,-0.8777738,-0.8575261,-0.0202477
