,donnelley_male,donnelley_female,tuple,rr_male,rr_female,&_male,&_female,sons_male,sons_female,co_male,co_female,average_male,average_female,male-female
58,-0.30076903,0.19242497,"('undiscriminating', 'discriminating')",-0.52023876,-0.14352028,-0.6125137,-0.11482528,-0.7611875,-0.4013809,0.27035978,0.61217844,-0.3848699,0.0289754,-0.4138453
20,-0.28863344,-0.28490448,"('rough', 'thoughtful')",-0.93700016,-0.89443135,-0.021640232,0.19666512,-0.3854293,-0.5117585,0.60650694,0.54024595,-0.2052392,-0.1908367,-0.0144025
22,0.28828073,0.3125541,"('untrustworthy', 'trustworthy')",0.017806895,-0.020360034,-0.057379104,-0.0636826,-0.17682958,-0.2986389,-0.7930061,-0.8099769,-0.1442254,-0.1760209,0.0317955
66,0.25599238,0.36213237,"('inactive', 'active')",0.16686851,0.19414614,1.4486457,1.3999972,0.78193814,0.82684684,0.719468,0.97651225,0.6745826,0.7519269,-0.0773443
15,-0.22223781,-0.35428554,"('boring', 'funny')",0.90311605,0.77029586,0.73060036,0.66185194,-0.28754285,-0.16765182,0.5061937,0.42292354,0.3260259,0.2666268,0.0593991
83,-0.21946996,-0.1660904,"('powerless', 'powerful')",0.10869777,-0.046017326,-0.6377783,-0.6584963,-0.050234146,-0.07179066,-1.3453506,-1.3532996,-0.428827,-0.4591389,0.0303119
54,-0.21260822,-0.63854086,"('incapable', 'capable')",0.23400086,-0.011684574,0.35260332,-0.1314729,-0.29092118,-0.70110863,0.6946382,0.5602643,0.1555426,-0.1845085,0.3400511
37,0.20754845,0.17969853,"('fake', 'genuine')",0.33612785,0.5077873,-0.37093216,-0.10898404,0.09338644,0.16303538,0.054367684,0.2209776,0.0640997,0.192503,-0.1284033
35,0.19993298,0.43071285,"('corrupt', 'incorrupt')",-0.7011813,-0.700933,0.47978988,0.5215229,-0.928406,-0.75184363,-0.17715569,-0.08996129,-0.225404,-0.1181004,-0.1073036
30,-0.19848156,-0.3311141,"('intolerant', 'tolerant')",1.2378879,1.1053827,0.21039319,-0.07555705,0.8812125,0.62372655,0.8432575,0.5207116,0.5948539,0.3686299,0.226224
72,0.19310361,0.11673151,"('unambitious', 'ambitious')",-0.9160751,-0.84315145,-1.4573234,-1.4201398,0.35094848,0.29063088,-0.6957633,-0.6680751,-0.505022,-0.5048008,-0.0002212
38,-0.18569115,-0.27694234,"('untruthful', 'truthful')",-0.33205044,-0.5439621,-0.58326405,-0.8421628,0.42597327,0.35133407,0.26732138,0.12294091,-0.0815422,-0.2377585,0.1562163
7,0.1847096,0.21040407,"('insensitive', 'sensitive')",0.9702004,1.0887518,-0.45998853,-0.4691794,-0.07704199,-0.24629875,0.08727416,0.24848069,0.1410307,0.1664317,-0.025401
17,-0.18369335,-0.0018349048,"('nasty', 'nice')",-0.68570685,-0.5565214,-0.17070952,0.0011061057,-0.1966627,-0.14276758,-0.3577772,-0.2357726,-0.3189099,-0.1871581,-0.1317518
33,-0.17914999,-0.17421788,"('wrong', 'right')",0.022423584,-0.06043261,0.374604,0.5275884,0.6563698,0.8172353,-1.0615815,-0.8042735,-0.0374668,0.0611799,-0.0986467
0,-0.17668536,-0.2367572,"('unsociable', 'sociable')",0.060228214,-0.026928283,-0.46648848,-0.39313373,1.2260392,1.1201978,0.18734625,0.02602346,0.166088,0.0978804,0.0682076
71,-0.17067409,-0.06468539,"('diffident', 'self-confident')",1.0394782,1.1470407,-0.38118148,-0.2197816,0.049169842,0.28855503,0.20747629,0.30009997,0.1488538,0.2902457,-0.1413919
10,-0.1341321,-0.16196732,"('unsympathetic', 'sympathetic')",0.3495194,0.465448,-1.3278662,-1.1528529,0.32828557,0.06178245,0.11494159,0.03995853,-0.1338503,-0.1495263,0.015676
11,0.10239674,-0.34998193,"('unhelpful', 'helpful')",0.21188122,0.01665857,-0.32750252,-0.7048682,0.5175507,0.14208369,2.1692572,1.837929,0.5347167,0.1883642,0.3463525
12,-0.09684017,-0.07858897,"('unsupportive', 'supportive')",0.7276392,0.7663896,0.18836424,0.22291842,0.53089267,0.4605261,-2.0774703,-1.9645531,-0.1454829,-0.1186616,-0.0268213
43,-0.09091296,-0.25260282,"('irresponsible', 'responsible')",0.5689327,0.6183248,-0.38022774,-0.5520888,0.13617818,-0.028741056,0.54586357,0.38843042,0.1559667,0.0346645,0.1213022
77,-0.08898073,-0.36858472,"('unmotivated', 'motivated')",0.84069735,0.8574569,0.092458956,0.06640354,0.42498964,0.26333728,-1.1498188,-1.2473902,0.0238693,-0.0857554,0.1096247
78,0.06503503,0.22913402,"('nonresilient', 'resilient')",0.19993883,0.32621437,0.24219629,0.4155106,-0.12086731,-0.09421712,-0.015122049,0.084483445,0.0742362,0.1922251,-0.1179889
45,0.058003455,0.39053202,"('incompetent', 'competent')",0.7663846,1.2179686,-0.30479237,0.23721904,0.84710896,0.9002879,-0.1544914,-0.010547489,0.2424426,0.547092,-0.3046494
74,0.010785855,0.090973385,"('undedicated', 'dedicated')",0.40648046,0.48994184,0.60159,0.69775903,0.29586607,0.21454716,0.22557142,0.2467797,0.3080587,0.3480002,-0.0399415
