,baxter_male,baxter_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
71,2.3759832,2.0531266,"('diffident', 'self-confident')",0.96192396,0.98639613,0.6236071,0.65557384,1.3205048,1.2316988,0.088806
44,-2.2284608,-1.877427,"('prejudiced', 'unprejudiced')",0.1624952,0.15133338,-1.2124954,-1.2307148,-1.0928203,-0.9856029,-0.1072174
9,1.9432371,1.506716,"('unaffectionate', 'caring')",0.3959927,0.48088,1.321153,1.2765956,1.2201276,1.0880639,0.1320637
75,-1.9198089,-1.5576575,"('meek', 'impulsive')",-0.4135326,-0.043199215,-0.51081175,-0.34062913,-0.9480511,-0.6471619,-0.3008892
26,1.8550153,1.3324249,"('hardhearted', 'benevolent')",1.4682899,1.3434225,2.1311843,1.8083538,1.8181632,1.4947338,0.3234294
39,1.7957677,1.5218939,"('exploitative', 'cooperative')",0.92590827,0.5784237,0.19946162,0.021300485,0.9737125,0.707206,0.2665065
16,-1.5740364,-1.7015225,"('unpopular', 'popular')",0.0618018,-0.04561331,0.6164112,0.46013528,-0.2986078,-0.4290001,0.1303923
61,1.5498297,1.2386427,"('illogical', 'logical')",-0.26939568,-0.5958112,0.22018915,-0.039337717,0.5002077,0.2011646,0.2990431
1,1.4395132,0.9655796,"('unfriendly', 'friendly')",0.47190988,0.3091179,2.3006048,2.030156,1.4040093,1.1016178,0.3023915
46,-1.3849804,-1.2680709,"('uncompetitive', 'competitive')",0.03711061,-0.14572534,-0.89306116,-1.1221486,-0.746977,-0.845315,0.098338
81,-1.2770431,-0.8708168,"('submissive', 'aggressive')",0.74016225,0.71949935,-0.97353756,-0.82704353,-0.5034728,-0.3261203,-0.1773525
82,-1.2482433,-1.0047988,"('poor', 'rich')",-1.3066617,-1.0874237,5.943689,6.106659,1.1295946,1.3381456,-0.208551
57,-1.2076874,-1.1715437,"('unimaginative', 'imaginative')",-0.12444942,-0.43458295,-2.4696558,-2.6942124,-1.2672642,-1.4334464,0.1661822
74,1.1728401,1.1394954,"('undedicated', 'dedicated')",0.3196205,0.5288465,0.23867299,0.07826688,0.5770445,0.5822029,-0.0051584
3,-1.1714879,-1.2167937,"('repellent', 'pleasant')",-0.3240105,-0.35412338,0.05840504,0.12328447,-0.4790311,-0.4825442,0.0035131
64,-1.1499352,-1.0302874,"('shy', 'confident')",0.02997585,-0.060243633,-6.681876,-6.7962384,-2.6006118,-2.6289231,0.0283113
68,-1.0806184,-0.9511116,"('dependent', 'independent')",-0.32809198,-0.032509215,-0.8690411,-0.842251,-0.7592505,-0.6086239,-0.1506266
84,1.0762217,0.841529,"('inferior', 'superior')",0.7279574,0.64116794,1.1164664,1.0545266,0.9735486,0.8457412,0.1278074
