,aes_male,aes_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-2.2942064,-2.1847346,"('unfriendly', 'friendly')",0.9082898,0.8286025,-0.6929583,-0.678066,-0.0148923
6,-1.9033585,-2.0554132,"('distant', 'open')",-1.0045959,-1.2123865,-1.4539771,-1.6338999,0.1799228
8,-1.8243377,-1.8260934,"('unaffectionate', 'affectionate')",0.03595189,-0.10236487,-0.8941929,-0.9642292,0.0700363
5,-1.7308817,-1.9275405,"('distant', 'outgoing')",-0.8530809,-0.94249797,-1.2919813,-1.4350193,0.143038
36,-1.5084776,-1.7038187,"('hostile', 'amicable')",-0.5454407,-0.74753267,-1.0269592,-1.2256757,0.1987165
53,-1.4857049,-1.2864499,"('uncreative', 'creative')",0.37749666,0.4084647,-0.5541041,-0.4389926,-0.1151115
9,-1.4052979,-1.2891626,"('unaffectionate', 'caring')",0.970301,0.880183,-0.2174985,-0.2044898,-0.0130087
79,-1.380011,-1.7575654,"('wavering', 'unwavering')",-0.44356135,-0.7092504,-0.9117861,-1.2334079,0.3216218
18,-1.3668703,-1.2041837,"('disagreeable', 'welcoming')",-0.6447033,-0.60614204,-1.0057868,-0.9051629,-0.1006239
60,1.2821221,1.7371768,"('inefficient', 'efficient')",0.45767716,0.7005401,0.8698996,1.2188585,-0.3489589
57,-1.2642876,-1.2772628,"('unimaginative', 'imaginative')",-3.2224302,-3.3247638,-2.2433589,-2.3010132,0.0576543
19,-1.2427762,-1.3349935,"('inhospitable', 'hospitable')",-0.58042747,-0.5931984,-0.9116018,-0.964096,0.0524942
31,-1.220485,-1.4906547,"('evil', 'good')",-1.1306483,-1.3236496,-1.1755667,-1.4071522,0.2315855
29,-1.1268723,-1.2114751,"('unfair', 'fair')",-0.4591961,-0.70322657,-0.7930342,-0.9573509,0.1643167
86,-1.0271412,-1.0167825,"('uninfluential', 'influential')",-0.05689223,-0.2086364,-0.5420167,-0.6127095,0.0706928
54,-0.9982419,-1.0365006,"('incapable', 'capable')",0.7315709,0.7611288,-0.1333355,-0.1376859,0.0043504
85,-0.99037266,-1.2224766,"('insignificant', 'prestigious')",-0.57753444,-0.7762549,-0.7839535,-0.9993657,0.2154122
52,-0.98958856,-1.082005,"('irrational', 'rational')",-0.62038845,-0.4975777,-0.8049885,-0.7897913,-0.0151972
80,0.9790274,0.8397021,"('dominated', 'dominating')",-0.3281494,-0.34780386,0.325439,0.2459491,0.0794899
0,-0.9557698,-0.87905115,"('unsociable', 'sociable')",-0.0040914025,-0.062471412,-0.4799306,-0.4707613,-0.0091693
28,-0.94372475,-0.67449296,"('disloyal', 'loyal')",0.7731853,0.9250118,-0.0852697,0.1252594,-0.2105291
81,0.94308704,1.1090254,"('submissive', 'aggressive')",-0.035862252,0.14938127,0.4536124,0.6292033,-0.1755909
66,-0.9118233,-1.4707208,"('inactive', 'active')",0.6641922,0.21186417,-0.1238155,-0.6294283,0.5056128
71,-0.8635844,-1.0490592,"('diffident', 'self-confident')",0.48338377,0.2807111,-0.1901003,-0.384174,0.1940737
38,-0.79634136,-0.8018866,"('untruthful', 'truthful')",0.35062188,0.39459482,-0.2228597,-0.2036459,-0.0192138
10,-0.7771051,-0.6986522,"('unsympathetic', 'sympathetic')",-0.016801655,-0.11801105,-0.3969534,-0.4083316,0.0113782
62,0.7719348,1.0787787,"('incompetent', 'brilliant')",1.0616691,1.3496982,0.9168019,1.2142384,-0.2974365
16,-0.7664524,-0.5730045,"('unpopular', 'popular')",0.39383048,0.4353409,-0.1863109,-0.0688318,-0.1174791
22,-0.75099474,-0.79107,"('untrustworthy', 'trustworthy')",-0.9021274,-0.93007565,-0.8265611,-0.8605728,0.0340117
25,-0.7408864,-0.54003054,"('egoistic', 'altruistic')",0.36189026,0.4641379,-0.1894981,-0.0379463,-0.1515518
39,0.7359535,0.7533346,"('exploitative', 'cooperative')",-0.080925584,0.11829066,0.327514,0.4358126,-0.1082986
67,0.6722049,0.4536022,"('doubtful', 'determined')",-0.40457258,-0.46307477,0.1338162,-0.0047363,0.1385525
84,0.65128,0.69883406,"('inferior', 'superior')",0.9225099,0.991209,0.7868949,0.8450215,-0.0581266
56,0.64472556,0.65766704,"('impractical', 'practical')",-0.12975417,-0.069941685,0.2574857,0.2938627,-0.036377
75,-0.64208245,-0.86913633,"('meek', 'impulsive')",-0.64851636,-0.7682541,-0.6452994,-0.8186952,0.1733958
65,0.6256478,0.7852261,"('insecure', 'secure')",0.10418277,0.21724191,0.3649153,0.501234,-0.1363187
61,0.6144892,0.53418326,"('illogical', 'logical')",0.7640519,0.6536289,0.6892706,0.593906,0.0953646
88,-0.6048637,-0.6807005,"('low', 'eminent')",-0.2968205,-0.31602797,-0.4508421,-0.4983642,0.0475221
20,0.5857954,0.5162048,"('rough', 'thoughtful')",0.78248584,0.6882784,0.6841406,0.6022416,0.081899
59,-0.5708108,-0.5901526,"('foolish', 'wise')",-0.18420985,-0.014072446,-0.3775103,-0.3021125,-0.0753978
30,0.56344885,0.79513353,"('intolerant', 'tolerant')",0.8717456,1.0956352,0.7175972,0.9453844,-0.2277872
69,0.5537716,0.08493956,"('lazy', 'industrious')",-0.85547197,-0.9429929,-0.1508502,-0.4290267,0.2781765
83,-0.53812903,-0.5834113,"('powerless', 'powerful')",-0.8881488,-0.93951523,-0.7131389,-0.7614633,0.0483244
4,-0.53122294,-0.4580017,"('disliked', 'liked')",-6.7439675,-6.4863005,-3.6375952,-3.472151,-0.1654442
32,-0.5192773,-0.34356433,"('unkind', 'kind')",0.90845466,0.8398675,0.1945887,0.2481516,-0.0535629
35,-0.48836482,-0.6933042,"('corrupt', 'incorrupt')",-1.020028,-1.0647867,-0.7541964,-0.8790454,0.124849
41,-0.46485353,-0.41336945,"('unforgiving', 'forgiving')",0.071252994,-0.09992275,-0.1968003,-0.2566461,0.0598458
73,0.45672297,0.4671852,"('helpless', 'self-reliant')",-3.5678942,-3.3894863,-1.5555856,-1.4611505,-0.0944351
27,-0.44033948,-0.525136,"('hardhearted', 'softhearted')",1.2181815,0.86860055,0.388921,0.1717323,0.2171887
64,0.38847896,0.38330054,"('shy', 'confident')",-6.1955175,-5.8140073,-2.9035194,-2.7153535,-0.1881659
14,0.38404864,0.57346684,"('antisocial', 'social')",0.13092333,0.20648699,0.257486,0.3899769,-0.1324909
17,-0.38183105,-0.39635757,"('nasty', 'nice')",-0.7853322,-0.7462285,-0.5835816,-0.5712931,-0.0122885
76,0.3779849,0.5401222,"('anxious', 'daring')",0.09197939,0.16084409,0.2349821,0.3504831,-0.115501
78,-0.37134105,-0.07538583,"('nonresilient', 'resilient')",0.28610322,0.3473562,-0.0426189,0.1359852,-0.1786041
12,-0.35328305,-0.349987,"('unsupportive', 'supportive')",-1.7318621,-1.7918754,-1.0425725,-1.0709312,0.0283587
2,0.32306662,0.35985973,"('unlikable', 'likable')",0.4248676,0.48445943,0.3739671,0.4221596,-0.0481925
44,-0.3071766,-0.46496332,"('prejudiced', 'unprejudiced')",-1.5826082,-1.5845734,-0.9448924,-1.0247684,0.079876
