,forest_male,forest_female,tuple,labs_male,labs_female,inc_male,inc_female,average_male,average_female,male-female
36,-3.3349705,-2.7169027,"('hostile', 'amicable')",-2.6207316,-2.434107,0.18618074,0.3141421,-1.9231737,-1.6122891,-0.3108846
31,-3.0676005,-2.5461397,"('evil', 'good')",-1.8005458,-1.3590567,-0.84327793,-0.578784,-1.9038081,-1.4946601,-0.409148
56,2.7591975,2.4835937,"('impractical', 'practical')",1.4158865,1.2467643,-0.2588526,-0.28459138,1.3054105,1.1485889,0.1568216
60,2.488991,2.064853,"('inefficient', 'efficient')",2.89259,2.5424933,-0.011720563,-0.056591228,1.7899535,1.5169185,0.273035
14,2.2077186,1.2923852,"('antisocial', 'social')",1.5885231,1.1426073,-0.6102652,-1.0238199,1.0619922,0.4703909,0.5916013
19,-2.0452187,-1.4624221,"('inhospitable', 'hospitable')",-1.6298501,-1.3838645,-0.2748827,0.030451732,-1.3166505,-0.9386117,-0.3780388
6,-1.8907286,-1.1764328,"('distant', 'open')",-1.9858942,-1.5447198,0.5994207,1.0806192,-1.0924006,-0.5468445,-0.5455561
39,1.8794111,1.6992307,"('exploitative', 'cooperative')",0.81782615,0.539028,0.18190092,0.09778434,0.9597127,0.778681,0.1810317
5,-1.8776308,-1.21836,"('distant', 'outgoing')",-1.514745,-0.9956703,-0.15358207,0.53956234,-1.181986,-0.558156,-0.62383
43,1.7713125,1.4511142,"('irresponsible', 'responsible')",0.24557525,0.08270325,0.56248415,0.6295706,0.8597906,0.7211293,0.1386613
30,1.7168739,1.3992727,"('intolerant', 'tolerant')",1.4215859,1.1051452,1.0457008,0.9051122,1.3947201,1.1365101,0.25821
21,1.6458468,0.95914614,"('immoral', 'moral')",0.936991,0.5807641,-0.9695239,-1.0208052,0.5377713,0.173035,0.3647363
71,1.6001964,1.848329,"('diffident', 'self-confident')",-0.05085539,0.14142235,0.40786564,0.7423631,0.6524022,0.9107048,-0.2583026
52,-1.5160123,-1.2048765,"('irrational', 'rational')",-1.6779524,-1.5775038,-0.16007134,-0.01148567,-1.118012,-0.9312886,-0.1867234
4,-1.4950076,-1.0093347,"('disliked', 'liked')",-0.9215821,-0.5165477,-7.085312,-6.8589864,-3.1673005,-2.7949562,-0.3723443
35,-1.4824407,-0.90769494,"('corrupt', 'incorrupt')",-1.9032387,-1.4615437,-0.24501769,-0.037798166,-1.2102323,-0.8023456,-0.4078867
10,1.3935856,0.80203587,"('unsympathetic', 'sympathetic')",0.2564469,-0.10427672,0.0075472696,-0.24628523,0.5525266,0.1504913,0.4020353
16,-1.3665351,-0.97815275,"('unpopular', 'popular')",-0.4092832,-0.109143615,0.48878413,0.5826239,-0.4290113,-0.1682242,-0.2607871
55,1.3429787,0.7443732,"('incompetent', 'clever')",2.3458674,1.9358268,0.0062953085,-0.28475454,1.2317138,0.7984819,0.4332319
62,1.2837303,1.0080669,"('incompetent', 'brilliant')",2.6576283,2.5561934,0.23003818,0.5359005,1.3904656,1.3667202,0.0237454
46,1.242967,0.72842324,"('uncompetitive', 'competitive')",0.7294542,0.401312,-1.1333266,-1.3130519,0.2796982,-0.0611056,0.3408038
80,1.2046111,0.75489885,"('dominated', 'dominating')",1.036507,0.99428266,-1.2580868,-1.4235872,0.3276771,0.1085314,0.2191457
7,1.1952572,0.8565623,"('insensitive', 'sensitive')",0.65998745,0.6092115,0.7592908,0.8100272,0.8715118,0.7586003,0.1129115
79,-1.1753129,-0.7218536,"('wavering', 'unwavering')",-2.160081,-2.08842,-0.058084283,0.17666191,-1.1311594,-0.8778706,-0.2532888
81,1.1386379,0.42106417,"('submissive', 'aggressive')",2.0046961,1.5546185,-0.54620206,-0.8008219,0.8657106,0.3916202,0.4740904
32,1.1377783,0.73987216,"('unkind', 'kind')",0.542708,0.43763503,0.92347044,0.8718852,0.8679856,0.6831307,0.1848549
24,1.0977819,0.86638045,"('dishonest', 'honest')",-0.58940697,-0.64766604,1.0639488,1.1668385,0.5241079,0.461851,0.0622569
47,1.0932727,0.59237045,"('stupid', 'smart')",0.35670462,0.15945935,6.080654,6.2627435,2.5102105,2.338191,0.1720195
23,1.071949,0.7416386,"('insincere', 'sincere')",0.6552291,0.43903548,6.258561,6.2674165,2.6619131,2.4826969,0.1792162
44,-1.0563862,-1.2194269,"('prejudiced', 'unprejudiced')",-0.11067461,-0.38731834,-1.2417371,-1.4333361,-0.8029327,-1.0133605,0.2104278
50,-1.0546026,-0.8657215,"('clumsy', 'skillful')",-0.61272055,-0.5761854,-0.030045591,0.21486825,-0.5657896,-0.4090129,-0.1567767
63,0.989849,0.82445073,"('unperceptive', 'insightful')",0.7923398,0.6874778,0.7405883,0.9711651,0.8409257,0.8276979,0.0132278
66,-0.9806304,-0.92790294,"('inactive', 'active')",-1.005593,-0.9909409,0.79775935,0.69406843,-0.3961546,-0.4082585,0.0121039
67,0.9777715,0.81858593,"('doubtful', 'determined')",-0.26253265,-0.38883454,-0.40276352,-0.4282275,0.1041585,0.000508,0.1036505
42,0.96049285,0.75759923,"('unreliable', 'reliable')",0.16517577,-0.041953463,-2.7325146,-2.5495906,-0.5356153,-0.6113149,0.0756996
75,-0.92672133,-0.77136195,"('meek', 'impulsive')",-0.44987378,-0.49517584,-0.3099156,-0.15796728,-0.5621703,-0.474835,-0.0873353
12,0.9073635,0.986649,"('unsupportive', 'supportive')",-0.07172203,0.22211981,-1.9511108,-1.6440687,-0.3718232,-0.1451,-0.2267232
27,-0.8978576,-0.61462164,"('hardhearted', 'softhearted')",0.057068847,0.28454205,1.6726117,1.779849,0.2772743,0.4832565,-0.2059822
70,0.88566494,0.56744987,"('lethargic', 'energetic')",0.7978373,0.463676,0.9538396,0.7669411,0.8791139,0.5993557,0.2797582
13,0.86939526,0.33284244,"('impolite', 'polite')",0.24778183,-0.56139284,-0.35078195,-0.48957697,0.2554651,-0.2393758,0.4948409
