,lilly_male,lilly_female,tuple,eli_male,eli_female,&_male,&_female,co_male,co_female,average_male,average_female,male-female
5,3.0335667,3.155354,"('distant', 'outgoing')",1.1337203,1.2418294,0.61491853,0.70484066,-0.007484697,-0.15176062,1.1936802,1.2375659,-0.0438857
6,2.852975,2.9213884,"('distant', 'open')",1.6056879,1.7526462,0.8874812,0.9089587,0.07133627,-0.10882872,1.3543701,1.3685412,-0.0141711
71,2.426851,2.339912,"('diffident', 'self-confident')",1.8288289,1.7177078,0.38282686,0.3854225,0.20545708,0.07954312,1.210991,1.1306463,0.0803447
35,2.400011,2.5304646,"('corrupt', 'incorrupt')",0.2181129,0.49799287,0.33947527,0.51569945,0.06147232,0.108743325,0.7547679,0.9132251,-0.1584572
85,2.3530166,2.427937,"('insignificant', 'prestigious')",0.57074904,0.6105953,1.9165202,1.9769095,0.7359848,0.6037278,1.3940676,1.4047924,-0.0107248
3,-2.1442661,-2.3155427,"('repellent', 'pleasant')",-1.3714875,-1.5770516,-1.4055018,-1.4993498,0.54626757,0.5207904,-1.093747,-1.2177883,0.1240413
46,-2.0237248,-2.1740682,"('uncompetitive', 'competitive')",-0.3104605,-0.5536639,-0.7015387,-0.8744097,-0.37670532,-0.2155831,-0.8531074,-0.9544312,0.1013238
9,1.9954458,1.9863795,"('unaffectionate', 'caring')",1.6393963,1.6085932,0.9010994,0.5996285,1.2195545,1.0016806,1.438874,1.2990704,0.1398036
65,-1.853376,-1.9946365,"('insecure', 'secure')",-1.534418,-1.6486527,-0.46205473,-0.5266309,-0.9801765,-0.9248824,-1.2075063,-1.2737006,0.0661943
69,1.7915461,1.9518898,"('lazy', 'industrious')",0.92614615,1.0548304,1.463949,1.6615928,0.32492763,0.33010057,1.1266423,1.2496034,-0.1229611
10,-1.7661304,-1.8029461,"('unsympathetic', 'sympathetic')",-0.84168345,-0.8241174,-0.9810474,-1.1136286,-0.07521336,0.09660381,-0.9160187,-0.9110221,-0.0049966
76,-1.7644331,-1.8206068,"('anxious', 'daring')",-1.4236733,-1.4398923,0.3797534,0.28302258,-0.14908674,-0.03733941,-0.73936,-0.753704,0.014344
19,1.758203,1.6988055,"('inhospitable', 'hospitable')",0.63316005,0.5426865,-0.36876845,-0.44369817,0.38759416,0.2829036,0.6025472,0.5201744,0.0823728
57,-1.7476246,-1.9015821,"('unimaginative', 'imaginative')",-1.6678703,-1.7790568,-1.1725476,-1.2426789,-2.6948254,-2.7790632,-1.8207169,-1.9255953,0.1048784
0,-1.7440865,-1.7290902,"('unsociable', 'sociable')",-0.29403087,-0.42744774,0.1257138,0.119415626,-0.25504407,-0.120262995,-0.5418619,-0.5393464,-0.0025155
79,1.6914076,1.5684515,"('wavering', 'unwavering')",0.8344375,0.83371085,0.9176432,0.9093292,0.43052733,0.3543994,0.9685038,0.9164727,0.0520311
45,-1.6854941,-1.8684673,"('incompetent', 'competent')",-0.8693373,-0.9759078,-0.5745703,-0.7322376,-1.3029555,-1.2363737,-1.1080893,-1.2032466,0.0951573
80,-1.5846869,-1.6403258,"('dominated', 'dominating')",-0.51409125,-0.47513974,-0.25572315,-0.25647992,-0.3577366,-0.1511591,-0.6780595,-0.6307762,-0.0472833
14,-1.574057,-1.5134127,"('antisocial', 'social')",-1.0480678,-1.1028761,0.011812994,0.16880155,-1.2234217,-1.10804,-0.9584334,-0.8888818,-0.0695516
70,-1.5667942,-1.7570485,"('lethargic', 'energetic')",-0.90044224,-1.0439492,-0.28352055,-0.48922944,-0.51569915,-0.45389533,-0.816614,-0.9360306,0.1194166
33,1.5419652,1.6474097,"('wrong', 'right')",0.65382135,0.7775589,1.2025511,1.3029461,-0.71644896,-0.7957725,0.6704721,0.7330356,-0.0625635
26,1.4911311,1.5510366,"('hardhearted', 'benevolent')",1.7315547,1.7571987,2.231166,2.2507281,1.1461722,1.0957407,1.6500059,1.663676,-0.0136701
81,-1.4081112,-1.4066297,"('submissive', 'aggressive')",-0.46570963,-0.5525129,-0.103019014,-0.014423281,-1.214211,-0.9398185,-0.7977627,-0.7283461,-0.0694166
59,1.4028702,1.4226465,"('foolish', 'wise')",0.96888876,1.0316169,1.4496874,1.304802,-0.40054393,-0.61478555,0.8552256,0.78607,0.0691556
55,-1.3915269,-1.4951464,"('incompetent', 'clever')",-0.099366866,-0.15817432,-0.44454715,-0.5632254,-0.9149713,-0.7753624,-0.7126031,-0.7479771,0.035374
68,-1.382201,-1.3857651,"('dependent', 'independent')",-0.8498748,-0.8530171,-1.1321452,-1.1402037,-1.714376,-1.6022681,-1.2696493,-1.2453135,-0.0243358
22,-1.2843702,-1.4324391,"('untrustworthy', 'trustworthy')",-1.1592276,-1.2579061,-0.6343522,-0.731802,-1.7300633,-1.7569551,-1.2020034,-1.2947756,0.0927722
1,1.2428361,1.2473845,"('unfriendly', 'friendly')",0.9817277,0.9194684,0.69839287,0.49164107,0.9155474,0.63108426,0.959626,0.8223945,0.1372315
36,1.2161777,1.1752874,"('hostile', 'amicable')",-0.120617,-0.07694749,0.37834704,0.36424488,0.38251752,0.15768947,0.4641063,0.4050685,0.0590378
41,-1.17198,-1.0831869,"('unforgiving', 'forgiving')",-0.12709314,-0.09264336,0.255583,0.27843904,-0.23894277,-0.22684911,-0.3206082,-0.2810601,-0.0395481
47,-1.141833,-1.2302201,"('stupid', 'smart')",-0.3892594,-0.5164002,0.29134172,0.088878065,3.401469,3.3422484,0.5404296,0.4211265,0.1193031
63,-1.1188114,-1.2792114,"('unperceptive', 'insightful')",-0.04320194,-0.18542302,0.7504372,0.5012894,0.3081658,0.37464374,-0.0258526,-0.1471753,0.1213227
25,1.0634559,1.0918908,"('egoistic', 'altruistic')",0.07105386,0.11923843,1.0044608,1.045049,1.3783401,1.238904,0.8793277,0.8737705,0.0055572
73,1.002851,0.9963698,"('helpless', 'self-reliant')",0.8559201,0.8506423,-0.36075875,-0.33619437,-2.631617,-2.883181,-0.2834012,-0.3430909,0.0596897
60,-0.9859973,-1.1668714,"('inefficient', 'efficient')",0.058744706,-0.1428003,-0.036262777,-0.16630474,-0.37586677,-0.22013514,-0.3348455,-0.4240279,0.0891824
21,-0.956079,-1.0257499,"('immoral', 'moral')",-0.4273516,-0.46176437,-0.22130159,-0.334342,-1.5731562,-1.453819,-0.7944721,-0.8189188,0.0244467
44,-0.94074416,-0.8688481,"('prejudiced', 'unprejudiced')",-1.4176991,-1.3423707,-0.93715954,-0.79391134,-1.2066579,-1.1912287,-1.1255652,-1.0490898,-0.0764754
84,0.92563194,1.0732597,"('inferior', 'superior')",0.07363748,0.16144553,0.69959426,0.70537317,0.47794846,0.5253919,0.544203,0.6163676,-0.0721646
31,0.9083264,0.83929104,"('evil', 'good')",-0.42864424,-0.4327365,-0.03328522,-0.023813259,-0.6805636,-0.8420548,-0.0585417,-0.1148284,0.0562867
13,-0.89907634,-1.0621867,"('impolite', 'polite')",-0.20441304,-0.2879577,-0.49360123,-0.57152855,-0.43427876,-0.29587787,-0.5078424,-0.5543877,0.0465453
8,0.8796661,0.9550521,"('unaffectionate', 'affectionate')",0.8045154,0.75006086,0.86663467,0.6326696,0.57466143,0.3559644,0.7813694,0.6734368,0.1079326
48,-0.8683692,-0.73015124,"('unintelligent', 'intelligent')",-0.47142798,-0.42145044,-0.16592182,-0.16744068,-1.326772,-1.1819837,-0.7081227,-0.6252565,-0.0828662
58,-0.8477947,-0.98304343,"('undiscriminating', 'discriminating')",-1.6683314,-1.794108,-1.018743,-1.0610522,-0.0336299,-0.10372104,-0.8921248,-0.9854813,0.0933565
72,-0.8353623,-0.7133347,"('unambitious', 'ambitious')",-0.5202105,-0.35707048,-1.3311663,-1.2855177,-1.3939397,-1.2909086,-1.0201697,-0.9117078,-0.1084619
42,-0.74148756,-0.6975285,"('unreliable', 'reliable')",-0.6344682,-0.6431259,0.37768617,0.42829892,-2.4699442,-2.584381,-0.8670535,-0.8741841,0.0071306
12,0.73493594,0.7114352,"('unsupportive', 'supportive')",1.4644195,1.4387393,1.0961672,0.911962,-1.4112053,-1.3748847,0.4710793,0.421813,0.0492663
74,0.733693,0.5127654,"('undedicated', 'dedicated')",0.8739054,0.66603684,0.3348604,0.08519846,-0.15603092,-0.24100558,0.446607,0.2557488,0.1908582
43,-0.7294729,-0.79994625,"('irresponsible', 'responsible')",0.1253711,-0.041658908,-0.35636473,-0.61488426,0.21077026,0.14290015,-0.1874241,-0.3283973,0.1409732
51,-0.6646867,-0.6080453,"('uneducated', 'educated')",-0.11928137,-0.038336247,0.058592185,0.2072442,-0.5258009,-0.28841686,-0.3127942,-0.1818885,-0.1309057
53,0.65754956,0.6164727,"('uncreative', 'creative')",-0.39379406,-0.48419413,0.31080547,0.17324157,1.0380538,0.87806034,0.4031537,0.2958951,0.1072586
15,0.65447384,0.6775027,"('boring', 'funny')",0.7385627,0.85338694,0.6730559,0.69619143,0.23595859,0.16888966,0.5755128,0.5989927,-0.0234799
38,0.63801545,0.6513975,"('untruthful', 'truthful')",0.41398105,0.4466052,-0.23105761,-0.29101953,0.735242,0.6866044,0.3890452,0.3733969,0.0156483
34,-0.6063456,-0.7207598,"('mean', 'honorable')",-0.3813643,-0.5524881,0.30465746,0.03162788,4.82507,4.7308416,1.0355043,0.8723054,0.1631989
