,apartment_male,apartment_female,tuple,investment_male,investment_female,&_male,&_female,mgmt_male,mgmt_female,co_male,co_female,average_male,average_female,male-female
31,-2.289343,-2.361369,"('evil', 'good')",-1.6138564,-1.9153193,-1.9319093,-2.3090487,-1.3762056,-1.6028622,-1.536303,-1.6172439,-1.7495235,-1.9611685,0.211645
60,2.1251905,2.2017822,"('inefficient', 'efficient')",1.0968848,1.3580016,2.5522323,2.6167939,0.5099097,0.8467829,0.6318098,0.5239402,1.3832054,1.5094601,-0.1262547
39,2.0114374,2.1008632,"('exploitative', 'cooperative')",0.2041404,0.38188845,1.183462,1.1703986,-0.20388773,0.2715288,0.8437408,0.8221552,0.8077785,0.9493668,-0.1415883
16,-1.9582478,-1.7762673,"('unpopular', 'popular')",-0.6608854,-0.69401276,-0.6015938,-0.36966455,-0.6395622,-0.47913432,-0.298868,0.016386323,-0.8318315,-0.6605386,-0.1712929
43,1.9073081,1.8599306,"('irresponsible', 'responsible')",1.3138148,1.5468688,2.0246515,2.087495,0.5444076,0.84266686,1.4413233,1.2837269,1.4463011,1.5241375,-0.0778364
52,-1.8188479,-1.6377456,"('irrational', 'rational')",-1.3078012,-1.3403664,-1.5459923,-1.2995288,-0.5897529,-0.37503392,-0.5919705,-0.48182222,-1.1708729,-1.0268993,-0.1439736
14,1.7792253,1.8211421,"('antisocial', 'social')",1.9472387,2.1718001,1.6621561,1.7358036,0.8016201,1.0329156,0.03720516,-0.083424896,1.2454891,1.3356473,-0.0901582
75,-1.7784915,-1.8049222,"('meek', 'impulsive')",0.058784854,0.13399923,-0.6727581,-0.5106374,0.18719405,0.3724818,-0.605228,-0.47507483,-0.5620997,-0.4568307,-0.105269
56,1.7305098,1.779793,"('impractical', 'practical')",0.5649939,0.83241946,0.6686687,0.89659315,0.34508651,0.6076055,-0.2682371,-0.28818977,0.6082044,0.7656443,-0.1574399
30,1.6472828,1.6403131,"('intolerant', 'tolerant')",1.5464308,1.7933346,1.1939121,1.3750223,0.5651156,0.9901647,0.41680846,0.6008966,1.07391,1.2799463,-0.2060363
