,hospira_male,hospira_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.176011,-2.2859142,"('unfriendly', 'friendly')",1.7605202,1.7438982,-0.2077454,-0.271008,0.0632626
53,-1.8291878,-1.8566281,"('uncreative', 'creative')",0.6484215,0.69277513,-0.5903831,-0.5819265,-0.0084566
86,-1.8172036,-1.7940269,"('uninfluential', 'influential')",-0.34186107,-0.16112706,-1.0795324,-0.977577,-0.1019554
9,-1.7969934,-1.9023082,"('unaffectionate', 'caring')",1.2440393,1.2534752,-0.276477,-0.3244165,0.0479395
6,-1.7296345,-1.5736427,"('distant', 'open')",0.19849627,0.1864043,-0.7655692,-0.6936192,-0.07195
19,-1.5404856,-1.4708138,"('inhospitable', 'hospitable')",-0.38803992,-0.25744784,-0.9642628,-0.8641308,-0.100132
10,-1.5150635,-1.6025227,"('unsympathetic', 'sympathetic')",-0.14679193,-0.08973256,-0.8309277,-0.8461276,0.0151999
79,-1.3507206,-1.316644,"('wavering', 'unwavering')",-0.3572489,-0.40681595,-0.8539848,-0.86173,0.0077452
5,-1.3115705,-1.1276623,"('distant', 'outgoing')",-0.11380239,-0.06514531,-0.7126865,-0.5964038,-0.1162827
61,-1.2893412,-1.2328612,"('illogical', 'logical')",0.28033587,0.35078353,-0.5045027,-0.4410388,-0.0634639
54,-1.2670529,-1.2762561,"('incapable', 'capable')",1.332292,1.2858336,0.0326195,0.0047888,0.0278307
66,-1.252314,-1.2590107,"('inactive', 'active')",0.18921451,0.2951858,-0.5315498,-0.4819124,-0.0496374
8,-1.22812,-1.3178838,"('unaffectionate', 'affectionate')",0.8378275,0.82999337,-0.1951462,-0.2439452,0.048799
57,-1.2176231,-1.2739046,"('unimaginative', 'imaginative')",-2.7755237,-2.5637136,-1.9965734,-1.9188091,-0.0777643
44,1.2043163,1.2297997,"('prejudiced', 'unprejudiced')",-1.3275458,-1.2467227,-0.0616148,-0.0084615,-0.0531533
38,-1.2025825,-1.3075721,"('untruthful', 'truthful')",0.08090016,-0.002381593,-0.5608411,-0.6549768,0.0941357
