,covidien_male,covidien_female,tuple,plc_male,plc_female,average_male,average_female,male-female
1,-2.2314956,-1.8721719,"('unfriendly', 'friendly')",1.3645538,1.5580001,-0.4334709,-0.1570859,-0.276385
86,-1.8915758,-1.9080684,"('uninfluential', 'influential')",0.372949,-0.038773768,-0.7593134,-0.9734211,0.2141077
10,-1.8368526,-2.0145073,"('unsympathetic', 'sympathetic')",-0.5833187,-0.7587204,-1.2100856,-1.3866138,0.1765282
27,-1.7835244,-1.5455616,"('hardhearted', 'softhearted')",-0.04214863,0.089212194,-0.9128365,-0.7281747,-0.1846618
18,-1.5535209,-1.3793594,"('disagreeable', 'welcoming')",-1.0783304,-1.0458416,-1.3159256,-1.2126005,-0.1033251
8,-1.46674,-1.2674813,"('unaffectionate', 'affectionate')",0.45656455,0.71341616,-0.5050877,-0.2770326,-0.2280551
9,-1.4242582,-1.1788423,"('unaffectionate', 'caring')",1.068503,1.2393116,-0.1778776,0.0302346,-0.2081122
69,1.3680875,1.2756975,"('lazy', 'industrious')",0.22028464,0.23421001,0.7941861,0.7549537,0.0392324
45,-1.3575069,-1.3572665,"('incompetent', 'competent')",1.1065534,0.34184742,-0.1254767,-0.5077096,0.3822329
23,-1.3360144,-1.2160877,"('insincere', 'sincere')",3.217394,3.689469,0.9406899,1.2366908,-0.2960009
0,-1.3173099,-1.57823,"('unsociable', 'sociable')",-0.30109555,-0.57891333,-0.8092027,-1.0785717,0.269369
84,1.2424088,1.0072763,"('inferior', 'superior')",0.55201095,0.7598225,0.8972099,0.8835494,0.0136605
13,-1.2289447,-1.2224864,"('impolite', 'polite')",-0.20221934,-0.6946925,-0.715582,-0.9585894,0.2430074
63,-1.2163628,-1.2801079,"('unperceptive', 'insightful')",1.1151952,0.731856,-0.0505838,-0.2741259,0.2235421
73,1.1959448,1.2847189,"('helpless', 'self-reliant')",-1.7845405,-1.8758568,-0.2942979,-0.2955689,0.001271
57,-1.1688969,-1.4024111,"('unimaginative', 'imaginative')",-0.5369696,-1.5556297,-0.8529333,-1.4790204,0.6260871
41,-1.1647797,-0.85179394,"('unforgiving', 'forgiving')",0.63906825,-0.073475,-0.2628557,-0.4626345,0.1997788
19,-1.1642747,-0.8538979,"('inhospitable', 'hospitable')",-0.80026364,-0.6068099,-0.9822692,-0.730354,-0.2519152
39,1.1472725,1.1180822,"('exploitative', 'cooperative')",0.664979,0.6731145,0.9061257,0.8955983,0.0105274
43,-1.1370586,-1.2502248,"('irresponsible', 'responsible')",1.1122854,0.8679493,-0.0123866,-0.1911378,0.1787512
46,-1.1245853,-1.6324124,"('uncompetitive', 'competitive')",-0.34070024,-0.9362959,-0.7326428,-1.2843542,0.5517114
53,-1.1068869,-1.0003119,"('uncreative', 'creative')",0.93524504,0.6273086,-0.0858209,-0.1865016,0.1006807
32,-1.0905601,-0.95887166,"('unkind', 'kind')",0.26592913,0.39609706,-0.4123155,-0.2813873,-0.1309282
24,-1.0495516,-0.916078,"('dishonest', 'honest')",0.5951569,0.49771413,-0.2271973,-0.2091819,-0.0180154
88,-1.0306174,-0.81788605,"('low', 'eminent')",-0.33463758,-0.14249726,-0.6826274,-0.4801916,-0.2024358
51,-0.993873,-1.0701746,"('uneducated', 'educated')",0.20011774,0.13487092,-0.3968776,-0.4676518,0.0707742
38,-0.91668653,-0.9097943,"('untruthful', 'truthful')",0.28420419,-0.08344682,-0.3162412,-0.4966205,0.1803793
21,-0.9071149,-0.98220295,"('immoral', 'moral')",-0.9517058,-1.0871797,-0.9294103,-1.0346913,0.105281
78,-0.8917094,-1.1862175,"('nonresilient', 'resilient')",0.32976827,0.13014753,-0.2809706,-0.528035,0.2470644
72,-0.883412,-0.9088965,"('unambitious', 'ambitious')",0.88698465,0.7451794,0.0017863,-0.0818585,0.0836448
