,apartment_male,apartment_female,tuple,investment_male,investment_female,&_male,&_female,mgmt_male,mgmt_female,co_male,co_female,average_male,average_female,male-female
31,-2.7003136,-2.7592578,"('evil', 'good')",-1.893315,-1.9096918,-2.467886,-1.8908976,-1.8857676,-1.5616428,-2.077376,-1.8600084,-2.2049316,-1.9962997,-0.2086319
60,2.426672,2.6268427,"('inefficient', 'efficient')",1.1744881,1.4808172,2.550107,2.2471576,0.7850907,0.5641405,0.8603787,1.1765714,1.5593472,1.6191059,-0.0597587
43,1.9749247,2.0309808,"('irresponsible', 'responsible')",1.2429494,1.2441899,2.0400496,1.8394893,0.72339296,0.60348266,1.4175361,1.5824255,1.4797706,1.4601137,0.0196569
39,1.9668205,1.9202303,"('exploitative', 'cooperative')",0.23706082,0.13595822,1.15158,1.0141081,0.03795614,-0.1770812,0.7846486,0.7793871,0.8356132,0.7345205,0.1010927
16,-1.9633082,-1.7621309,"('unpopular', 'popular')",-0.6205792,-0.41779408,-0.39809597,-0.3423037,-0.49298617,-0.32149497,-0.3348453,-0.277489,-0.7619629,-0.6242425,-0.1377204
56,1.9489465,2.1310384,"('impractical', 'practical')",0.520411,0.8073052,0.88036156,0.85039675,0.472851,0.5500297,-0.1733685,0.096584074,0.7298403,0.8870708,-0.1572305
52,-1.9341676,-2.0482535,"('irrational', 'rational')",-1.4515808,-1.5329477,-1.4305563,-1.3615581,-0.642869,-0.6543294,-0.98371404,-1.0931131,-1.2885776,-1.3380403,0.0494627
30,1.909794,1.9674526,"('intolerant', 'tolerant')",1.7474326,1.7876843,1.266048,1.2568027,0.9503472,0.6959496,0.60695314,0.7129843,1.296115,1.2841747,0.0119403
1,-1.8311546,-1.9372919,"('unfriendly', 'friendly')",0.38902435,0.3016531,-0.19132252,-0.18874654,-1.085816,-0.9639777,0.7247143,0.79118586,-0.3989109,-0.3994354,0.0005245
14,1.7087488,1.9662696,"('antisocial', 'social')",1.8664459,2.146127,1.4465472,1.355041,0.79291946,0.7814195,-0.19447371,0.06557304,1.1240376,1.2628861,-0.1388485
25,-1.664989,-1.6502371,"('egoistic', 'altruistic')",0.027042374,-0.0216126,-0.7512961,-0.6307636,-0.7198601,-0.5799138,1.0077231,0.86180884,-0.4202759,-0.4041437,-0.0161322
23,1.636411,1.6458156,"('insincere', 'sincere')",1.6002903,1.5200738,2.3960636,2.0602145,0.69511855,0.43924725,5.6758475,5.6367493,2.4007462,2.26042,0.1403262
75,-1.5340116,-1.3905884,"('meek', 'impulsive')",0.47950298,0.37495968,-0.37571433,-0.28104413,0.5172566,0.65961725,-0.3578869,-0.43400654,-0.2541707,-0.2142124,-0.0399583
84,-1.4914031,-1.6043245,"('inferior', 'superior')",-1.1938344,-1.1854676,-0.0079103,0.102856964,-0.08958289,-0.1977903,0.26119834,0.15642726,-0.5043065,-0.5456596,0.0413531
12,1.4724206,1.6320273,"('unsupportive', 'supportive')",2.046002,2.0337393,1.1766317,1.116287,0.8273899,0.8124507,-1.5628468,-1.3406054,0.7919194,0.8507799,-0.0588605
35,-1.3893703,-1.4499816,"('corrupt', 'incorrupt')",-1.8793392,-1.9051418,-2.358508,-2.0606196,-1.4327463,-1.0780038,-1.731285,-1.8139158,-1.7582499,-1.6615326,-0.0967173
59,-1.3840966,-1.3525808,"('foolish', 'wise')",-0.2684875,-0.23983917,0.20071623,0.21583857,-0.22144186,-0.20860602,-0.5885902,-0.6439589,-0.45238,-0.4458293,-0.0065507
85,-1.3820608,-1.6241857,"('insignificant', 'prestigious')",1.0864751,0.7189053,-1.1999874,-1.2842156,0.27883485,0.256594,-1.0823023,-1.368207,-0.4598081,-0.6602218,0.2004137
29,-1.3612266,-1.3846359,"('unfair', 'fair')",-1.2822239,-1.1641215,-0.43109965,-0.25004178,-1.0826766,-0.9080852,-1.0165222,-0.9730119,-1.0347498,-0.9359793,-0.0987705
72,1.3241404,1.3675547,"('unambitious', 'ambitious')",1.2059731,1.2348511,0.4666651,0.33889464,0.83106667,0.6626872,-0.12774853,0.01452712,0.7400194,0.723703,0.0163164
21,1.3196919,1.3755666,"('immoral', 'moral')",1.6194042,1.6847277,1.4445719,1.166405,0.4192875,0.20021348,-0.7610926,-0.62184685,0.8083726,0.7610131,0.0473595
76,1.3101376,1.3961395,"('anxious', 'daring')",0.28882784,0.23813199,2.2742813,2.122961,1.8320692,1.6519747,0.5376328,0.66654384,1.2485897,1.2151503,0.0334394
13,1.2982161,1.381615,"('impolite', 'polite')",0.8329957,0.7962425,1.1427898,1.0232466,0.47577336,0.46508905,0.02429166,0.27056512,0.7548133,0.7873517,-0.0325384
