,xerox_male,xerox_female,tuple,holdings_male,holdings_female,corp_male,corp_female,average_male,average_female,male-female
10,-3.032234,-3.2350311,"('unsympathetic', 'sympathetic')",-0.2500832,-0.40087837,0.33617583,0.3368775,-0.9820471,-1.0996773,0.1176302
21,-2.5945847,-2.5428693,"('immoral', 'moral')",0.21505019,0.40708297,-0.24632488,-0.043464597,-0.8752864,-0.726417,-0.1488694
45,-2.5537825,-2.7092245,"('incompetent', 'competent')",-0.06337443,-0.08849399,-0.0023769923,-0.034478173,-0.873178,-0.9440656,0.0708876
63,-2.380277,-2.3892636,"('unperceptive', 'insightful')",1.4590797,1.3597038,0.85569346,0.7233751,-0.0218346,-0.1020616,0.080227
14,-2.233085,-2.0295136,"('antisocial', 'social')",1.9493067,2.070521,-0.036969714,-0.054949697,-0.106916,-0.0046474,-0.1022686
0,-2.210765,-2.3399189,"('unsociable', 'sociable')",-0.07044788,-0.09252934,-0.06275336,-0.19054201,-0.7813221,-0.87433,0.0930079
46,-2.1181786,-2.338304,"('uncompetitive', 'competitive')",1.7145215,1.4857162,0.29299283,-0.002349656,-0.0368881,-0.2849792,0.2480911
55,-2.1037726,-2.0979009,"('incompetent', 'clever')",0.25273642,0.30411956,0.77461314,0.69165707,-0.3588077,-0.3673747,0.008567
43,-2.0314493,-2.1876922,"('irresponsible', 'responsible')",-0.62557805,-0.5613375,0.41569847,0.41591048,-0.7471096,-0.7777064,0.0305968
13,-2.0239174,-2.0261953,"('impolite', 'polite')",-0.04776726,-0.12891047,-0.22634259,-0.23652245,-0.7660091,-0.7972094,0.0312003
41,-1.9894936,-2.0517201,"('unforgiving', 'forgiving')",-0.9552064,-0.93589085,-0.41752338,-0.46884713,-1.1207411,-1.1521527,0.0314116
69,1.9825457,1.846599,"('lazy', 'industrious')",0.5188801,0.37563714,-1.4292254,-1.4989617,0.3574001,0.2410915,0.1163086
70,-1.9669635,-2.036699,"('lethargic', 'energetic')",1.2653205,1.1727022,1.346034,1.1597263,0.214797,0.0985765,0.1162205
56,-1.9619441,-1.6958528,"('impractical', 'practical')",0.64144254,0.9411009,-0.060422935,0.06323542,-0.4603082,-0.2305055,-0.2298027
57,-1.9574511,-2.1238687,"('unimaginative', 'imaginative')",-0.37014985,-0.47785679,-2.434521,-2.6506867,-1.5873741,-1.7508041,0.16343
81,-1.8975763,-1.3306925,"('submissive', 'aggressive')",0.9846434,1.3947816,-0.14786737,0.08332652,-0.3536001,0.0491385,-0.4027386
22,-1.8861384,-1.9449897,"('untrustworthy', 'trustworthy')",-0.24805859,-0.17767704,-0.6251041,-0.731413,-0.9197671,-0.9513599,0.0315928
85,1.8684685,1.6881746,"('insignificant', 'prestigious')",0.14586312,0.020474717,-1.2565633,-1.1199487,0.2525894,0.1962335,0.0563559
12,-1.8634284,-2.0243802,"('unsupportive', 'supportive')",0.052264772,-0.16771287,-1.860919,-2.1064668,-1.2240275,-1.4328534,0.2088259
23,-1.8598347,-2.0306983,"('insincere', 'sincere')",-0.5058941,-0.5053436,5.4520326,5.74146,1.0287679,1.0684726,-0.0397047
51,-1.8254642,-1.6248795,"('uneducated', 'educated')",1.1212227,1.2911075,0.6821107,0.75625044,-0.0073769,0.1408262,-0.1482031
86,-1.8023881,-2.2097163,"('uninfluential', 'influential')",0.19368063,-0.047044147,0.070363104,-0.10624504,-0.5127815,-0.7876685,0.274887
35,1.7266876,1.6397693,"('corrupt', 'incorrupt')",-1.408377,-1.5580467,-1.224698,-1.0560774,-0.3021291,-0.3247849,0.0226558
75,1.7066569,1.9147236,"('meek', 'impulsive')",-0.1072388,-0.062672034,-0.3728739,-0.41550073,0.4088481,0.4788503,-0.0700022
3,-1.683367,-1.8955969,"('repellent', 'pleasant')",0.7473168,0.4311987,1.1144735,0.8779894,0.0594744,-0.1954696,0.254944
60,-1.6056439,-1.6130222,"('inefficient', 'efficient')",0.941388,0.9832529,0.40473267,0.31613356,-0.0865077,-0.1045453,0.0180376
64,-1.5399462,-1.5709054,"('shy', 'confident')",1.2052268,1.1095804,-5.6766896,-5.9674416,-2.0038029,-2.1429222,0.1391193
11,-1.5246379,-1.385777,"('unhelpful', 'helpful')",-1.4333829,-0.96365905,2.1299334,2.3234427,-0.2760291,-0.0086644,-0.2673647
65,-1.5037513,-1.4723144,"('insecure', 'secure')",0.41009966,0.4702119,0.5686492,0.58501405,-0.1750008,-0.1390295,-0.0359713
38,-1.4823923,-1.4795089,"('untruthful', 'truthful')",-0.83544296,-0.74071544,-0.62248445,-0.34881702,-0.9801066,-0.8563472,-0.1237594
32,-1.4757075,-1.4217631,"('unkind', 'kind')",-0.116204426,0.17201439,0.5502291,0.67447454,-0.3472276,-0.1917581,-0.1554695
7,-1.3661461,-1.6634315,"('insensitive', 'sensitive')",0.28983474,0.040253885,0.3831741,0.14105608,-0.2310458,-0.4940405,0.2629947
62,-1.3528867,-1.2380354,"('incompetent', 'brilliant')",0.65334094,0.7020204,0.6471287,0.6880346,-0.0174723,0.0506732,-0.0681455
36,1.3369055,0.9512036,"('hostile', 'amicable')",-1.3416487,-1.66856,-1.0285923,-1.0257466,-0.3444452,-0.5810343,0.2365891
72,-1.3017554,-1.2104435,"('unambitious', 'ambitious')",-0.0018066354,-0.015505075,-0.25308853,-0.35796833,-0.5188835,-0.5279723,0.0090888
