,st_male,st_female,tuple,jude_male,jude_female,medical_male,medical_female,inc_male,inc_female,average_male,average_female,male-female
79,1.9200677,2.2306697,"('wavering', 'unwavering')",2.8670433,3.2217972,-0.6976265,-0.5242218,0.112845294,0.28893375,1.0505824,1.3042947,-0.2537123
73,1.8005475,1.2940856,"('helpless', 'self-reliant')",1.7965657,1.7447655,0.20014307,0.09512578,-3.126064,-3.5019445,0.167798,-0.0919919,0.2597899
86,-1.7693608,-1.5408493,"('uninfluential', 'influential')",-1.5450447,-2.1257277,0.37903535,0.35577214,-0.29378623,-0.049481526,-0.8072891,-0.8400716,0.0327825
55,-1.7195896,-1.9875962,"('incompetent', 'clever')",-2.7226815,-3.7128918,-0.3142511,-0.27551332,-0.08108249,-0.028657392,-1.2094011,-1.5011647,0.2917636
61,-1.6059241,-1.6648574,"('illogical', 'logical')",-0.7499974,-0.772156,0.38066834,0.5730492,0.13760306,0.28920385,-0.4594125,-0.3936901,-0.0657224
60,-1.6015642,-1.8527489,"('inefficient', 'efficient')",-1.8298575,-2.4508052,0.65994245,0.43591934,0.18972304,0.02124609,-0.6454391,-0.9615971,0.316158
35,1.5597675,1.6942061,"('corrupt', 'incorrupt')",2.73124,3.548957,-1.2635108,-1.2661849,-0.14257242,-0.05177968,0.7212311,0.9812996,-0.2600685
77,-1.5447483,-0.8358502,"('unmotivated', 'motivated')",-0.86682767,-1.087409,0.19850415,0.11743438,-1.1263047,-1.3151753,-0.8348441,-0.7802501,-0.054594
10,-1.543861,-2.0372043,"('unsympathetic', 'sympathetic')",-2.5159824,-3.3066792,-0.33192647,-0.38359076,-0.4221567,-0.25894192,-1.2034817,-1.4966041,0.2931224
14,-1.5084963,-1.4941399,"('antisocial', 'social')",-1.4629264,-1.6301061,0.6071699,0.84539866,-0.481074,-0.15483339,-0.7113317,-0.6084202,-0.1029115
81,-1.4976164,-1.4928608,"('submissive', 'aggressive')",-3.1313493,-3.2116802,0.23809066,0.3898536,-0.90222526,-0.60153925,-1.3232751,-1.2290567,-0.0942184
48,-1.4910697,-1.713639,"('unintelligent', 'intelligent')",-1.6221153,-1.9266852,0.89323366,0.63474286,0.46188444,0.249226,-0.4395167,-0.6890888,0.2495721
4,1.4384402,2.1074638,"('disliked', 'liked')",1.8404564,2.3142588,-0.021369882,0.23519215,-6.579763,-6.479259,-0.8305591,-0.4555861,-0.374973
44,1.4276538,1.0114952,"('prejudiced', 'unprejudiced')",-0.15931726,0.1934524,-0.8189065,-0.87281555,-1.3155353,-1.3824551,-0.2165263,-0.2625808,0.0460545
41,1.4185799,1.6926991,"('unforgiving', 'forgiving')",0.9680727,0.5282184,1.3166844,1.3380938,-0.035061337,0.26034755,0.917069,0.9548397,-0.0377707
46,-1.4053515,-1.1016006,"('uncompetitive', 'competitive')",-2.1368752,-2.714628,0.014331929,-0.08474173,-0.8533568,-0.64235055,-1.095313,-1.1358303,0.0405173
0,-1.2873932,-0.5756859,"('unsociable', 'sociable')",-1.2445624,-1.0613914,0.9237223,1.2292798,-0.39913008,-0.07228565,-0.5018409,-0.1200208,-0.3818201
53,-1.2727269,-1.0519533,"('uncreative', 'creative')",-0.99587065,-1.1533008,-0.32402155,-0.6567924,0.97397137,0.8145727,-0.404662,-0.5118685,0.1072065
