,advanced_male,advanced_female,tuple,micro_male,micro_female,devices_male,devices_female,inc_male,inc_female,average_male,average_female,male-female
48,2.4850063,1.9873362,"('unintelligent', 'intelligent')",0.6458369,0.5005176,0.80467975,0.6662022,0.33256122,0.5050442,1.067021,0.9147751,0.1522459
6,-2.2105267,-1.5179231,"('distant', 'open')",-0.80056655,-0.47015113,-0.81468606,-0.66622454,0.3555953,0.47345883,-0.867546,-0.54521,-0.322336
55,2.062153,1.2632965,"('incompetent', 'clever')",0.0004125852,-0.15618095,-0.043978848,-0.1904817,0.107194215,-0.045163408,0.5314453,0.2178676,0.3135777
31,-1.9642314,-1.047251,"('evil', 'good')",0.4314599,0.7018293,0.23418236,0.43259522,-0.4867585,-0.25948596,-0.4463369,-0.0430781,-0.4032588
5,-1.9444408,-1.2094986,"('distant', 'outgoing')",-0.38992926,-0.20196578,-0.9376157,-0.92541975,-0.28660893,-0.172322,-0.8896487,-0.6273016,-0.2623471
12,1.899351,1.4975396,"('unsupportive', 'supportive')",0.32971936,0.23301172,-0.2834882,-0.44219822,-1.843174,-1.674132,0.025602,-0.0964447,0.1220467
80,1.7215879,0.8650303,"('dominated', 'dominating')",-0.35956055,-0.7126059,-0.5672893,-0.75225395,-1.2054576,-1.4811153,-0.1026799,-0.5202363,0.4175564
60,1.6615753,0.8233487,"('inefficient', 'efficient')",0.1885126,-0.09182312,0.02393571,-0.28199026,-0.33893147,-0.5301665,0.383773,-0.0201578,0.4039308
40,1.5391579,1.4214295,"('stingy', 'generous')",0.61353403,0.51445043,0.6641138,0.53243417,-1.1867728,-0.7929911,0.4075082,0.4188308,-0.0113226
79,-1.5215876,-1.1947933,"('wavering', 'unwavering')",-0.6681888,-0.68337137,-1.2789966,-1.300039,-0.25770637,-0.26046994,-0.9316198,-0.8596684,-0.0719514
39,1.4495603,1.4483751,"('exploitative', 'cooperative')",1.5464966,1.5532776,0.46268848,0.504548,0.56319094,0.71314704,1.0054841,1.054837,-0.0493529
7,1.3948135,0.85327786,"('insensitive', 'sensitive')",0.12664127,-0.013209498,-0.22284676,-0.36321026,0.8022085,0.7445731,0.5252041,0.3053578,0.2198463
46,1.2438644,0.15568061,"('uncompetitive', 'competitive')",-1.0034993,-1.2960168,-0.52733326,-0.58685046,-0.79784864,-0.68489045,-0.2712042,-0.6030193,0.3318151
20,1.1326269,0.8171385,"('rough', 'thoughtful')",0.57579327,0.5932849,0.67018664,0.7592388,0.92964464,1.2159405,0.8270628,0.8464007,-0.0193379
81,1.12969,0.508691,"('submissive', 'aggressive')",-0.59846056,-0.88221985,-0.5379052,-0.7419413,-0.89833444,-1.0520004,-0.2262525,-0.5418676,0.3156151
59,-1.0989423,-0.45315114,"('foolish', 'wise')",0.23546037,0.35652545,-0.43133056,-0.31968054,0.013076488,0.26844916,-0.320434,-0.0369643,-0.2834697
1,-1.0961256,-0.85146177,"('unfriendly', 'friendly')",0.39661124,0.5133127,0.054739945,0.023277722,1.9127074,2.1416934,0.3169833,0.4567055,-0.1397222
82,-1.0709499,-1.3479178,"('poor', 'rich')",-1.0970134,-1.1822659,0.11426343,0.12296862,6.2859654,5.8101497,1.0580664,0.8507336,0.2073328
72,1.0683601,1.0067221,"('unambitious', 'ambitious')",-0.023296498,-0.05968772,-0.7298302,-0.9386428,-0.6976259,-0.90012884,-0.0955981,-0.2229343,0.1273362
86,1.0456151,0.55482966,"('uninfluential', 'influential')",-0.33401597,-0.33715233,-0.844037,-0.9955411,-0.056566734,-0.2747559,-0.0472512,-0.2631549,0.2159037
19,-1.0395105,-0.7200902,"('inhospitable', 'hospitable')",-0.7978677,-0.60252184,-0.6286139,-0.51214784,0.027785331,0.13439314,-0.6095517,-0.4250917,-0.18446
70,1.0356963,0.24498408,"('lethargic', 'energetic')",-1.2531267,-1.6301404,-1.1239035,-1.5023174,0.48473385,0.18518688,-0.21415,-0.6755717,0.4614217
4,-0.9992385,-0.5509426,"('disliked', 'liked')",-0.06551117,-0.1513496,0.42998883,0.43721518,-6.798647,-6.061179,-1.8583519,-1.5815641,-0.2767878
14,0.97061706,0.6918527,"('antisocial', 'social')",0.3953218,0.22578308,0.18503678,0.10756624,-0.31839374,-0.48125178,0.3081455,0.1359876,0.1721579
77,0.9409884,0.6467665,"('unmotivated', 'motivated')",-0.35182086,-0.37005928,-0.24671766,-0.0077203996,-1.3897802,-1.2212274,-0.2618326,-0.2380601,-0.0237725
62,0.9334264,0.32978135,"('incompetent', 'brilliant')",-0.30926505,-0.58646363,-0.7290832,-1.0293181,-0.3794722,-0.57750076,-0.1210985,-0.4658753,0.3447768
73,0.92948204,0.95628947,"('helpless', 'self-reliant')",1.6436939,1.5303557,0.77480465,0.58081603,-2.8566155,-2.7074237,0.1228412,0.0900094,0.0328318
29,-0.90965676,-0.63286537,"('unfair', 'fair')",-0.47906482,-0.5691279,-1.1303837,-1.2999529,-0.38403013,-0.4280277,-0.7257839,-0.7324934,0.0067095
85,-0.8886931,-0.15592399,"('insignificant', 'prestigious')",0.4945002,0.6603593,0.63875073,0.85419214,0.53273547,1.0121144,0.1943233,0.5926855,-0.3983622
35,-0.887201,0.042617578,"('corrupt', 'incorrupt')",0.52116513,0.83871794,0.43869114,0.88462055,-0.124245666,0.178489,-0.0128976,0.4861113,-0.4990089
38,-0.8757688,-0.9157458,"('untruthful', 'truthful')",-0.6379113,-0.84324056,-0.58741945,-0.88066983,-0.45958596,-0.42342764,-0.6401713,-0.7657709,0.1255996
83,0.8452834,0.77104664,"('powerless', 'powerful')",-0.12611386,-0.19268239,-0.902834,-1.0010053,-1.2200596,-1.2253076,-0.350931,-0.4119872,0.0610562
