,pepsi_male,pepsi_female,tuple,bottling_male,bottling_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
35,-2.2225356,-1.9503901,"('corrupt', 'incorrupt')",0.59851635,0.41518784,-1.9918516,-1.911928,-0.39170954,-0.0060010385,-1.0018951,-0.8632828,-0.1386123
56,1.9774014,1.670031,"('impractical', 'practical')",-0.10140979,-0.21059051,1.2824657,0.84054613,-0.08202657,-0.39624718,0.7691077,0.4759349,0.2931728
12,1.8567705,1.6438624,"('unsupportive', 'supportive')",-0.5821948,-0.52957076,1.3583376,1.3924888,-1.6018273,-1.7192885,0.2577715,0.196873,0.0608985
71,1.7716396,1.825368,"('diffident', 'self-confident')",1.1409733,1.1956792,-0.37271813,-0.24570777,0.22043213,0.3555863,0.6900817,0.7827314,-0.0926497
36,-1.5579611,-1.2263929,"('hostile', 'amicable')",-0.7690204,-0.93670124,-2.1749659,-1.9445426,-0.0459299,0.35508308,-1.1369693,-0.9381384,-0.1988309
39,1.5360748,1.5377192,"('exploitative', 'cooperative')",0.76505136,0.72741824,1.7310182,1.6139537,-0.013640067,-0.10052138,1.004626,0.9446425,0.0599835
25,-1.5298539,-1.358303,"('egoistic', 'altruistic')",-0.19498597,-0.38533783,-0.4945156,-0.5480599,1.3264703,1.4318876,-0.2232213,-0.2149532,-0.0082681
62,1.4794167,1.1275029,"('incompetent', 'brilliant')",-0.91600066,-0.8902622,1.0783961,0.79812133,0.13795814,-0.24950932,0.4449426,0.1964632,0.2484794
43,1.4757448,1.3635652,"('irresponsible', 'responsible')",-0.5570275,-0.46878165,1.2810423,1.0002743,0.96306735,0.7040611,0.7907068,0.6497797,0.1409271
67,1.4708037,1.4143513,"('doubtful', 'determined')",1.0840989,1.0151534,1.1177572,0.9921663,-0.54053867,-0.6675885,0.7830303,0.6885207,0.0945096
60,1.4629005,1.1336734,"('inefficient', 'efficient')",-0.41536057,-0.20718701,2.436563,2.137704,0.33137906,-0.07961762,0.9538705,0.7461432,0.2077273
31,-1.3836449,-1.0135542,"('evil', 'good')",-0.7610189,-1.0182981,-1.9995676,-1.5996424,-1.3856603,-1.0386974,-1.3824729,-1.1675479,-0.214925
13,1.3409226,1.2248509,"('impolite', 'polite')",-0.18722433,-0.118858024,1.064436,0.9391794,-0.021040503,-0.02450724,0.5492734,0.5051662,0.0441072
84,1.3090451,1.2130755,"('inferior', 'superior')",0.54781747,0.5406492,0.22308856,0.14464764,0.6995907,0.8182674,0.6948854,0.6791599,0.0157255
75,-1.3001958,-1.3884892,"('meek', 'impulsive')",0.3778189,0.37174496,-1.4016609,-1.4926264,-0.47621047,-0.51674205,-0.700062,-0.7565282,0.0564662
11,1.1875243,0.8576165,"('unhelpful', 'helpful')",-0.9150128,-0.8703656,0.5382826,0.25681973,2.1598473,1.9684461,0.7426603,0.5531292,0.1895311
44,-1.1736606,-1.3645957,"('prejudiced', 'unprejudiced')",0.47223687,0.25341374,-0.22295485,-0.5044183,-1.4541517,-1.5613507,-0.5946326,-0.7942377,0.1996051
87,1.1046671,0.9769639,"('unsuccessful', 'successful')",0.25050282,0.39028093,1.3510451,1.4917263,0.4275059,0.5101012,0.7834302,0.8422681,-0.0588379
9,1.0579066,1.1443614,"('unaffectionate', 'caring')",-1.0404348,-1.1335446,-0.64177114,-0.5011531,1.1290677,1.1322442,0.1261921,0.160477,-0.0342849
57,-1.0256103,-0.95476294,"('unimaginative', 'imaginative')",-1.7882351,-1.5250314,-0.17256723,-0.1126825,-2.658935,-2.775381,-1.4113369,-1.3419645,-0.0693724
46,1.0040482,0.7350289,"('uncompetitive', 'competitive')",-0.58118045,-0.3165794,2.076798,2.0712755,-0.20669682,-0.2677999,0.5732422,0.5554813,0.0177609
63,0.9986774,0.8371332,"('unperceptive', 'insightful')",-0.6853972,-0.60991704,1.6057312,1.6258757,1.0745214,0.9688663,0.7483832,0.7054896,0.0428936
74,0.98429704,0.9171475,"('undedicated', 'dedicated')",-0.112252265,-0.12725493,1.5516001,1.5173261,0.2382192,0.19186474,0.6654661,0.6247708,0.0406953
73,0.98393565,1.0379169,"('helpless', 'self-reliant')",1.3478184,1.2884122,-0.12821941,-0.15664135,-3.432168,-3.6329875,-0.3071584,-0.3658249,0.0586665
0,0.95901126,0.92888874,"('unsociable', 'sociable')",0.0016170051,0.2705746,1.0845094,1.1781732,-0.39102125,-0.4266322,0.4135291,0.4877511,-0.074222
23,0.9481209,0.7789836,"('insincere', 'sincere')",-1.0341237,-0.98510313,0.18329619,-0.058147274,5.989067,5.9257956,1.5215901,1.4153821,0.106208
32,0.9334446,0.7503157,"('unkind', 'kind')",-0.6150376,-0.56703687,1.1828097,1.1147373,0.97957236,0.83518285,0.6201972,0.5332997,0.0868975
