,hershey_male,hershey_female,tuple,co_male,co_female,average_male,average_female,male-female
57,-1.8310142,-1.4985852,"('unimaginative', 'imaginative')",-3.773322,-3.598348,-2.8021681,-2.5484667,-0.2537014
69,1.5424328,1.3245169,"('lazy', 'industrious')",-0.74960256,-0.89216214,0.3964151,0.2161774,0.1802377
70,-1.4352683,-1.2943984,"('lethargic', 'energetic')",-0.12420592,0.12528972,-0.7797371,-0.5845544,-0.1951827
68,-1.3862404,-1.2868638,"('dependent', 'independent')",-1.5022451,-1.4561397,-1.4442427,-1.3715017,-0.072741
11,-1.216599,-0.8902433,"('unhelpful', 'helpful')",2.0702362,2.4224,0.4268186,0.7660784,-0.3392598
77,-1.2161274,-1.1345036,"('unmotivated', 'motivated')",-1.0354303,-1.0328066,-1.1257789,-1.0836551,-0.0421238
65,-1.1725199,-0.93053347,"('insecure', 'secure')",-0.14831683,0.026610114,-0.6604184,-0.4519617,-0.2084567
73,1.1342593,1.0466075,"('helpless', 'self-reliant')",-3.2748668,-3.476297,-1.0703037,-1.2148447,0.144541
48,-1.1223735,-0.84950227,"('unintelligent', 'intelligent')",0.20874248,0.14937927,-0.4568155,-0.3500615,-0.106754
46,-1.081737,-0.8180268,"('uncompetitive', 'competitive')",-0.9965677,-0.76283664,-1.0391524,-0.7904317,-0.2487207
81,-1.0610702,-0.5262035,"('submissive', 'aggressive')",-1.0235062,-0.52975076,-1.0422882,-0.5279771,-0.5143111
51,-1.056796,-0.74238193,"('uneducated', 'educated')",0.1993882,0.44986656,-0.4287039,-0.1462577,-0.2824462
86,-1.0543545,-0.7220383,"('uninfluential', 'influential')",-0.76579833,-0.38939732,-0.9100764,-0.5557178,-0.3543586
58,-1.0347482,-0.8146614,"('undiscriminating', 'discriminating')",0.034619868,0.11315721,-0.5000641,-0.3507521,-0.149312
59,1.0325402,0.817303,"('foolish', 'wise')",0.13293967,-0.06592832,0.5827399,0.3756873,0.2070526
71,1.0168204,0.76343036,"('diffident', 'self-confident')",0.46960014,0.2547295,0.7432103,0.5090799,0.2341304
23,-1.0054436,-0.81543446,"('insincere', 'sincere')",6.1056356,6.313579,2.550096,2.7490723,-0.1989763
3,-1.0053927,-0.9654012,"('repellent', 'pleasant')",0.09864026,0.26204258,-0.4533762,-0.3516793,-0.1016969
25,0.98959464,0.7816056,"('egoistic', 'altruistic')",0.9448199,0.63361645,0.9672073,0.707611,0.2595963
61,-0.9625893,-0.8258314,"('illogical', 'logical')",-0.12947494,-0.071251675,-0.5460321,-0.4485416,-0.0974905
26,0.95259166,0.8759736,"('hardhearted', 'benevolent')",1.1124231,1.055295,1.0325074,0.9656343,0.0668731
22,-0.9326912,-0.70873404,"('untrustworthy', 'trustworthy')",-1.188304,-0.94482124,-1.0604975,-0.8267776,-0.2337199
34,-0.8933391,-0.6307837,"('mean', 'honorable')",5.4527907,5.4873185,2.2797258,2.4282675,-0.1485417
28,-0.88717633,-0.76512593,"('disloyal', 'loyal')",0.6203026,0.59309936,-0.1334369,-0.0860133,-0.0474236
60,-0.88691247,-0.51393574,"('inefficient', 'efficient')",0.46640027,0.796144,-0.2102561,0.1411041,-0.3513602
17,-0.83972067,-0.6143875,"('nasty', 'nice')",-0.45943993,-0.29084074,-0.6495803,-0.4526141,-0.1969662
63,-0.8106029,-0.5652965,"('unperceptive', 'insightful')",0.17530823,0.47061685,-0.3176473,-0.0473398,-0.2703075
33,0.79635864,0.65121984,"('wrong', 'right')",-0.4669749,-0.63076943,0.1646919,0.0102252,0.1544667
10,-0.7727605,-0.54740125,"('unsympathetic', 'sympathetic')",-0.238053,-0.035821043,-0.5054067,-0.2916111,-0.2137956
