,manitowoc_male,manitowoc_female,tuple,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.564211,-2.215038,"('uninfluential', 'influential')",-0.8177978,-0.7756362,0.18335216,-0.0054767877,-1.0662188,-0.998717,-0.0675018
55,-2.4179125,-2.31392,"('incompetent', 'clever')",1.2733932,0.8592389,0.052673206,-0.22328085,-0.3639487,-0.5593207,0.195372
28,-2.4012535,-2.0514123,"('disloyal', 'loyal')",-0.85453755,-0.72600895,1.2622609,1.261355,-0.66451,-0.5053554,-0.1591546
10,-2.0415773,-1.8139122,"('unsympathetic', 'sympathetic')",-0.49322248,-0.5907947,-0.12317727,-0.34936595,-0.8859924,-0.9180243,0.0320319
69,1.8705728,1.7659066,"('lazy', 'industrious')",1.0212452,1.2128353,-0.50866985,-0.23401277,0.7943827,0.9149097,-0.120527
77,-1.8690791,-1.9884264,"('unmotivated', 'motivated')",0.28996736,0.034195058,-0.6046222,-0.8385501,-0.7279113,-0.9309271,0.2030158
46,-1.8464882,-1.9157184,"('uncompetitive', 'competitive')",0.15412161,-0.27748975,-0.78059465,-1.1864742,-0.8243204,-1.1265608,0.3022404
58,-1.8112504,-1.556983,"('undiscriminating', 'discriminating')",0.88006485,0.9172319,-0.08698678,-0.006084539,-0.3393908,-0.2152785,-0.1241123
44,1.7368135,1.4461918,"('prejudiced', 'unprejudiced')",-0.10074814,-0.30315864,-1.3701577,-1.3637294,0.0886359,-0.0735654,0.1622013
45,-1.7231889,-1.334007,"('incompetent', 'competent')",-0.24965668,-0.40435588,-0.3799225,-0.4981732,-0.784256,-0.745512,-0.038744
0,-1.7060876,-1.7870603,"('unsociable', 'sociable')",0.21294843,0.12342809,-0.5425298,-0.7419269,-0.6785563,-0.801853,0.1232967
62,-1.6277425,-1.5738664,"('incompetent', 'brilliant')",0.47952408,0.29665586,0.11219146,-0.012682339,-0.3453423,-0.4299643,0.084622
23,-1.6137941,-1.6426096,"('insincere', 'sincere')",-0.3729172,-0.41449252,5.8516154,5.7653265,1.2883014,1.2360748,0.0522266
81,-1.5247056,-1.7039516,"('submissive', 'aggressive')",0.43775073,0.07629459,-0.6367547,-1.0988628,-0.5745699,-0.9088399,0.33427
59,1.4666677,1.4803478,"('foolish', 'wise')",-0.23189342,-0.018412426,0.60808754,0.8028563,0.6142873,0.7549305,-0.1406432
14,-1.420265,-1.5412424,"('antisocial', 'social')",1.2149836,0.96648085,-0.64379704,-0.87904066,-0.2830261,-0.4846007,0.2015746
60,-1.4145432,-1.4786444,"('inefficient', 'efficient')",0.9322504,0.93004507,0.1412549,-0.10694594,-0.1136793,-0.2185151,0.1048358
20,-1.4058095,-1.4055568,"('rough', 'thoughtful')",0.966768,0.89319044,0.6727539,0.8816166,0.0779041,0.1230834,-0.0451793
35,1.4047482,1.374722,"('corrupt', 'incorrupt')",-0.8501691,-0.7483285,0.14473638,0.36979872,0.2331051,0.3320641,-0.098959
52,1.3600963,1.5436807,"('irrational', 'rational')",-0.70541555,-0.68119925,0.49868083,0.63327235,0.3844539,0.4985846,-0.1141307
57,-1.3591571,-0.8113585,"('unimaginative', 'imaginative')",-0.093725294,-0.2459895,-2.754238,-2.8382907,-1.4023735,-1.2985462,-0.1038273
7,-1.3468065,-1.2353234,"('insensitive', 'sensitive')",-0.0042199604,0.006919697,0.96887153,0.9217088,-0.127385,-0.1022316,-0.0251534
65,-1.2720416,-1.6510057,"('insecure', 'secure')",0.7354891,0.46842963,-0.5461794,-0.7806608,-0.3609107,-0.6544123,0.2935016
41,-1.2118276,-0.8014378,"('unforgiving', 'forgiving')",-0.09504346,-0.16582085,-0.29312545,-0.1786609,-0.5333322,-0.3819732,-0.151359
13,-1.1949735,-1.2151524,"('impolite', 'polite')",0.036116634,0.035056222,-0.5668313,-0.7050739,-0.5752294,-0.62839,0.0531606
70,-1.1777619,-1.0941613,"('lethargic', 'energetic')",-0.01286716,0.018539326,1.1405921,0.86807024,-0.016679,-0.0691839,0.0525049
61,-1.138578,-1.1140001,"('illogical', 'logical')",-0.16511956,-0.16243279,-0.06514884,-0.036241256,-0.4562821,-0.4375581,-0.018724
51,-1.1184124,-1.1469994,"('uneducated', 'educated')",0.3807739,0.27227467,0.5614792,0.38586178,-0.0587198,-0.1629543,0.1042345
75,1.0646911,0.9615104,"('meek', 'impulsive')",-0.59672946,-0.7012456,-0.29661936,-0.31621358,0.0571141,-0.0186496,0.0757637
15,1.0249535,0.93677914,"('boring', 'funny')",0.35806575,0.38417017,0.5227673,0.48956767,0.6352622,0.6035057,0.0317565
71,1.0208073,0.8388811,"('diffident', 'self-confident')",0.07618855,0.124635614,0.30211493,0.507738,0.4663703,0.4904182,-0.0240479
1,-1.0134913,-0.45111275,"('unfriendly', 'friendly')",-0.8546874,-0.28715372,1.8098413,2.287703,-0.0194458,0.5164789,-0.5359247
24,-0.9689282,-0.6433623,"('dishonest', 'honest')",-0.76283824,-0.4307804,0.65597457,0.69137645,-0.3585973,-0.1275887,-0.2310086
21,-0.9477153,-1.2008191,"('immoral', 'moral')",0.53306395,0.14859657,-0.79748225,-1.0342793,-0.4040445,-0.6955007,0.2914562
