,rohm_male,rohm_female,tuple,&_male,&_female,haas_male,haas_female,co_male,co_female,average_male,average_female,male-female
10,-4.0840864,-4.066027,"('unsympathetic', 'sympathetic')",-2.3302155,-2.6738188,-3.1075878,-3.3640497,-0.6740613,-0.88768816,-2.5489879,-2.7478962,0.1989083
85,3.906037,3.7123158,"('insignificant', 'prestigious')",3.22129,3.2699795,4.145755,3.903308,0.49922204,0.55965716,2.9430759,2.861315,0.0817609
69,3.7739024,3.4909992,"('lazy', 'industrious')",3.7653675,3.7841344,3.416381,3.2922966,-0.034265883,-0.007896237,2.7303462,2.6398835,0.0904627
35,3.5815482,3.2994175,"('corrupt', 'incorrupt')",2.109087,2.21443,2.2811184,2.315053,0.17329836,0.12009626,2.036263,1.9872491,0.0490139
13,-3.4428065,-3.167113,"('impolite', 'polite')",-2.4559755,-2.39455,-2.0199876,-1.7268896,-0.5673575,-0.5434198,-2.1215317,-1.9579931,-0.1635386
60,-3.3836567,-3.008725,"('inefficient', 'efficient')",-2.3460853,-2.3428926,-1.1939247,-0.8697337,-0.64986944,-0.29993486,-1.8933841,-1.6303216,-0.2630625
55,-3.3493612,-3.0930786,"('incompetent', 'clever')",-1.5840511,-1.7868369,-2.106943,-1.9672439,-0.19068447,-0.08091678,-1.80776,-1.7320191,-0.0757409
65,-3.265564,-2.8495157,"('insecure', 'secure')",-1.6810927,-1.5994129,-3.1052575,-2.6694596,-0.4499232,-0.23724422,-2.1254594,-1.8389081,-0.2865513
70,-3.1871505,-3.0754068,"('lethargic', 'energetic')",-1.3277769,-1.4757603,-1.4140447,-1.6396012,-0.4023202,-0.25498533,-1.5828232,-1.6114384,0.0286152
81,-3.0305488,-2.740582,"('submissive', 'aggressive')",-1.7597775,-1.6613423,-2.2157958,-1.9443625,-1.555111,-1.398948,-2.1403081,-1.9363086,-0.2039995
30,-2.9869235,-2.4844463,"('intolerant', 'tolerant')",-3.6005774,-3.61546,-1.6848382,-1.319305,-0.49914616,-0.087339394,-2.1928713,-1.8766376,-0.3162337
45,-2.9282076,-2.7562652,"('incompetent', 'competent')",-2.0955837,-2.3069403,-1.1048269,-1.1177939,-0.8797789,-0.64677477,-1.7520993,-1.7069436,-0.0451557
14,-2.8936613,-2.4522798,"('antisocial', 'social')",-1.772509,-1.669672,-2.045177,-1.5890442,-0.97092104,-0.52796084,-1.920567,-1.5597392,-0.3608278
