,ameren_male,ameren_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-1.9908862,-1.8389543,"('uninfluential', 'influential')",-0.5948648,-0.4903375,-1.2928755,-1.1646459,-0.1282296
53,-1.9882135,-1.8314131,"('uncreative', 'creative')",0.25226516,0.17389283,-0.8679742,-0.8287601,-0.0392141
1,-1.850916,-1.4235637,"('unfriendly', 'friendly')",1.3266648,1.4170166,-0.2621256,-0.0032735,-0.2588521
10,-1.6544392,-1.8483564,"('unsympathetic', 'sympathetic')",-0.26788673,-0.5403745,-0.961163,-1.1943655,0.2332025
19,-1.4791083,-1.1674454,"('inhospitable', 'hospitable')",-0.77495104,-0.56002593,-1.1270297,-0.8637357,-0.263294
46,-1.4719796,-1.7604506,"('uncompetitive', 'competitive')",-0.5608822,-0.82842636,-1.0164309,-1.2944385,0.2780076
9,-1.4339751,-1.252332,"('unaffectionate', 'caring')",1.0220726,0.9402636,-0.2059513,-0.1560342,-0.0499171
45,-1.4130255,-1.7057084,"('incompetent', 'competent')",0.065052085,-0.25066712,-0.6739867,-0.9781877,0.304201
24,-1.3171519,-1.2163715,"('dishonest', 'honest')",0.38279122,0.21605773,-0.4671803,-0.5001569,0.0329766
57,-1.2938361,-1.49296,"('unimaginative', 'imaginative')",-2.9179294,-3.0372689,-2.1058826,-2.2651143,0.1592317
69,1.2700628,1.8889909,"('lazy', 'industrious')",-0.7910254,-0.28165436,0.2395187,0.8036683,-0.5641496
54,-1.2551332,-0.9228048,"('incapable', 'capable')",0.6407885,0.53821915,-0.3071723,-0.1922928,-0.1148795
8,-1.2347995,-0.9464864,"('unaffectionate', 'affectionate')",0.6977024,0.87931854,-0.2685485,-0.0335839,-0.2349646
73,1.1932281,1.1822679,"('helpless', 'self-reliant')",-2.8498971,-3.0035036,-0.8283345,-0.9106178,0.0822833
23,-1.1918344,-1.492378,"('insincere', 'sincere')",5.567531,4.7842274,2.1878483,1.6459247,0.5419236
43,-1.1023743,-1.2025553,"('irresponsible', 'responsible')",0.35158175,0.14077722,-0.3753963,-0.530889,0.1554927
0,-1.0840333,-1.1126775,"('unsociable', 'sociable')",-0.19397816,-0.21159807,-0.6390057,-0.6621377,0.023132
