,andeavor_male,andeavor_female,tuple,average_male,average_female,male-female
64,-3.1365309,-3.0772095,"('shy', 'confident')",-3.1365309,-3.0772095,-0.0593214
57,-2.1372442,-2.3471813,"('unimaginative', 'imaginative')",-2.1372442,-2.3471813,0.2099371
10,-2.0550747,-1.5546137,"('unsympathetic', 'sympathetic')",-2.0550747,-1.5546137,-0.500461
82,1.8356352,1.8787706,"('poor', 'rich')",1.8356352,1.8787706,-0.0431354
46,-1.7828681,-1.4853497,"('uncompetitive', 'competitive')",-1.7828681,-1.4853497,-0.2975184
0,-1.6938354,-1.6431628,"('unsociable', 'sociable')",-1.6938354,-1.6431628,-0.0506726
86,-1.604987,-1.6402004,"('uninfluential', 'influential')",-1.604987,-1.6402004,0.0352134
12,-1.6042031,-1.66262,"('unsupportive', 'supportive')",-1.6042031,-1.6626199,0.0584168
77,-1.5907862,-1.5778186,"('unmotivated', 'motivated')",-1.5907862,-1.5778186,-0.0129676
4,-1.5902987,-2.388316,"('disliked', 'liked')",-1.5902987,-2.3883159,0.7980172
60,-1.5831187,-0.8982613,"('inefficient', 'efficient')",-1.5831187,-0.8982613,-0.6848574
81,-1.556791,-0.7652443,"('submissive', 'aggressive')",-1.5567909,-0.7652443,-0.7915466
42,-1.4647605,-1.4179018,"('unreliable', 'reliable')",-1.4647605,-1.4179018,-0.0468587
45,-1.4078646,-1.3255509,"('incompetent', 'competent')",-1.4078646,-1.3255509,-0.0823137
13,-1.36577,-0.89837563,"('impolite', 'polite')",-1.36577,-0.8983756,-0.4673944
62,-1.3318208,-0.8202371,"('incompetent', 'brilliant')",-1.3318208,-0.8202371,-0.5115837
67,-1.3211117,-0.9241663,"('doubtful', 'determined')",-1.3211117,-0.9241663,-0.3969454
21,-1.2835186,-1.1232626,"('immoral', 'moral')",-1.2835186,-1.1232626,-0.160256
83,-1.2167556,-0.82306784,"('powerless', 'powerful')",-1.2167556,-0.8230678,-0.3936878
44,-1.1998907,-0.89460194,"('prejudiced', 'unprejudiced')",-1.1998907,-0.8946019,-0.3052888
34,1.1991627,1.1420304,"('mean', 'honorable')",1.1991627,1.1420304,0.0571323
11,-1.1790154,-0.81498986,"('unhelpful', 'helpful')",-1.1790154,-0.8149899,-0.3640255
52,1.1765333,0.33860514,"('irrational', 'rational')",1.1765333,0.3386051,0.8379282
47,1.1515143,1.2484883,"('stupid', 'smart')",1.1515143,1.2484883,-0.096974
38,-1.1499631,-0.9390454,"('untruthful', 'truthful')",-1.1499631,-0.9390454,-0.2109177
5,-1.1363328,-1.4697186,"('distant', 'outgoing')",-1.1363328,-1.4697186,0.3333858
25,1.1103526,0.57255363,"('egoistic', 'altruistic')",1.1103526,0.5725536,0.537799
43,-1.0945148,-0.92013663,"('irresponsible', 'responsible')",-1.0945148,-0.9201366,-0.1743782
55,-1.0634347,-0.74235886,"('incompetent', 'clever')",-1.0634347,-0.7423589,-0.3210758
14,-1.051643,-0.5378988,"('antisocial', 'social')",-1.051643,-0.5378988,-0.5137442
70,-1.0259894,-0.7281703,"('lethargic', 'energetic')",-1.0259894,-0.7281703,-0.2978191
15,1.0232108,0.58442986,"('boring', 'funny')",1.0232108,0.5844299,0.4387809
56,-1.0143496,-0.5217491,"('impractical', 'practical')",-1.0143496,-0.5217491,-0.4926005
23,0.97750795,1.0414637,"('insincere', 'sincere')",0.9775079,1.0414637,-0.0639558
16,0.9184438,0.41270202,"('unpopular', 'popular')",0.9184438,0.412702,0.5057418
50,0.8963623,0.69967484,"('clumsy', 'skillful')",0.8963623,0.6996748,0.1966875
80,-0.8823695,-0.4197015,"('dominated', 'dominating')",-0.8823695,-0.4197015,-0.462668
