,expeditors_male,expeditors_female,tuple,international_male,international_female,wa_male,wa_female,inc_male,inc_female,average_male,average_female,male-female
69,1.9654695,1.9772736,"('lazy', 'industrious')",1.306496,1.4448317,-1.1693478,-0.6391152,-0.22122875,-0.52928287,0.4703473,0.5634268,-0.0930795
8,-1.9300854,-1.7578003,"('unaffectionate', 'affectionate')",-1.3108885,-1.1691285,-3.1138568,-2.341043,0.7109904,0.72761685,-1.4109601,-1.1350888,-0.2758713
1,-1.9228137,-1.7386935,"('unfriendly', 'friendly')",-1.0151902,-0.83948123,-0.8233036,-0.38858798,1.6308587,1.6748185,-0.5326123,-0.322986,-0.2096263
53,-1.9155384,-1.7054641,"('uncreative', 'creative')",-0.3758803,-0.48110193,-0.3033423,-0.31013966,0.8037999,0.54593366,-0.4477403,-0.487693,0.0399527
44,1.6448509,1.555844,"('prejudiced', 'unprejudiced')",0.717044,0.6913942,-1.1169857,-0.6851113,-1.2889607,-1.2317972,-0.0110129,0.0825824,-0.0935953
73,1.6144526,1.502786,"('helpless', 'self-reliant')",0.0814499,0.11264561,-1.223324,-0.764774,-3.4509268,-3.6306257,-0.7445871,-0.694992,-0.0495951
86,-1.6049656,-1.4949709,"('uninfluential', 'influential')",0.08604553,-0.13280214,1.559144,0.93212825,-0.34589583,-0.4032061,-0.076418,-0.2747127,0.1982947
9,-1.5867969,-1.3984565,"('unaffectionate', 'caring')",-0.35664818,-0.2982697,-0.92482543,-0.38235253,1.2667633,1.396905,-0.4003768,-0.1705434,-0.2298334
64,1.5671918,1.5486501,"('shy', 'confident')",0.46609485,0.5192313,-0.33841783,-0.53987277,-6.873957,-7.130803,-1.2947721,-1.4006985,0.1059264
48,-1.5379757,-1.5040108,"('unintelligent', 'intelligent')",-0.26213554,-0.32902372,0.19203952,0.0299803,0.085198104,0.20012726,-0.3807184,-0.4007317,0.0200133
67,1.424014,1.4192368,"('doubtful', 'determined')",0.3497783,0.14762574,-0.2760354,-0.42064872,-0.840938,-0.7516765,0.1642047,0.0986343,0.0655704
55,-1.4152906,-1.293774,"('incompetent', 'clever')",-0.14145023,-0.24724673,2.3618274,1.6607586,-0.35350075,-0.17926165,0.1128965,-0.0148809,0.1277774
28,-1.3687094,-1.0781776,"('disloyal', 'loyal')",-0.5734958,-0.22191536,0.3077681,0.59772205,0.7979825,1.0879449,-0.2091136,0.0963935,-0.3055071
46,-1.2979342,-1.0433857,"('uncompetitive', 'competitive')",0.95157564,1.1745257,2.319894,1.7539167,-0.8129132,-0.5585444,0.2901556,0.3316281,-0.0414725
10,-1.2956892,-1.0455602,"('unsympathetic', 'sympathetic')",-0.47870386,-0.30032143,1.9106318,1.3563471,-0.38095024,-0.17813452,-0.0611779,-0.0419173,-0.0192606
78,-1.2071108,-1.1999017,"('nonresilient', 'resilient')",0.25925812,0.52051276,-0.3707445,-0.28526318,0.22053474,0.38498482,-0.2745156,-0.1449168,-0.1295988
0,-1.18486,-0.90781254,"('unsociable', 'sociable')",-0.047307864,0.07648751,0.84415716,0.08587456,-0.6609611,-0.54295546,-0.2622429,-0.3221015,0.0598586
82,-1.1685455,-1.0027372,"('poor', 'rich')",-0.7143744,-0.44353485,0.65575397,0.47962,6.228685,6.569143,1.2503798,1.4006227,-0.1502429
75,1.1632308,1.148394,"('meek', 'impulsive')",-0.36284873,-0.1555618,-2.4210005,-1.9256023,-0.7310426,-0.7809328,-0.5879153,-0.4284257,-0.1594896
23,-1.1100475,-0.7628504,"('insincere', 'sincere')",0.15967901,0.1749352,2.6407144,1.9717989,5.9566684,6.3996673,1.9117537,1.9458878,-0.0341341
16,-1.0720621,-0.92877126,"('unpopular', 'popular')",-0.34557414,-0.30782604,-1.2702916,-1.0841403,0.20063874,0.22959962,-0.6218222,-0.5227845,-0.0990377
50,1.0612016,1.1179552,"('clumsy', 'skillful')",-0.31467614,-0.25387427,-1.0650271,-0.6279218,0.086311266,-0.112867706,-0.0580476,0.0308228,-0.0888704
35,1.0503112,0.716136,"('corrupt', 'incorrupt')",-0.55258197,-0.58180624,-3.2122223,-2.2482114,0.038401492,-0.2351442,-0.6690229,-0.5872564,-0.0817665
3,-1.003296,-0.6984114,"('repellent', 'pleasant')",0.04089057,0.3154896,1.9703407,1.3649234,0.43818018,0.58084005,0.3615289,0.3907104,-0.0291815
