,kellogg_male,kellogg_female,tuple,co_male,co_female,average_male,average_female,male-female
26,3.1616557,2.6905177,"('hardhearted', 'benevolent')",1.9840263,1.6326201,2.5728409,2.1615689,0.411272
81,-2.7932293,-2.5383909,"('submissive', 'aggressive')",-1.317072,-1.2836851,-2.0551507,-1.9110379,-0.1441128
85,2.5818713,2.2399514,"('insignificant', 'prestigious')",0.25802457,0.060236912,1.4199479,1.1500942,0.2698537
1,2.376489,2.0278358,"('unfriendly', 'friendly')",1.9663955,1.908782,2.1714423,1.9683089,0.2031334
25,2.2705777,2.1129441,"('egoistic', 'altruistic')",1.8526399,1.8695667,2.0616088,1.9912554,0.0703534
3,-2.2228053,-1.9236202,"('repellent', 'pleasant')",-0.31504562,-0.17328712,-1.2689254,-1.0484537,-0.2204717
71,2.1926935,2.031023,"('diffident', 'self-confident')",0.42944205,0.523529,1.3110678,1.277276,0.0337918
9,2.0290997,1.938054,"('unaffectionate', 'caring')",1.3139462,1.3755344,1.671523,1.6567942,0.0147288
69,1.8992893,1.7224437,"('lazy', 'industrious')",-0.48177132,-0.64922166,0.708759,0.536611,0.172148
84,1.8871125,1.8235916,"('inferior', 'superior')",1.0441389,0.87598264,1.4656258,1.3497871,0.1158387
22,-1.8846725,-1.9244313,"('untrustworthy', 'trustworthy')",-1.4747524,-1.4017721,-1.6797125,-1.6631017,-0.0166108
68,-1.6617253,-1.7110147,"('dependent', 'independent')",-1.5729967,-1.563864,-1.6173611,-1.6374394,0.0200783
8,1.6568185,1.4230647,"('unaffectionate', 'affectionate')",0.8680348,0.8209716,1.2624266,1.1220181,0.1404085
33,1.6113086,1.4794191,"('wrong', 'right')",-0.24162997,-0.27498043,0.6848393,0.6022193,0.08262
70,-1.5640852,-1.3480048,"('lethargic', 'energetic')",-0.27197516,-0.15225771,-0.9180302,-0.7501312,-0.167899
44,-1.5015688,-1.5144591,"('prejudiced', 'unprejudiced')",-1.3141775,-1.1874214,-1.4078732,-1.3509402,-0.056933
76,-1.4969599,-1.4518484,"('anxious', 'daring')",-0.61514425,-0.53434616,-1.0560521,-0.9930973,-0.0629548
57,-1.4900512,-1.5330707,"('unimaginative', 'imaginative')",-3.6230857,-3.7040737,-2.5565684,-2.6185722,0.0620038
5,1.4866055,1.4587845,"('distant', 'outgoing')",-0.37049824,-0.31128198,0.5580536,0.5737512,-0.0156976
46,-1.4664595,-1.466003,"('uncompetitive', 'competitive')",-1.2508608,-1.1528006,-1.3586602,-1.3094018,-0.0492584
78,1.395159,1.1797248,"('nonresilient', 'resilient')",0.4309475,0.30811018,0.9130533,0.7439175,0.1691358
54,1.3883895,1.4898133,"('incapable', 'capable')",1.2136118,1.2673596,1.3010006,1.3785865,-0.0775859
64,-1.3693974,-1.228461,"('shy', 'confident')",-6.2809095,-6.2684894,-3.8251534,-3.7484751,-0.0766783
59,1.2845346,0.98478806,"('foolish', 'wise')",0.18259776,0.0849532,0.7335662,0.5348706,0.1986956
51,-1.281514,-1.1175964,"('uneducated', 'educated')",-0.034535937,-0.11348666,-0.658025,-0.6155415,-0.0424835
12,1.2812443,1.2712996,"('unsupportive', 'supportive')",-1.680972,-1.6558903,-0.1998639,-0.1922954,-0.0075685
39,1.2661146,1.2276272,"('exploitative', 'cooperative')",0.44826457,0.574407,0.8571896,0.9010171,-0.0438275
60,-1.2555366,-0.9284956,"('inefficient', 'efficient')",-0.6304694,-0.35014915,-0.9430029,-0.6393224,-0.3036805
6,1.2420347,1.1626058,"('distant', 'open')",0.069584206,0.13742372,0.6558095,0.6500148,0.0057947
36,1.1886649,0.9183933,"('hostile', 'amicable')",0.3203941,0.2167228,0.7545295,0.5675581,0.1869714
15,1.1610466,0.875056,"('boring', 'funny')",0.3524242,0.23716019,0.7567354,0.5561081,0.2006273
45,-1.1312994,-0.92339194,"('incompetent', 'competent')",-0.92502886,-0.9319212,-1.0281641,-0.9276565,-0.1005076
82,-1.1206604,-0.94245625,"('poor', 'rich')",4.7305055,4.998422,1.8049226,2.027983,-0.2230604
79,1.0594895,1.0147703,"('wavering', 'unwavering')",-0.029233232,-0.039733924,0.5151281,0.4875182,0.0276099
75,-1.0554845,-1.0055088,"('meek', 'impulsive')",-0.7124234,-0.67198217,-0.8839539,-0.8387455,-0.0452084
30,-1.0533595,-0.8398686,"('intolerant', 'tolerant')",-0.50447476,-0.40352198,-0.7789171,-0.6216953,-0.1572218
65,-1.0397444,-0.89774406,"('insecure', 'secure')",-0.4403141,-0.38267583,-0.7400292,-0.6402099,-0.0998193
14,-1.0380621,-1.0808042,"('antisocial', 'social')",-1.0785422,-1.2571906,-1.0583022,-1.1689974,0.1106952
35,1.0322287,0.68695515,"('corrupt', 'incorrupt')",-0.017131899,-0.19130847,0.5075484,0.2478233,0.2597251
10,-1.031387,-0.7615909,"('unsympathetic', 'sympathetic')",-0.44517675,-0.39962408,-0.7382818,-0.5806075,-0.1576743
24,-1.0178456,-0.8723795,"('dishonest', 'honest')",0.09265085,0.27009225,-0.4625974,-0.3011436,-0.1614538
11,-0.9671548,-0.8692496,"('unhelpful', 'helpful')",1.3717828,1.5547106,0.202314,0.3427305,-0.1404165
42,-0.9378256,-0.6843542,"('unreliable', 'reliable')",-3.2253776,-3.0823243,-2.0816016,-1.8833392,-0.1982624
27,0.93467444,0.7973006,"('hardhearted', 'softhearted')",1.1480669,1.0386939,1.0413706,0.9179972,0.1233734
20,0.8771727,0.8903076,"('rough', 'thoughtful')",0.85750294,0.8876815,0.8673378,0.8889946,-0.0216568
52,0.78045774,0.44976604,"('irrational', 'rational')",0.12468995,0.042528827,0.4525738,0.2461474,0.2064264
53,0.7756752,0.5555154,"('uncreative', 'creative')",0.2890035,0.39630437,0.5323393,0.4759099,0.0564294
7,-0.76416904,-0.52310425,"('insensitive', 'sensitive')",-0.4133908,-0.23296186,-0.5887799,-0.378033,-0.2107469
80,-0.75561774,-0.67030776,"('dominated', 'dominating')",-0.5753732,-0.62576437,-0.6654955,-0.6480361,-0.0174594
56,0.7207877,1.1563002,"('impractical', 'practical')",-0.6562302,-0.4382972,0.0322787,0.3590015,-0.3267228
55,-0.71978426,-0.68493974,"('incompetent', 'clever')",-0.37302953,-0.31149513,-0.5464069,-0.4982174,-0.0481895
58,-0.70508796,-0.9056393,"('undiscriminating', 'discriminating')",-0.29890576,-0.5802307,-0.5019969,-0.742935,0.2409381
31,0.68216074,0.43615383,"('evil', 'good')",-0.6915103,-0.8498932,-0.0046748,-0.2068697,0.2021949
48,0.65697175,0.41498592,"('unintelligent', 'intelligent')",-0.042942036,-0.007727504,0.3070149,0.2036292,0.1033857
77,-0.56120217,-0.4574142,"('unmotivated', 'motivated')",-1.1294148,-1.0322235,-0.8453085,-0.7448188,-0.1004897
21,-0.48315313,-0.3113144,"('immoral', 'moral')",-1.1967697,-1.0271455,-0.8399614,-0.66923,-0.1707314
17,-0.47439516,-0.6013268,"('nasty', 'nice')",-0.7205222,-0.91940975,-0.5974587,-0.7603683,0.1629096
62,-0.46528468,-0.07145033,"('incompetent', 'brilliant')",-0.7086476,-0.43901843,-0.5869662,-0.2552344,-0.3317318
13,-0.4627518,-0.40656897,"('impolite', 'polite')",-0.8019633,-0.6238059,-0.6323576,-0.5151874,-0.1171702
16,-0.40886837,-0.5757509,"('unpopular', 'popular')",-0.1293781,-0.14322886,-0.2691232,-0.3594899,0.0903667
2,-0.3972723,-0.28499487,"('unlikable', 'likable')",0.24154893,0.43958056,-0.0778617,0.0772928,-0.1551545
47,0.39346996,0.41407776,"('stupid', 'smart')",4.6364703,4.729825,2.5149701,2.5719514,-0.0569813
29,-0.39320764,-0.32976437,"('unfair', 'fair')",-0.43791938,-0.45913333,-0.4155635,-0.3944488,-0.0211147
41,0.38795376,0.5442714,"('unforgiving', 'forgiving')",0.4685773,0.33013946,0.4282655,0.4372054,-0.0089399
19,0.3682753,0.375984,"('inhospitable', 'hospitable')",-0.072228715,-0.050751776,0.1480233,0.1626161,-0.0145928
63,0.34147152,0.52282333,"('unperceptive', 'insightful')",0.45421815,0.5078921,0.3978449,0.5153577,-0.1175128
73,0.3315304,0.4094369,"('helpless', 'self-reliant')",-3.7221615,-3.547493,-1.6953156,-1.569028,-0.1262876
38,-0.31658083,-0.14007625,"('untruthful', 'truthful')",0.08895108,0.20127624,-0.1138149,0.0306,-0.1444149
86,0.31555125,0.19047794,"('uninfluential', 'influential')",-0.4798537,-0.6178573,-0.0821512,-0.2136897,0.1315385
87,-0.31189263,-0.29476503,"('unsuccessful', 'successful')",-0.014824212,-0.05063489,-0.1633584,-0.1727,0.0093416
4,0.30711803,0.23194008,"('disliked', 'liked')",-7.1001587,-7.359382,-3.3965204,-3.5637209,0.1672005
66,0.2758549,0.048043728,"('inactive', 'active')",0.88128,0.6079243,0.5785674,0.327984,0.2505834
49,-0.23449522,-0.13510278,"('unable', 'able')",-0.91472375,-0.76796293,-0.5746095,-0.4515328,-0.1230767
74,0.21858281,0.16306767,"('undedicated', 'dedicated')",-0.09019182,-0.120343864,0.0641955,0.0213619,0.0428336
