,m&t_male,m&t_female,tuple,bank_male,bank_female,corp_male,corp_female,average_male,average_female,male-female
8,-2.5529027,-2.1402051,"('unaffectionate', 'affectionate')",0.13587907,-0.017809078,0.06755532,0.059038006,-0.7831561,-0.6996588,-0.0834973
24,-1.7932904,-1.7881083,"('dishonest', 'honest')",-1.1534556,-0.92778563,0.5336173,1.0420172,-0.8043762,-0.5579589,-0.2464173
1,-1.7287471,-1.6879015,"('unfriendly', 'friendly')",-0.7948158,-1.0588641,-0.87895465,-0.9340599,-1.1341725,-1.2269418,0.0927693
3,1.7013235,1.5593245,"('repellent', 'pleasant')",-1.3965555,-1.0928712,-0.90488195,-0.69810736,-0.200038,-0.077218,-0.12282
51,1.6803782,1.3609145,"('uneducated', 'educated')",-0.10716519,0.13687763,-0.1901415,-0.15916443,0.4610238,0.4462092,0.0148146
73,1.5395161,1.7789075,"('helpless', 'self-reliant')",0.7602376,0.68792164,1.1660048,1.2083297,1.1552528,1.225053,-0.0698002
9,-1.5012838,-1.1756772,"('unaffectionate', 'caring')",-0.47128874,-0.4307416,0.42952254,0.7435647,-0.51435,-0.287618,-0.226732
4,1.4663395,1.7608736,"('disliked', 'liked')",0.8469368,0.6970631,0.53283125,0.3539993,0.9487025,0.937312,0.0113905
64,1.4244349,1.0998589,"('shy', 'confident')",-0.26379228,0.04097241,0.30718046,0.5214777,0.4892743,0.554103,-0.0648287
27,-1.3740834,-1.2384661,"('hardhearted', 'softhearted')",-1.0071746,-1.4062269,0.040547945,-0.13214163,-0.7802367,-0.9256115,0.1453748
42,1.3420621,1.3053854,"('unreliable', 'reliable')",1.4207178,1.4664136,0.8992743,1.0826433,1.2206848,1.2848141,-0.0641293
59,1.3060365,1.3193185,"('foolish', 'wise')",1.7875943,1.5390817,0.85796416,0.69406074,1.3171983,1.1841537,0.1330446
50,1.3025782,1.4721618,"('clumsy', 'skillful')",1.4023529,1.1088883,0.54229057,0.36625087,1.0824073,0.9824336,0.0999737
34,-1.2459699,-1.0624264,"('mean', 'honorable')",-1.4461479,-1.2708019,0.0823807,0.44545436,-0.8699123,-0.629258,-0.2406543
47,-1.2385603,-1.2451257,"('stupid', 'smart')",-1.0601376,-0.976687,-0.0645259,0.11648852,-0.7877413,-0.7017748,-0.0859665
22,-1.2169188,-1.2353768,"('untrustworthy', 'trustworthy')",-0.61584246,-0.4697682,-0.57807934,-0.27488276,-0.8036135,-0.6600093,-0.1436042
23,-1.2086642,-1.1383309,"('insincere', 'sincere')",-2.0890048,-1.6992968,-0.12265676,0.4742307,-1.1401086,-0.787799,-0.3523096
28,-1.1293805,-0.6945379,"('disloyal', 'loyal')",-1.0621463,-0.5068747,-0.75491756,0.01676948,-0.9821482,-0.394881,-0.5872672
2,1.1284461,1.3234168,"('unlikable', 'likable')",1.3971065,1.5387828,1.3569999,1.564867,1.2941842,1.4756889,-0.1815047
87,1.086533,1.0974901,"('unsuccessful', 'successful')",1.0824552,1.1740317,0.66017693,0.6637892,0.9430551,0.978437,-0.0353819
80,1.0513837,0.69767326,"('dominated', 'dominating')",-0.736354,-0.4694421,0.19227955,0.28026175,0.1691031,0.1694976,-0.0003945
37,-1.00657,-0.89383376,"('fake', 'genuine')",-0.9263023,-0.8222182,-0.07338275,0.17005964,-0.6687517,-0.5153308,-0.1534209
48,-1.0015528,-1.2119654,"('unintelligent', 'intelligent')",-1.5714712,-1.6050932,-1.4678884,-1.3161063,-1.3469709,-1.3777216,0.0307507
10,-0.9941626,-1.0466644,"('unsympathetic', 'sympathetic')",-2.0646198,-1.585939,-0.7636295,-0.031699233,-1.2741373,-0.8881009,-0.3860364
53,-0.99210554,-0.9674681,"('uncreative', 'creative')",-0.3811357,-0.33942422,-1.601872,-1.4864664,-0.9917044,-0.9311196,-0.0605848
65,-0.99186474,-1.168077,"('insecure', 'secure')",-1.5438076,-1.3451583,-1.1898845,-0.7078976,-1.2418523,-1.073711,-0.1681413
39,-0.981325,-0.3568203,"('exploitative', 'cooperative')",-1.2048624,-0.56777006,0.1713481,0.9681722,-0.6716131,0.0145273,-0.6861404
18,-0.9714273,-0.63314486,"('disagreeable', 'welcoming')",0.73769295,0.7222819,-0.2619398,-0.06786325,-0.1652247,0.0070913,-0.172316
41,-0.9585539,-0.545236,"('unforgiving', 'forgiving')",-1.4739419,-1.0956928,-0.116044484,0.33910716,-0.8495135,-0.4339405,-0.415573
26,-0.94225395,-0.6866856,"('hardhearted', 'benevolent')",1.0792841,0.9814016,-0.04646648,0.122864835,0.0301879,0.1391936,-0.1090057
40,-0.8923626,-0.75704736,"('stingy', 'generous')",-0.6799084,-0.90007883,-0.40772143,-0.41348195,-0.6599975,-0.6902027,0.0302052
5,0.8749124,0.8704518,"('distant', 'outgoing')",1.1700782,0.8122234,0.4373859,0.09223658,0.8274588,0.5916372,0.2358216
57,-0.8708319,-0.9807875,"('unimaginative', 'imaginative')",-1.8785906,-1.635813,-1.3976481,-1.0665859,-1.382357,-1.2277288,-0.1546282
29,0.8617327,0.8228033,"('unfair', 'fair')",0.7724576,0.40792388,-0.1301948,-0.19568327,0.5013318,0.3450147,0.1563171
32,-0.85060936,-0.6628176,"('unkind', 'kind')",-0.48526096,0.004044056,0.31811726,0.8429274,-0.339251,0.0613846,-0.4006356
0,-0.83502346,-1.001921,"('unsociable', 'sociable')",-1.9364438,-1.7463974,-0.65929025,-0.30856875,-1.1435858,-1.0189624,-0.1246234
86,-0.82656693,-0.958983,"('uninfluential', 'influential')",-1.8572356,-1.6464927,-0.907406,-0.51985747,-1.1970695,-1.0417777,-0.1552918
67,0.7564854,0.64186126,"('doubtful', 'determined')",0.28311747,0.28792253,1.2711811,1.2064976,0.7702613,0.7120938,0.0581675
82,-0.7380939,-0.90179396,"('poor', 'rich')",0.03761114,0.03132555,-1.3902242,-1.3184259,-0.6969024,-0.7296314,0.032729
