,allegheny_male,allegheny_female,tuple,technologies_male,technologies_female,average_male,average_female,male-female
39,2.1851814,2.1312313,"('exploitative', 'cooperative')",0.071799085,0.09447566,1.1284902,1.1128535,0.0156367
9,1.9343761,1.9266176,"('unaffectionate', 'caring')",1.2500352,1.1519353,1.5922056,1.5392765,0.0529291
16,-1.9198415,-2.0511627,"('unpopular', 'popular')",0.08235069,-0.1708705,-0.9187454,-1.1110166,0.1922712
12,1.9155301,1.9531283,"('unsupportive', 'supportive')",-1.0150918,-0.99558985,0.4502192,0.4787692,-0.02855
85,1.817303,1.6787202,"('insignificant', 'prestigious')",-0.42721534,-0.92291796,0.6950438,0.3779011,0.3171427
29,-1.6697433,-1.6457592,"('unfair', 'fair')",-0.9752116,-1.0951049,-1.3224775,-1.3704321,0.0479546
74,1.6647774,1.6143738,"('undedicated', 'dedicated')",-0.4423417,-0.41883337,0.6112179,0.5977702,0.0134477
24,1.4882777,1.456172,"('dishonest', 'honest')",-0.31087637,-0.23319367,0.5887007,0.6114892,-0.0227885
63,1.4468168,1.5477538,"('unperceptive', 'insightful')",0.7403893,0.87920463,1.093603,1.2134793,-0.1198763
66,1.4035822,1.2276435,"('inactive', 'active')",0.022173502,-0.17709601,0.7128779,0.5252737,0.1876042
72,1.3564101,1.3928682,"('unambitious', 'ambitious')",-0.84610665,-0.6490839,0.2551517,0.3718921,-0.1167404
53,1.2497,1.1697139,"('uncreative', 'creative')",0.44544145,0.45638752,0.8475707,0.8130507,0.03452
71,1.2102103,1.2810009,"('diffident', 'self-confident')",0.5835718,0.5052248,0.8968911,0.8931128,0.0037783
84,1.1726301,1.0846469,"('inferior', 'superior')",0.09060925,-0.032652088,0.6316197,0.5259974,0.1056223
8,1.1715895,1.0777872,"('unaffectionate', 'affectionate')",0.3157503,0.09464395,0.7436699,0.5862156,0.1574543
40,1.147052,1.1097142,"('stingy', 'generous')",-1.9608934,-2.0569773,-0.4069207,-0.4736316,0.0667109
80,1.0606288,1.09184,"('dominated', 'dominating')",-0.2740879,-0.19365823,0.3932704,0.4490909,-0.0558205
7,1.0127554,0.9161811,"('insensitive', 'sensitive')",0.60773253,0.82655215,0.810244,0.8713666,-0.0611226
21,0.96652883,1.0891534,"('immoral', 'moral')",-0.19274542,0.00705114,0.3868917,0.5481023,-0.1612106
68,-0.9551165,-0.99776864,"('dependent', 'independent')",-0.7128007,-0.7085383,-0.8339586,-0.8531535,0.0191949
26,0.9378728,0.804083,"('hardhearted', 'benevolent')",0.749969,0.6550774,0.8439209,0.7295802,0.1143407
