,lincoln_male,lincoln_female,tuple,national_male,national_female,corp_male,corp_female,average_male,average_female,male-female
36,-2.875742,-2.5409758,"('hostile', 'amicable')",-1.5547731,-1.4326358,-1.0130663,-0.6561906,-1.8145272,-1.5432674,-0.2712598
31,-2.0977192,-1.6554428,"('evil', 'good')",-0.19658548,-0.068465166,-1.4994824,-1.265363,-1.2645957,-0.9964236,-0.2681721
16,-1.840416,-1.5926448,"('unpopular', 'popular')",-0.2643141,-0.23146306,-0.030767076,0.008780435,-0.7118324,-0.6051091,-0.1067233
60,1.6941261,1.0317202,"('inefficient', 'efficient')",0.8102033,0.4900498,0.7412161,0.38390374,1.0818485,0.6352246,0.4466239
35,-1.6846609,-1.297752,"('corrupt', 'incorrupt')",-1.0310397,-0.8949656,-1.0872464,-0.9227882,-1.267649,-1.0385019,-0.2291471
6,-1.6140933,-1.1703565,"('distant', 'open')",-0.62321085,-0.24408785,-0.7357832,-0.40190592,-0.9910291,-0.6054501,-0.385579
62,1.606261,1.1134117,"('incompetent', 'brilliant')",0.9957511,0.59632707,1.049356,0.7252053,1.2171227,0.8116481,0.4054746
50,-1.5052184,-1.6265044,"('clumsy', 'skillful')",-0.94624346,-0.89603734,-0.02930075,-0.11349707,-0.8269208,-0.8786796,0.0517588
12,1.4451262,1.4612054,"('unsupportive', 'supportive')",0.9284991,1.0430483,-2.1467228,-2.1791742,0.0756342,0.1083598,-0.0327256
56,1.3994596,1.1472619,"('impractical', 'practical')",1.1883931,1.0245202,0.0327474,-0.0652497,0.8735334,0.7021774,0.171356
1,-1.3969928,-1.2449956,"('unfriendly', 'friendly')",-0.24315599,-0.07907425,0.6851406,0.9636916,-0.318336,-0.1201261,-0.1982099
4,-1.3668276,-0.950542,"('disliked', 'liked')",-0.29709825,-0.31182766,-8.238702,-8.092281,-3.300876,-3.1182168,-0.1826592
70,1.3008894,0.92956156,"('lethargic', 'energetic')",0.42214397,0.40949294,0.81520605,0.5932243,0.8460798,0.6440929,0.2019869
39,1.2972779,0.8764891,"('exploitative', 'cooperative')",1.5582399,1.4592801,0.04281001,0.13090008,0.9661093,0.8222231,0.1438862
46,1.273906,0.6966348,"('uncompetitive', 'competitive')",0.54702044,0.2706468,-0.41364297,-0.868249,0.4690945,0.0330109,0.4360836
5,-1.2443267,-1.0603231,"('distant', 'outgoing')",-0.24148235,-0.069025666,-0.9628909,-0.8028546,-0.8162333,-0.6440678,-0.1721655
79,-1.2310364,-0.84200954,"('wavering', 'unwavering')",-0.5777683,-0.365949,-0.85205275,-0.7108498,-0.8869525,-0.6396028,-0.2473497
19,-1.1954101,-0.96540254,"('inhospitable', 'hospitable')",-0.8232651,-0.58918214,-1.0845803,-0.9619233,-1.0344186,-0.838836,-0.1955826
43,1.1890944,0.9399781,"('irresponsible', 'responsible')",0.5439596,0.46624148,0.7047142,0.55722016,0.8125894,0.6544799,0.1581095
15,-1.106504,-1.1514548,"('boring', 'funny')",-0.23088852,-0.09174055,-0.18814662,-0.06651322,-0.508513,-0.4365695,-0.0719435
54,-1.0601547,-1.0949075,"('incapable', 'capable')",-0.08143902,0.08527227,0.7349971,0.8172536,-0.1355322,-0.0641272,-0.071405
78,-1.0351558,-1.2799716,"('nonresilient', 'resilient')",-0.59235466,-0.7624582,0.5362082,0.18164214,-0.3637674,-0.6202626,0.2564952
23,1.004057,0.43377602,"('insincere', 'sincere')",0.54568166,0.39615476,6.3729253,6.11523,2.6408879,2.3150536,0.3258343
55,0.95912117,0.5061714,"('incompetent', 'clever')",-0.38988456,-0.6793572,0.7098418,0.41829208,0.4263595,0.0817021,0.3446574
72,0.953629,1.0296701,"('unambitious', 'ambitious')",-0.21323784,-0.42143533,0.24478036,0.06961116,0.3283905,0.2259487,0.1024418
76,0.9481274,0.69015384,"('anxious', 'daring')",0.3045109,0.24939488,0.2841443,0.16026528,0.5122609,0.3666047,0.1456562
65,0.9232241,0.41877955,"('insecure', 'secure')",0.48488575,0.25556007,0.47516128,0.27683115,0.6277571,0.3170569,0.3107002
82,-0.89795905,-1.0779089,"('poor', 'rich')",-1.0036217,-0.93723434,6.811591,6.6912475,1.6366701,1.5587015,0.0779686
44,-0.85865366,-0.9018834,"('prejudiced', 'unprejudiced')",0.3846495,0.41466975,-1.1973658,-1.1223738,-0.5571233,-0.5365291,-0.0205942
80,0.85375744,0.50391036,"('dominated', 'dominating')",0.34810594,0.084764466,-0.119978,-0.47556493,0.3606285,0.0377033,0.3229252
40,0.84596026,0.84310454,"('stingy', 'generous')",0.46325615,0.41209722,-2.3704863,-2.428354,-0.3537566,-0.3910507,0.0372941
74,0.80279714,0.80204713,"('undedicated', 'dedicated')",0.7908034,0.8531433,-0.4225195,-0.486877,0.3903604,0.3894378,0.0009226
85,-0.7758915,-0.24892937,"('insignificant', 'prestigious')",-1.0415618,-0.75556475,-1.814987,-1.4434562,-1.2108134,-0.8159835,-0.3948299
8,-0.74841183,-0.6427812,"('unaffectionate', 'affectionate')",-0.85238343,-0.7007608,0.32264063,0.51262355,-0.4260515,-0.2769728,-0.1490787
53,-0.74468815,-0.6944013,"('uncreative', 'creative')",-1.2063798,-1.0498332,0.3075124,0.37569374,-0.5478518,-0.4561803,-0.0916715
10,0.72430736,0.5226198,"('unsympathetic', 'sympathetic')",-0.5047728,-0.550081,0.30454922,0.012508761,0.1746946,-0.0049842,0.1796788
11,0.72217953,0.445306,"('unhelpful', 'helpful')",0.71376634,0.6110421,1.8763497,1.7860657,1.1040985,0.9474713,0.1566272
67,0.7177379,0.7245092,"('doubtful', 'determined')",0.5941608,0.683917,-0.6965799,-0.6056997,0.2051063,0.2675755,-0.0624692
