,boston_male,boston_female,tuple,scientific_male,scientific_female,corp_male,corp_female,average_male,average_female,male-female
39,1.694191,2.0847065,"('exploitative', 'cooperative')",0.34133208,0.43237305,-0.04201806,0.03329507,0.6645016,0.8501249,-0.1856233
74,1.6033075,1.6083455,"('undedicated', 'dedicated')",-0.29492152,-0.17958966,-0.328102,-0.30541322,0.3267613,0.3744475,-0.0476862
73,1.5112398,1.6582385,"('helpless', 'self-reliant')",0.09040185,0.06374889,-3.5280778,-3.385675,-0.6421454,-0.5545625,-0.0875829
71,1.4122878,1.3820832,"('diffident', 'self-confident')",1.2464564,1.2445813,-0.08136912,-0.15874097,0.8591251,0.8226412,0.0364839
35,1.3173958,1.1049128,"('corrupt', 'incorrupt')",-0.19273512,-0.15249175,-1.4333756,-1.878857,-0.102905,-0.308812,0.205907
44,-1.2054511,-0.9555662,"('prejudiced', 'unprejudiced')",-0.40543082,-0.31076643,-1.6434114,-1.4353147,-1.0847645,-0.9005491,-0.1842154
78,-1.1574261,-1.3236122,"('nonresilient', 'resilient')",0.6246578,0.73740685,0.24073774,0.27680397,-0.0973435,-0.1031338,0.0057903
58,1.1379215,1.0909561,"('undiscriminating', 'discriminating')",0.59639716,0.50691986,0.3911646,0.10992058,0.7084944,0.5692655,0.1392289
24,1.1094015,1.1631986,"('dishonest', 'honest')",-0.71899563,-0.8881211,0.57480377,0.42000198,0.3217365,0.2316931,0.0900434
77,-1.0100389,-0.8758665,"('unmotivated', 'motivated')",0.7165698,0.9923425,-1.123548,-0.67801034,-0.472339,-0.1871781,-0.2851609
47,-1.0031921,-0.94979036,"('stupid', 'smart')",-0.1403251,-0.107654035,5.0001545,5.1144376,1.2855458,1.3523312,-0.0667854
26,0.93374336,0.68394005,"('hardhearted', 'benevolent')",1.5630227,1.2293024,1.6088073,0.7344004,1.3685246,0.8825476,0.485977
49,-0.93163913,-0.8325373,"('unable', 'able')",0.22632019,0.28555757,-0.3735593,0.089015,-0.3596261,-0.1526549,-0.2069712
61,0.80285126,0.7253648,"('illogical', 'logical')",0.44593862,0.2849851,0.48454452,0.4167353,0.5777781,0.4756951,0.102083
66,0.80147696,0.7388444,"('inactive', 'active')",-0.6538952,-0.75348216,0.42855564,0.28429013,0.1920458,0.0898841,0.1021617
40,0.75372535,0.6613727,"('stingy', 'generous')",0.18497027,0.38249436,-2.0131936,-2.2351239,-0.358166,-0.3970856,0.0389196
17,0.74195623,0.57963604,"('nasty', 'nice')",-0.1584318,-0.13568462,-0.70066893,-0.6977073,-0.0390482,-0.0845853,0.0455371
46,-0.6948014,-0.679101,"('uncompetitive', 'competitive')",-0.69091827,-0.629103,-0.30763566,0.08324009,-0.5644518,-0.4083213,-0.1561305
34,-0.6615384,-0.6822017,"('mean', 'honorable')",0.49534804,0.4065388,5.3769393,5.494608,1.7369162,1.7396483,-0.0027321
51,0.65389985,0.66305536,"('uneducated', 'educated')",0.7200798,0.6862207,1.2013882,1.2914624,0.858456,0.8802462,-0.0217902
43,-0.64043343,-0.36342216,"('irresponsible', 'responsible')",-0.70952,-0.8056249,0.26240852,0.45737046,-0.362515,-0.2372256,-0.1252894
79,0.62125653,0.29178017,"('wavering', 'unwavering')",-0.9343308,-0.86660033,-0.6509127,-0.803875,-0.321329,-0.4595651,0.1382361
82,-0.6089234,-0.38044634,"('poor', 'rich')",0.061286755,0.23053947,6.363658,6.704667,1.9386738,2.18492,-0.2462462
84,0.6078577,0.693651,"('inferior', 'superior')",0.7877102,0.81129503,0.6048201,0.5484903,0.666796,0.6844788,-0.0176828
68,0.60737425,0.5514201,"('dependent', 'independent')",-0.110952176,-0.2943483,-0.8752805,-0.7473557,-0.1262861,-0.163428,0.0371419
3,-0.57888216,-0.7082512,"('repellent', 'pleasant')",-0.49927488,-0.52027917,1.104873,1.3571497,0.0089053,0.0428731,-0.0339678
19,0.53281033,0.4144061,"('inhospitable', 'hospitable')",-0.093572035,-0.20448634,-0.6850668,-0.8622462,-0.0819428,-0.2174422,0.1354994
38,0.53262645,0.631813,"('untruthful', 'truthful')",0.05148773,0.08326325,-0.17839064,-0.43358254,0.1352412,0.0938312,0.04141
9,0.52951354,0.51366764,"('unaffectionate', 'caring')",-0.12976223,-0.33942568,0.8077121,0.5374167,0.4024878,0.2372196,0.1652682
54,-0.5290453,-0.27267313,"('incapable', 'capable')",-0.43636522,-0.5303397,0.28220785,0.44677168,-0.2277342,-0.1187471,-0.1089871
8,-0.5279584,-0.62535286,"('unaffectionate', 'affectionate')",-0.06442773,-0.26636052,0.075559966,-0.39079598,-0.1722754,-0.4275031,0.2552277
87,0.5108363,0.6258646,"('unsuccessful', 'successful')",0.036778193,-0.12855208,1.1621321,1.3005285,0.5699155,0.5992804,-0.0293649
36,0.49055946,-0.026935847,"('hostile', 'amicable')",-0.6819151,-0.67541426,-0.95676476,-1.4298705,-0.3827068,-0.7107402,0.3280334
13,0.48405704,0.62282896,"('impolite', 'polite')",-0.21555027,-0.37162143,-0.29237893,-0.0074576586,-0.0079574,0.08125,-0.0892074
80,0.4827346,0.6091299,"('dominated', 'dominating')",0.20435081,0.3378747,0.3691712,0.8214089,0.3520855,0.5894712,-0.2373857
25,0.48087293,0.48705095,"('egoistic', 'altruistic')",1.046761,1.121421,0.82144165,0.63980585,0.7830252,0.7494259,0.0335993
27,-0.45547184,-0.574962,"('hardhearted', 'softhearted')",-1.0789988,-1.2985873,0.7398446,0.44760814,-0.2648754,-0.4753137,0.2104383
86,0.45140398,0.12164979,"('uninfluential', 'influential')",0.63321126,0.34462273,0.18049358,0.21813197,0.4217029,0.2281348,0.1935681
85,0.4477349,0.16341077,"('insignificant', 'prestigious')",0.5763435,0.56366616,-1.3580935,-2.1977654,-0.1113384,-0.4902294,0.378891
31,-0.4428883,-0.9490131,"('evil', 'good')",-0.16716823,-0.19535492,-1.5854925,-2.1114824,-0.7318497,-1.0852834,0.3534337
41,0.4411169,0.19567639,"('unforgiving', 'forgiving')",0.26808825,0.3241619,-0.06564319,-0.42938244,0.2145207,0.0301519,0.1843688
42,0.42917922,0.72217625,"('unreliable', 'reliable')",-1.0777662,-0.7465557,-3.0120099,-2.4370513,-1.2201989,-0.8204769,-0.399722
57,-0.41783383,-0.47105107,"('unimaginative', 'imaginative')",0.005433224,-0.012603961,-2.6385245,-2.4946811,-1.0169751,-0.9927787,-0.0241964
12,0.39651436,0.3410501,"('unsupportive', 'supportive')",0.15612808,0.15458325,-1.9608691,-2.0065913,-0.4694089,-0.5036527,0.0342438
21,-0.39390045,-0.29292375,"('immoral', 'moral')",0.703348,0.7336059,-0.37311226,0.4440459,-0.0212216,0.2949094,-0.316131
