,eastman_male,eastman_female,tuple,chemical_male,chemical_female,co_male,co_female,average_male,average_female,male-female
26,3.1602879,2.9736755,"('hardhearted', 'benevolent')",2.2850099,2.1083846,2.279868,2.2341254,2.5750551,2.4387283,0.1363268
76,-2.5284503,-2.3085427,"('anxious', 'daring')",-1.3066306,-1.1627815,-0.62275124,-0.34234032,-1.4859441,-1.2712215,-0.2147226
36,2.44067,1.9626727,"('hostile', 'amicable')",-0.17533106,-0.39204568,0.71057767,0.4300777,0.9919722,0.6669016,0.3250706
69,2.4330013,2.2677279,"('lazy', 'industrious')",1.6164829,1.7191067,-0.075981066,-0.170881,1.324501,1.2719845,0.0525165
85,2.420569,1.9245623,"('insignificant', 'prestigious')",1.7253652,1.5252359,0.4227161,0.14329907,1.5228834,1.1976991,0.3251843
21,-2.3648293,-2.6263022,"('immoral', 'moral')",-0.92680895,-1.0375359,-1.1934351,-1.2126123,-1.4950245,-1.6254835,0.130459
55,-2.3025823,-2.1469882,"('incompetent', 'clever')",-0.45799586,-0.45189032,-0.34811503,-0.32361102,-1.036231,-0.9741631,-0.0620679
1,2.2046618,1.633315,"('unfriendly', 'friendly')",1.8736916,1.6729256,2.1714475,2.0385067,2.0832669,1.7815825,0.3016844
60,-2.1968422,-2.0691087,"('inefficient', 'efficient')",-0.1982977,-0.03979151,-1.0676417,-0.8728882,-1.1542606,-0.9939295,-0.1603311
43,-2.1305923,-1.8681306,"('irresponsible', 'responsible')",-0.9865093,-0.7795542,-0.16673854,0.062980704,-1.0946134,-0.8615681,-0.2330453
46,-2.0583405,-1.8050414,"('uncompetitive', 'competitive')",-0.6485046,-0.64251524,-0.848596,-0.916917,-1.1851471,-1.1214913,-0.0636558
70,-2.025127,-1.6066309,"('lethargic', 'energetic')",-1.2392433,-1.1423037,0.057079885,0.25110146,-1.0690968,-0.8326111,-0.2364857
13,-1.9714667,-2.0520396,"('impolite', 'polite')",-0.6895115,-0.7133747,-0.6801213,-0.60943556,-1.1136998,-1.1249499,0.0112501
62,-1.8674859,-1.5736239,"('incompetent', 'brilliant')",-0.28970793,-0.061853044,-0.7572861,-0.690171,-0.9714933,-0.7752159,-0.1962774
81,-1.8492846,-1.594424,"('submissive', 'aggressive')",-0.34149522,-0.25692362,-1.0073411,-0.9093764,-1.0660404,-0.9202414,-0.145799
45,-1.82227,-1.6054385,"('incompetent', 'competent')",-0.38786483,-0.2335308,-0.26431152,-0.22479784,-0.8248155,-0.6879223,-0.1368932
65,-1.8118393,-1.771885,"('insecure', 'secure')",-1.272527,-1.2835627,-0.38974047,-0.27453256,-1.1580356,-1.1099934,-0.0480422
33,1.807082,1.4042966,"('wrong', 'right')",1.2374586,1.1875705,-0.050079662,-0.27460188,0.9981537,0.7724217,0.225732
42,-1.7586019,-1.5601169,"('unreliable', 'reliable')",-0.63055855,-0.53053164,-3.1820734,-3.06917,-1.8570779,-1.7199395,-0.1371384
