,reynolds_male,reynolds_female,tuple,american_male,american_female,inc_male,inc_female,average_male,average_female,male-female
35,-2.114753,-1.4487181,"('corrupt', 'incorrupt')",-0.48814228,0.11960741,-0.8704176,-0.4457337,-1.157771,-0.5916148,-0.5661562
74,2.0934231,1.7871581,"('undedicated', 'dedicated')",0.7573013,0.6153309,0.803703,0.5037306,1.2181425,0.9687398,0.2494027
29,-2.0297801,-1.7570381,"('unfair', 'fair')",-1.716022,-1.4092218,-1.0056522,-0.89510226,-1.5838181,-1.3537874,-0.2300307
46,1.8866364,0.89127564,"('uncompetitive', 'competitive')",1.0530742,0.15351568,0.7732706,0.11605848,1.2376604,0.3869499,0.8507105
52,-1.8396888,-1.3606677,"('irrational', 'rational')",-1.2729107,-0.6791461,-0.79084283,-0.47028026,-1.3011474,-0.836698,-0.4644494
10,1.828731,1.2620908,"('unsympathetic', 'sympathetic')",0.0039181,-0.6112479,0.53632015,0.14268778,0.7896564,0.2645102,0.5251462
13,1.800511,1.2759125,"('impolite', 'polite')",0.469683,0.0638673,-0.056471676,-0.3450487,0.7379075,0.3315771,0.4063304
31,-1.7587832,-1.3251442,"('evil', 'good')",-0.74117625,-0.23285127,-1.9072952,-1.5788686,-1.4690849,-1.0456214,-0.4234635
18,-1.7386974,-1.6320909,"('disagreeable', 'welcoming')",-0.084589876,0.06850459,-1.2097038,-0.91007644,-1.010997,-0.8245543,-0.1864427
6,-1.5819843,-0.9821891,"('distant', 'open')",-1.0364102,-0.3503964,-0.18539377,0.41418773,-0.9345961,-0.3061326,-0.6284635
60,1.5773519,0.84716475,"('inefficient', 'efficient')",0.9605591,0.22812928,0.58318615,0.27309087,1.0403657,0.4494616,0.5909041
30,1.575002,1.3801488,"('intolerant', 'tolerant')",0.12733638,0.09346438,0.90605897,0.9066087,0.8694657,0.7934073,0.0760584
12,1.419654,1.1396899,"('unsupportive', 'supportive')",0.018927503,0.040613417,-1.3218822,-1.483107,0.0388997,-0.1009345,0.1398342
43,1.3746918,0.94307345,"('irresponsible', 'responsible')",0.3959691,-0.088742994,0.9761784,0.66705126,0.9156131,0.5071272,0.4084859
68,-1.3521128,-1.4090282,"('dependent', 'independent')",0.30085087,-0.18605544,-0.43013895,-0.665606,-0.4938003,-0.7535632,0.2597629
59,-1.3500081,-0.76794505,"('foolish', 'wise')",-0.9616748,-0.412252,-0.09108639,0.25283998,-0.8009231,-0.309119,-0.4918041
56,1.3479692,1.0058324,"('impractical', 'practical')",0.8654096,0.6282296,0.45202148,0.21084864,0.8884668,0.6149702,0.2734966
44,-1.2879643,-1.2286344,"('prejudiced', 'unprejudiced')",-0.10156207,-0.18795414,-1.2306557,-1.3240621,-0.873394,-0.9135502,0.0401562
7,1.2499397,0.6587866,"('insensitive', 'sensitive')",0.2529183,-0.3806241,0.7282124,0.50717443,0.7436901,0.261779,0.4819111
0,1.2448587,0.50122297,"('unsociable', 'sociable')",-0.06802124,-0.67532134,-0.4682736,-0.87724733,0.2361879,-0.3504486,0.5866365
16,-1.2399158,-1.200273,"('unpopular', 'popular')",-1.3399221,-1.0781199,0.13560398,0.18658061,-0.8147446,-0.6972707,-0.1174739
25,-1.2269232,-0.96038616,"('egoistic', 'altruistic')",-0.931808,-0.4499253,0.46626866,0.71493185,-0.5641542,-0.2317932,-0.332361
37,1.1835124,1.036166,"('fake', 'genuine')",-0.2598617,-0.34440097,0.5434842,0.5196224,0.489045,0.4037958,0.0852492
5,-1.1788328,-0.7869438,"('distant', 'outgoing')",-0.6607389,-0.08727336,-0.7171853,-0.14168847,-0.8522523,-0.3386352,-0.5136171
58,1.1724553,0.84015274,"('undiscriminating', 'discriminating')",0.6653757,0.41439334,0.80227226,0.36282656,0.8800344,0.5391242,0.3409102
71,1.151746,0.9628871,"('diffident', 'self-confident')",0.7832808,0.78680027,0.36672378,0.23981361,0.7672502,0.663167,0.1040832
85,-1.1480277,-0.67787635,"('insignificant', 'prestigious')",-1.6493282,-0.7620177,-0.6282617,-0.28533155,-1.1418726,-0.5750752,-0.5667974
73,1.1139486,1.3094733,"('helpless', 'self-reliant')",0.62406844,0.823185,-2.621855,-2.6892176,-0.2946126,-0.1855198,-0.1090928
70,1.1066973,0.62069607,"('lethargic', 'energetic')",0.68771315,0.34186122,1.0733666,0.94481814,0.9559257,0.6357918,0.3201339
36,-1.071803,-1.2786531,"('hostile', 'amicable')",-0.85502946,-0.41753924,-0.7228415,-0.54420584,-0.8832246,-0.7467994,-0.1364252
