,american_male,american_female,tuple,express_male,express_female,co_male,co_female,average_male,average_female,male-female
73,1.8326718,1.5095385,"('helpless', 'self-reliant')",0.34946305,0.4102501,-2.769899,-3.0151684,-0.1959213,-0.3651266,0.1692053
45,-1.5605518,-1.0435797,"('incompetent', 'competent')",-0.45658147,-0.25111878,-0.54506195,-0.6350255,-0.8540651,-0.6432413,-0.2108238
0,-1.4574459,-0.9937703,"('unsociable', 'sociable')",0.2577008,0.5100588,-0.5456284,-0.39652494,-0.5817912,-0.2934121,-0.2883791
47,-1.255199,-1.0780158,"('stupid', 'smart')",0.23973662,0.37940007,5.1095986,5.0018535,1.3647121,1.4344126,-0.0697005
55,-1.1831181,-0.83340657,"('incompetent', 'clever')",-0.35956824,-0.10564754,-0.3225708,0.013307668,-0.6217524,-0.3085821,-0.3131703
22,-1.1551539,-0.8748021,"('untrustworthy', 'trustworthy')",-0.8699587,-0.66017026,-0.83311534,-0.72599113,-0.9527427,-0.7536545,-0.1990882
29,-1.0922521,-0.87224746,"('unfair', 'fair')",-1.1238837,-1.064337,-0.72323143,-0.76268965,-0.9797891,-0.899758,-0.0800311
3,-0.9901043,-0.8624281,"('repellent', 'pleasant')",-0.8732249,-0.90289897,0.4028051,0.54520315,-0.4868414,-0.406708,-0.0801334
14,-0.9489985,-0.03387135,"('antisocial', 'social')",-0.053751413,0.66456527,-1.1057719,-0.44239923,-0.7028406,0.0627649,-0.7656055
39,0.9442192,0.36582708,"('exploitative', 'cooperative')",0.7787957,0.33361924,0.4792413,0.48103324,0.7340854,0.3934932,0.3405922
78,-0.938735,-0.9359535,"('nonresilient', 'resilient')",-0.63471174,-0.6046539,-0.5107394,-0.70525646,-0.6947287,-0.7486213,0.0538926
16,-0.9343241,-0.86526346,"('unpopular', 'popular')",-0.57754344,-0.32524222,0.42853037,0.4392283,-0.3611124,-0.2504258,-0.1106866
33,0.8671418,0.4473356,"('wrong', 'right')",0.4032814,0.29811102,-0.27475572,-0.66024387,0.3318892,0.0284009,0.3034883
82,-0.8530525,-0.62413216,"('poor', 'rich')",-0.34003004,-0.06496006,6.0904555,5.9847326,1.6324577,1.7652135,-0.1327558
77,-0.83579904,-0.91190344,"('unmotivated', 'motivated')",-0.16926202,-0.34014323,-1.2158965,-1.3319336,-0.7403192,-0.8613268,0.1210076
57,-0.80668855,-0.6063696,"('unimaginative', 'imaginative')",-0.93249124,-0.83391213,-3.4684544,-3.3600688,-1.735878,-1.6001169,-0.1357611
46,-0.8051713,-0.5411393,"('uncompetitive', 'competitive')",0.023843244,0.3263365,-1.6473973,-1.4656745,-0.8095751,-0.5601591,-0.249416
66,0.7781224,0.32035246,"('inactive', 'active')",-0.58498156,-0.7506701,0.16457559,-0.15846409,0.1192388,-0.1962606,0.3154994
41,-0.7771437,0.014854193,"('unforgiving', 'forgiving')",0.34231585,0.78550315,-0.11964212,0.0687539,-0.1848233,0.2897037,-0.474527
69,0.75763595,0.3337822,"('lazy', 'industrious')",0.6526839,0.5253505,-0.60729784,-0.75470686,0.267674,0.0348086,0.2328654
36,-0.7506218,-0.772486,"('hostile', 'amicable')",0.008342989,0.07046133,-0.13679866,-0.25905627,-0.2930258,-0.3203603,0.0273345
