,sunoco_male,sunoco_female,tuple,inc_male,inc_female,average_male,average_female,male-female
45,-1.5152293,-1.5943359,"('incompetent', 'competent')",-0.34166723,-0.47790775,-0.9284483,-1.0361218,0.1076735
68,-1.4537654,-1.3264294,"('dependent', 'independent')",-0.52863777,-0.37392354,-0.9912016,-0.8501765,-0.1410251
85,1.384868,1.5154326,"('insignificant', 'prestigious')",0.8958632,1.060046,1.1403656,1.2877393,-0.1473737
82,-1.2575672,-1.3257048,"('poor', 'rich')",5.8933725,5.8699346,2.3179026,2.2721148,0.0457878
6,-1.1977973,-0.84078056,"('distant', 'open')",0.20295121,0.4010223,-0.4974231,-0.2198791,-0.277544
55,-1.1812195,-1.2507396,"('incompetent', 'clever')",-0.21108207,-0.26579106,-0.6961508,-0.7582653,0.0621145
10,-1.1628432,-1.2854046,"('unsympathetic', 'sympathetic')",-0.5083084,-0.58906746,-0.8355758,-0.937236,0.1016602
73,1.0189359,1.059149,"('helpless', 'self-reliant')",-2.8804612,-3.0191622,-0.9307626,-0.9800066,0.049244
70,-1.014298,-1.3795027,"('lethargic', 'energetic')",0.59426266,0.26750076,-0.2100177,-0.5560009,0.3459832
22,-0.88397825,-1.0875698,"('untrustworthy', 'trustworthy')",-1.1701074,-1.3265092,-1.0270429,-1.2070396,0.1799967
18,-0.8723838,-0.68039364,"('disagreeable', 'welcoming')",-0.5237142,-0.35518467,-0.6980489,-0.5177891,-0.1802598
33,0.87114906,0.9203099,"('wrong', 'right')",-0.3640396,-0.3634478,0.2535547,0.2784311,-0.0248764
8,-0.86596566,-0.80471456,"('unaffectionate', 'affectionate')",0.634043,0.6722542,-0.1159613,-0.0662302,-0.0497311
46,-0.847315,-1.0145438,"('uncompetitive', 'competitive')",-0.7345967,-0.882252,-0.7909559,-0.9483979,0.157442
43,-0.8215842,-0.90603846,"('irresponsible', 'responsible')",0.12783028,0.12764835,-0.346877,-0.3891951,0.0423181
57,-0.8038147,-0.92701477,"('unimaginative', 'imaginative')",-2.4242337,-2.5747142,-1.6140242,-1.7508645,0.1368403
13,-0.80263555,-0.95108557,"('impolite', 'polite')",-0.7121778,-0.7133739,-0.7574067,-0.8322297,0.074823
19,-0.7617498,-0.43475482,"('inhospitable', 'hospitable')",0.32804817,0.5698564,-0.2168508,0.0675508,-0.2844016
5,-0.7381249,-0.41601032,"('distant', 'outgoing')",-0.3479522,-0.14629008,-0.5430385,-0.2811502,-0.2618883
39,0.73099506,0.64332336,"('exploitative', 'cooperative')",0.049316127,-0.017829504,0.3901556,0.3127469,0.0774087
69,0.72360337,0.9281888,"('lazy', 'industrious')",-0.53816426,-0.3414551,0.0927196,0.2933668,-0.2006472
56,-0.6945661,-0.8503199,"('impractical', 'practical')",-0.7903686,-0.98773044,-0.7424673,-0.9190252,0.1765579
28,-0.6855974,-0.7262845,"('disloyal', 'loyal')",0.7071684,0.6798211,0.0107855,-0.0232317,0.0340172
71,0.6737337,0.62233734,"('diffident', 'self-confident')",0.4805339,0.48039967,0.5771338,0.5513685,0.0257653
53,-0.6608858,-0.70638037,"('uncreative', 'creative')",0.765862,0.8045749,0.0524881,0.0490973,0.0033908
81,-0.6231364,-0.7731514,"('submissive', 'aggressive')",-1.074662,-1.0812675,-0.8488992,-0.9272094,0.0783102
83,0.61869425,0.59679973,"('powerless', 'powerful')",-1.0020854,-1.1264224,-0.1916956,-0.2648113,0.0731157
2,0.6101535,0.49242532,"('unlikable', 'likable')",0.36251867,0.47325125,0.4863361,0.4828383,0.0034978
24,-0.5977204,-0.6161729,"('dishonest', 'honest')",0.48027638,0.5618517,-0.058722,-0.0271606,-0.0315614
41,-0.59061825,-0.36913198,"('unforgiving', 'forgiving')",-0.10607971,0.06851439,-0.348349,-0.1503088,-0.1980402
0,-0.5651041,-0.6064886,"('unsociable', 'sociable')",-0.9645942,-0.95861095,-0.7648492,-0.7825497,0.0177005
51,-0.56482446,-0.60346085,"('uneducated', 'educated')",0.8645494,0.9278989,0.1498625,0.162219,-0.0123565
86,-0.56108326,-0.5560243,"('uninfluential', 'influential')",-0.010441139,-0.041749008,-0.2857622,-0.2988867,0.0131245
78,-0.55332696,-0.4611311,"('nonresilient', 'resilient')",0.4081033,0.59395766,-0.0726118,0.0664133,-0.1390251
