,public_male,public_female,tuple,storage_male,storage_female,average_male,average_female,male-female
35,-1.9544271,-1.9089311,"('corrupt', 'incorrupt')",-1.8626494,-2.2311828,-1.9085383,-2.0700569,0.1615186
75,-1.7779299,-1.3584212,"('meek', 'impulsive')",-1.2281666,-1.1934197,-1.5030482,-1.2759204,-0.2271278
23,1.6607821,1.3876007,"('insincere', 'sincere')",7.3755517,6.8010874,4.518167,4.0943441,0.4238229
14,1.5784444,1.5738748,"('antisocial', 'social')",0.59714633,0.8351091,1.0877954,1.204492,-0.1166966
66,-1.5434793,-1.2903845,"('inactive', 'active')",-1.3140929,-1.2684501,-1.428786,-1.2794173,-0.1493687
36,-1.5297917,-1.3465774,"('hostile', 'amicable')",-2.1070254,-1.9224651,-1.8184085,-1.6345212,-0.1838873
31,-1.5247904,-1.4972858,"('evil', 'good')",-2.3376381,-2.4340308,-1.9312143,-1.9656583,0.034444
56,1.4590601,1.2562537,"('impractical', 'practical')",1.0558901,1.2670666,1.2574751,1.2616601,-0.004185
39,1.3928589,1.388148,"('exploitative', 'cooperative')",-0.0015512402,-0.014733864,0.6956538,0.686707,0.0089468
30,1.387681,1.3851061,"('intolerant', 'tolerant')",1.4947853,1.7265515,1.4412332,1.5558288,-0.1145956
12,1.353953,1.19258,"('unsupportive', 'supportive')",-0.9307218,-0.65560085,0.2116156,0.2684896,-0.056874
21,1.260485,0.8731111,"('immoral', 'moral')",0.70835745,0.8111888,0.9844213,0.84215,0.1422713
73,1.2306001,1.2896657,"('helpless', 'self-reliant')",-3.552246,-3.4071548,-1.160823,-1.0587445,-0.1020785
26,1.2239628,1.3679762,"('hardhearted', 'benevolent')",0.5598378,0.86870414,0.8919003,1.1183401,-0.2264398
40,1.2040622,0.6708349,"('stingy', 'generous')",-1.8417454,-1.9621254,-0.3188416,-0.6456453,0.3268037
19,-1.1608006,-0.9643405,"('inhospitable', 'hospitable')",-0.5474927,-0.66982263,-0.8541466,-0.8170816,-0.037065
16,-1.1461009,-0.9270401,"('unpopular', 'popular')",-0.40860242,-0.59067374,-0.7773516,-0.7588569,-0.0184947
11,1.1059757,1.0788069,"('unhelpful', 'helpful')",2.6572425,2.6690443,1.8816092,1.8739256,0.0076836
60,1.0551776,0.31079212,"('inefficient', 'efficient')",1.6109275,1.6518397,1.3330525,0.9813159,0.3517366
62,1.0544741,0.5843734,"('incompetent', 'brilliant')",1.824777,1.528549,1.4396255,1.0564612,0.3831643
79,-1.0228786,-0.8967558,"('wavering', 'unwavering')",-1.1074443,-1.3223568,-1.0651615,-1.1095563,0.0443948
22,1.0128446,0.65315,"('untrustworthy', 'trustworthy')",0.36058834,0.3263691,0.6867164,0.4897596,0.1969568
50,-0.95822895,-0.6988103,"('clumsy', 'skillful')",-0.22866444,-0.39760745,-0.5934467,-0.5482088,-0.0452379
24,0.9200868,0.5262297,"('dishonest', 'honest')",1.6250366,1.4663864,1.2725617,0.9963081,0.2762536
