,international_male,international_female,tuple,paper_male,paper_female,co_male,co_female,average_male,average_female,male-female
66,1.4157734,0.9417301,"('inactive', 'active')",-0.6328601,-0.94350225,0.24840006,-0.12327165,0.3437711,-0.0416813,0.3854524
74,1.3723409,1.3494904,"('undedicated', 'dedicated')",0.4495609,0.62661046,0.27087837,0.33077174,0.6975934,0.7689575,-0.0713641
82,-1.286702,-1.2588652,"('poor', 'rich')",-0.31795025,-0.32751286,6.1345277,6.115144,1.5099584,1.5095886,0.0003698
69,1.225372,0.9830483,"('lazy', 'industrious')",0.4974759,0.4648289,-1.278355,-1.3485225,0.1481643,0.0331182,0.1150461
87,1.126483,0.8142077,"('unsuccessful', 'successful')",0.7780999,0.58345187,0.5305239,0.54036313,0.8117023,0.6460075,0.1656948
26,1.0967214,0.90323144,"('hardhearted', 'benevolent')",2.0208564,1.895846,1.8326879,1.6625166,1.6500886,1.487198,0.1628906
56,1.0833967,1.2197163,"('impractical', 'practical')",1.4639909,1.550524,0.20317328,0.32563904,0.9168536,1.0319598,-0.1151062
2,1.0460143,1.0055743,"('unlikable', 'likable')",0.25314,0.31050733,0.94286674,1.0448991,0.7473404,0.7869936,-0.0396532
77,-1.00941,-0.5225466,"('unmotivated', 'motivated')",-0.8627768,-0.7406848,-1.3927867,-1.1998142,-1.0883245,-0.8210152,-0.2673093
29,-0.97364146,-0.8961215,"('unfair', 'fair')",-0.43576476,-0.38193893,-0.9983395,-0.99994785,-0.8025819,-0.7593361,-0.0432458
51,0.9598424,1.3450867,"('uneducated', 'educated')",-0.7151187,-0.59094495,0.6279605,0.77549475,0.2908947,0.5098788,-0.2189841
39,0.9541736,1.1973128,"('exploitative', 'cooperative')",0.10910472,0.21187352,0.24870938,0.50320923,0.4373292,0.6374652,-0.200136
13,0.9158275,1.1164212,"('impolite', 'polite')",0.15947449,0.05769995,0.13390334,0.0067226216,0.4030685,0.3936146,0.0094539
53,-0.91018623,-0.7629999,"('uncreative', 'creative')",0.8111201,0.5859347,0.3125521,0.15441367,0.071162,-0.0075505,0.0787125
3,-0.89932513,-0.49867785,"('repellent', 'pleasant')",-0.73851466,-0.6336077,0.514715,0.7781076,-0.3743749,-0.1180593,-0.2563156
17,-0.87681067,-0.9330754,"('nasty', 'nice')",-0.746534,-0.83786124,-0.28567785,-0.23635876,-0.6363409,-0.6690985,0.0327576
49,-0.83926517,-0.731355,"('unable', 'able')",-1.1539288,-1.1123817,-0.53990656,-0.49254748,-0.8443668,-0.7787614,-0.0656054
10,-0.82134813,-0.46978885,"('unsympathetic', 'sympathetic')",-1.081108,-1.1059474,0.07243191,0.11560138,-0.610008,-0.4867116,-0.1232964
80,0.807073,0.97969514,"('dominated', 'dominating')",0.073861755,0.077496715,-0.013435446,0.004383374,0.2891665,0.3538584,-0.0646919
73,0.794479,0.5679083,"('helpless', 'self-reliant')",0.24386096,0.31698653,-3.2557125,-3.4501138,-0.7391241,-0.855073,0.1159489
63,0.78390384,0.77664965,"('unperceptive', 'insightful')",-0.20332816,-0.25994352,0.35676354,0.46669838,0.3124464,0.3278015,-0.0153551
11,0.75493085,0.82186466,"('unhelpful', 'helpful')",-0.5704982,-0.55021036,2.5109468,2.604458,0.8984598,0.9587042,-0.0602444
55,-0.73553306,-0.4867682,"('incompetent', 'clever')",-0.7809789,-0.6327094,0.5816356,0.7207982,-0.3116254,-0.1328931,-0.1787323
12,0.6814695,0.75763655,"('unsupportive', 'supportive')",0.20733136,0.20155016,-1.8505483,-1.8814212,-0.3205825,-0.3074115,-0.013171
18,0.6695071,0.972811,"('disagreeable', 'welcoming')",-1.0255544,-0.88567317,-1.1139637,-0.98481613,-0.4900037,-0.2992261,-0.1907776
14,0.62216836,0.8022951,"('antisocial', 'social')",1.2268078,1.2270207,0.3584221,0.3648026,0.7357994,0.7980395,-0.0622401
15,0.6215178,0.6240628,"('boring', 'funny')",0.061041772,0.2748647,0.11265907,0.17527291,0.2650729,0.3580668,-0.0929939
19,-0.61717623,-0.71941465,"('inhospitable', 'hospitable')",-1.1606671,-1.0563606,-0.41403946,-0.46523985,-0.7306275,-0.747005,0.0163775
9,0.6081589,0.52839196,"('unaffectionate', 'caring')",0.7059728,0.45426294,1.0726618,0.76106966,0.7955979,0.5812415,0.2143564
16,-0.57249486,-0.5704765,"('unpopular', 'popular')",-0.95655173,-0.8604165,-0.16561534,0.023915254,-0.5648873,-0.4689926,-0.0958947
33,0.5676299,0.53454614,"('wrong', 'right')",0.39250812,0.3932696,-0.87168884,-0.90584797,0.029483,0.0073226,0.0221604
22,-0.53337,-0.40646598,"('untrustworthy', 'trustworthy')",-0.57359594,-0.4826845,-0.3437207,-0.16737162,-0.4835622,-0.352174,-0.1313882
68,-0.5052652,-0.25985694,"('dependent', 'independent')",-1.7472568,-1.5833603,-1.77665,-1.7321389,-1.3430573,-1.1917853,-0.151272
48,-0.5017794,-0.19598114,"('unintelligent', 'intelligent')",-0.7089036,-0.662256,-0.3663479,-0.33485255,-0.525677,-0.3976966,-0.1279804
31,-0.4758892,-0.82571375,"('evil', 'good')",-0.23063785,-0.37735716,-1.4131832,-1.6009918,-0.7065701,-0.9346876,0.2281175
42,0.45156327,0.65779775,"('unreliable', 'reliable')",0.03813695,0.19873253,-2.8806067,-2.6063762,-0.7969688,-0.583282,-0.2136868
37,-0.4494538,-0.61249274,"('fake', 'genuine')",-1.1850717,-1.2040608,0.18174155,0.008327743,-0.4842613,-0.602742,0.1184807
0,-0.4373638,-0.25193417,"('unsociable', 'sociable')",0.08154045,0.024621014,0.2799732,0.30373645,-0.0252834,0.0254744,-0.0507578
61,-0.43035957,-0.3709025,"('illogical', 'logical')",0.28076893,0.21863541,-0.015879434,0.022193097,-0.0551567,-0.043358,-0.0117987
27,-0.4195386,-0.31867087,"('hardhearted', 'softhearted')",-1.0379921,-1.0974221,0.45845258,0.08773142,-0.3330261,-0.4427872,0.1097611
67,0.41758722,0.45451197,"('doubtful', 'determined')",0.208682,0.42052072,-0.07958215,0.10625802,0.182229,0.3270969,-0.1448679
54,-0.40826288,-0.2807444,"('incapable', 'capable')",0.17745405,0.2976557,0.67234284,0.7093397,0.147178,0.2420837,-0.0949057
36,0.39539933,0.11823233,"('hostile', 'amicable')",-0.55655515,-0.6024787,-0.7075321,-0.79622316,-0.2895626,-0.4268232,0.1372606
64,-0.39337525,-0.3534691,"('shy', 'confident')",-0.5196307,-0.4479848,-5.9326725,-5.5937324,-2.2818928,-2.1317288,-0.150164
30,0.38688594,0.5406792,"('intolerant', 'tolerant')",-0.15537791,0.109851256,0.82721597,1.0752943,0.352908,0.5752749,-0.2223669
20,-0.36694402,-0.19757763,"('rough', 'thoughtful')",-0.3120872,-0.30706218,0.08966999,0.17187148,-0.1964538,-0.1109228,-0.085531
38,0.33561516,0.24636173,"('untruthful', 'truthful')",0.01849369,0.014342029,0.043465085,0.12588723,0.1325246,0.1288637,0.0036609
47,-0.3314572,-0.38306162,"('stupid', 'smart')",0.6214018,0.521092,5.5198555,5.5339355,1.9366,1.8906554,0.0459446
59,0.31521058,0.1702723,"('foolish', 'wise')",0.08368647,0.11373076,-0.39944738,-0.31917897,-0.0001834,-0.0117253,0.0115419
76,0.3092988,0.78978336,"('anxious', 'daring')",-0.9670448,-0.8399346,0.19411564,0.43681794,-0.1545434,0.1288889,-0.2834323
32,-0.30027664,0.16364115,"('unkind', 'kind')",0.19446877,0.20539609,1.3706887,1.4949391,0.4216269,0.6213255,-0.1996986
78,-0.29915434,-0.16495082,"('nonresilient', 'resilient')",-0.45853198,-0.5036555,-0.44186705,-0.47531846,-0.3998511,-0.3813082,-0.0185429
24,0.29644805,0.33390105,"('dishonest', 'honest')",-0.085191354,-0.12221494,0.9295153,0.9829387,0.3802573,0.3982083,-0.017951
70,0.2952452,0.35478443,"('lethargic', 'energetic')",-0.7809962,-0.71602565,0.35957307,0.4017104,-0.0420593,0.0134897,-0.055549
60,-0.2928338,-0.07316181,"('inefficient', 'efficient')",0.24053147,0.13595901,0.48939997,0.4365484,0.1456992,0.1664485,-0.0207493
43,0.27744254,0.37668005,"('irresponsible', 'responsible')",-0.6177669,-0.74521506,0.7291794,0.7304936,0.1296183,0.1206529,0.0089654
79,0.27150342,0.06893244,"('wavering', 'unwavering')",-0.6594444,-0.69085145,-0.87920934,-0.92175555,-0.4223834,-0.5145582,0.0921748
65,-0.25524807,0.029278971,"('insecure', 'secure')",-0.21531203,-0.07290205,0.525963,0.60042214,0.0184676,0.1855997,-0.1671321
86,-0.21083167,-0.25433794,"('uninfluential', 'influential')",-0.2596522,-0.29253092,-0.20520225,-0.2858681,-0.2252287,-0.277579,0.0523503
85,-0.20904693,-0.2508617,"('insignificant', 'prestigious')",0.19985437,0.2691858,-0.844332,-0.7279694,-0.2845082,-0.2365484,-0.0479598
72,-0.19071844,-0.27397138,"('unambitious', 'ambitious')",0.19793078,0.13940468,-0.4386519,-0.5132015,-0.1438132,-0.2159227,0.0721095
