,thermo_male,thermo_female,tuple,fisher_male,fisher_female,scientific_male,scientific_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.4698572,-2.2807956,"('unfriendly', 'friendly')",-0.60318595,-0.17864797,-0.73663175,-0.46434408,1.2135026,1.5005096,-0.649043,-0.3558195,-0.2932235
86,-2.1640344,-2.1111085,"('uninfluential', 'influential')",-0.8334208,-0.38555577,0.16899101,0.19902347,-0.38299164,-0.33226028,-0.8028639,-0.6574753,-0.1453886
8,-2.1140306,-1.947103,"('unaffectionate', 'affectionate')",-0.27447855,-0.040465757,-0.7171235,-0.48962706,-0.2546395,0.078397885,-0.8400681,-0.5996994,-0.2403687
9,-2.0392332,-1.9148396,"('unaffectionate', 'caring')",0.24061294,0.5545905,-0.1409066,0.06899358,0.58204037,0.88799864,-0.3393716,-0.1008142,-0.2385574
19,-1.9099243,-1.7634552,"('inhospitable', 'hospitable')",-0.5370872,-0.22100358,-0.87656385,-0.67816347,-0.32369184,-0.020221192,-0.9118168,-0.6707109,-0.2411059
6,-1.812928,-1.6107711,"('distant', 'open')",-1.8373826,-1.5621675,-1.7644602,-1.4187295,-0.308204,0.07826546,-1.4307437,-1.1283506,-0.3023931
53,-1.7894619,-1.8053029,"('uncreative', 'creative')",-1.0102816,-0.63786364,0.02294588,0.082732655,0.9601241,0.9829186,-0.4541684,-0.3443788,-0.1097896
5,-1.724616,-1.5027767,"('distant', 'outgoing')",-1.1911781,-1.0645838,-1.3065982,-0.97339934,-0.5480234,-0.21445064,-1.1926038,-0.9388026,-0.2538012
79,-1.506372,-1.3456649,"('wavering', 'unwavering')",-0.7059138,-0.58710885,-1.7739607,-1.61985,-0.22751774,-0.026756264,-1.053441,-0.894845,-0.158596
28,-1.4766818,-1.3742301,"('disloyal', 'loyal')",-0.280314,-0.055168327,0.24871004,0.33004662,0.6401263,0.6144289,-0.2170399,-0.1212307,-0.0958092
31,-1.3776678,-1.2376683,"('evil', 'good')",-1.9911836,-1.9075323,-1.7264994,-1.4525567,-1.957695,-1.69923,-1.7632614,-1.5742469,-0.1890145
36,-1.3403988,-1.2891383,"('hostile', 'amicable')",-1.2000936,-1.2812757,-1.879467,-1.7479033,-0.5884977,-0.5049035,-1.2521143,-1.2058052,-0.0463091
67,1.317255,1.3164213,"('doubtful', 'determined')",1.2373145,1.1895715,-0.454896,-0.5357728,-0.2318283,-0.21715215,0.4669613,0.438267,0.0286943
10,-1.3143494,-1.5228916,"('unsympathetic', 'sympathetic')",-0.5084969,-0.005180169,-0.4265114,-0.58924425,0.23712632,0.11189962,-0.5030578,-0.5013541,-0.0017037
44,1.1996701,0.98252237,"('prejudiced', 'unprejudiced')",-0.022745695,-0.6035751,0.23647767,0.0042230072,-1.0674648,-1.3640429,0.0864843,-0.2452182,0.3317025
82,-1.1690015,-1.1022592,"('poor', 'rich')",-0.958042,-0.74295443,0.382118,0.18922484,5.920611,5.780689,1.0439214,1.031175,0.0127464
12,-1.1565475,-1.135058,"('unsupportive', 'supportive')",0.5293188,0.91879255,0.1987956,0.32708102,-1.6458292,-1.5497044,-0.5185656,-0.3597222,-0.1588434
57,-1.0384153,-1.2075751,"('unimaginative', 'imaginative')",-2.0585833,-1.7626594,-0.2643217,-0.39839417,-2.1985874,-2.3848183,-1.389977,-1.4383616,0.0483846
54,-1.0383278,-1.100191,"('incapable', 'capable')",0.22972637,0.18921214,0.0018855911,0.047842942,0.83531725,0.9584794,0.0071504,0.0238359,-0.0166855
78,-1.0362675,-0.9269419,"('nonresilient', 'resilient')",-1.1837106,-0.97156024,0.842873,1.047559,0.7818964,0.79340947,-0.1488022,-0.0143834,-0.1344188
69,1.0024064,1.1625806,"('lazy', 'industrious')",0.76755005,0.56820256,0.5605519,0.8269846,-0.66045904,-0.34549865,0.4175123,0.5530673,-0.135555
81,0.999787,0.71145093,"('submissive', 'aggressive')",0.07515748,-0.17548518,1.6773459,1.2863672,0.26366207,-0.14024332,0.7539881,0.4205224,0.3334657
63,-0.9863514,-1.021755,"('unperceptive', 'insightful')",-0.9821405,-0.66859424,0.3695466,0.32756454,1.1680366,1.1857567,-0.1077271,-0.044257,-0.0634701
26,-0.9828161,-0.74878025,"('hardhearted', 'benevolent')",0.8561553,1.078677,0.52018964,0.7318152,0.9045318,1.1171037,0.3245152,0.544704,-0.2201888
45,-0.9550756,-1.0049995,"('incompetent', 'competent')",-0.12569946,0.14625977,0.42509156,0.3736036,-0.26912394,-0.4449535,-0.2312019,-0.2325224,0.0013205
