,wyeth_male,wyeth_female,tuple,average_male,average_female,male-female
81,-2.1763127,-2.0927162,"('submissive', 'aggressive')",-2.1763127,-2.0927162,-0.0835965
10,-2.12769,-1.6415508,"('unsympathetic', 'sympathetic')",-2.1276901,-1.6415508,-0.4861393
86,-2.0169034,-1.5306292,"('uninfluential', 'influential')",-2.0169034,-1.5306292,-0.4862742
77,-1.9834229,-2.2767546,"('unmotivated', 'motivated')",-1.9834229,-2.2767546,0.2933317
21,-1.8751206,-1.7564857,"('immoral', 'moral')",-1.8751206,-1.7564857,-0.1186349
57,-1.8395941,-0.8557607,"('unimaginative', 'imaginative')",-1.8395941,-0.8557607,-0.9838334
0,-1.6858902,-1.4271035,"('unsociable', 'sociable')",-1.6858902,-1.4271035,-0.2587867
64,-1.6408628,-1.8371382,"('shy', 'confident')",-1.6408628,-1.8371382,0.1962754
46,-1.636743,-1.1614913,"('uncompetitive', 'competitive')",-1.6367429,-1.1614913,-0.4752516
55,-1.5809803,-0.94210184,"('incompetent', 'clever')",-1.5809803,-0.9421018,-0.6388785
3,-1.5066953,-1.4341166,"('repellent', 'pleasant')",-1.5066953,-1.4341166,-0.0725787
51,-1.4748348,-1.4458952,"('uneducated', 'educated')",-1.4748348,-1.4458952,-0.0289396
34,1.4569342,1.631228,"('mean', 'honorable')",1.4569342,1.631228,-0.1742938
48,-1.4416455,-1.2432232,"('unintelligent', 'intelligent')",-1.4416455,-1.2432232,-0.1984223
28,-1.3180176,-1.3312459,"('disloyal', 'loyal')",-1.3180176,-1.3312459,0.0132283
35,1.3139828,1.1338452,"('corrupt', 'incorrupt')",1.3139828,1.1338452,0.1801376
12,-1.2943859,-1.2568095,"('unsupportive', 'supportive')",-1.2943859,-1.2568095,-0.0375764
69,1.2870322,0.81744134,"('lazy', 'industrious')",1.2870322,0.8174413,0.4695909
70,-1.254982,-0.7102825,"('lethargic', 'energetic')",-1.254982,-0.7102825,-0.5446995
45,-1.2548647,-0.40728596,"('incompetent', 'competent')",-1.2548647,-0.407286,-0.8475787
13,-1.2242663,-1.3684437,"('impolite', 'polite')",-1.2242663,-1.3684437,0.1441774
14,-1.1979901,-0.7993914,"('antisocial', 'social')",-1.1979901,-0.7993914,-0.3985987
15,1.164942,1.2538844,"('boring', 'funny')",1.164942,1.2538844,-0.0889424
68,-1.154947,-1.0891047,"('dependent', 'independent')",-1.154947,-1.0891047,-0.0658423
22,-1.1210401,-0.5020796,"('untrustworthy', 'trustworthy')",-1.1210401,-0.5020796,-0.6189605
36,1.0678725,1.1007733,"('hostile', 'amicable')",1.0678725,1.1007733,-0.0329008
60,-1.0092443,-1.1882213,"('inefficient', 'efficient')",-1.0092443,-1.1882213,0.178977
88,-1.0005151,-1.2770821,"('low', 'eminent')",-1.0005151,-1.2770821,0.276567
85,0.9854609,0.7332186,"('insignificant', 'prestigious')",0.9854609,0.7332186,0.2522423
26,0.93639964,1.133112,"('hardhearted', 'benevolent')",0.9363996,1.133112,-0.1967124
40,-0.9161838,-0.7530788,"('stingy', 'generous')",-0.9161838,-0.7530788,-0.163105
