,citigroup_male,citigroup_female,tuple,inc_male,inc_female,average_male,average_female,male-female
69,1.872573,2.0993705,"('lazy', 'industrious')",-0.91162616,-0.93592596,0.4804734,0.5817223,-0.1012489
86,-1.8153027,-1.8429301,"('uninfluential', 'influential')",-0.16561002,0.19765219,-0.9904563,-0.8226389,-0.1678174
2,1.6746262,1.5419853,"('unlikable', 'likable')",1.1036527,1.006591,1.3891394,1.2742882,0.1148512
39,1.6626002,1.6011442,"('exploitative', 'cooperative')",0.13350515,0.016235318,0.8980526,0.8086898,0.0893628
10,-1.6358045,-1.9099468,"('unsympathetic', 'sympathetic')",-0.37357318,-0.27631855,-1.0046889,-1.0931327,0.0884438
82,-1.6307592,-1.7208909,"('poor', 'rich')",6.027453,5.838726,2.1983469,2.0589175,0.1394294
85,1.4619355,1.6215931,"('insignificant', 'prestigious')",0.7983179,0.77337754,1.1301267,1.1974853,-0.0673586
73,1.2925707,1.4774759,"('helpless', 'self-reliant')",-3.1728585,-2.819008,-0.9401439,-0.6707661,-0.2693778
46,-1.2674682,-1.4071232,"('uncompetitive', 'competitive')",-0.62015724,-0.61052185,-0.9438127,-1.0088226,0.0650099
57,-1.2647014,-1.2121629,"('unimaginative', 'imaginative')",-2.5863786,-2.295651,-1.92554,-1.753907,-0.171633
45,-1.2259792,-1.1978625,"('incompetent', 'competent')",-0.6520523,-0.41969782,-0.9390157,-0.8087802,-0.1302355
26,1.1801637,1.1417135,"('hardhearted', 'benevolent')",1.7930065,1.8580587,1.4865851,1.499886,-0.0133009
55,-1.1623716,-1.2912061,"('incompetent', 'clever')",0.09815241,0.14039019,-0.5321096,-0.575408,0.0432984
51,-1.1241028,-1.0533801,"('uneducated', 'educated')",1.0877224,1.2439235,-0.0181902,0.0952717,-0.1134619
53,-1.1116061,-1.009879,"('uncreative', 'creative')",0.9301041,1.0800271,-0.090751,0.0350741,-0.1258251
83,1.091744,0.92658,"('powerless', 'powerful')",-0.6895579,-0.5763428,0.201093,0.1751186,0.0259744
