,conagra_male,conagra_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.0663102,-2.1831515,"('uninfluential', 'influential')",0.28491294,0.21582738,-0.2532669,0.053233355,-0.6782214,-0.6380303,-0.0401911
1,-1.978046,-1.9018614,"('unfriendly', 'friendly')",0.35998008,0.5183515,1.4827433,1.3968774,-0.0451075,0.0044558,-0.0495633
57,-1.5769358,-1.8517501,"('unimaginative', 'imaginative')",-0.5616336,-0.6620548,-2.401522,-2.3621633,-1.5133638,-1.6253227,0.1119589
31,-1.5162373,-1.0275853,"('evil', 'good')",-1.8735542,-1.5966915,-1.1609527,-1.0936741,-1.5169147,-1.2393169,-0.2775978
53,-1.3662157,-1.3986863,"('uncreative', 'creative')",1.0140102,1.1050055,0.90125686,0.899771,0.1830171,0.2020301,-0.019013
9,-1.3517509,-1.3649269,"('unaffectionate', 'caring')",0.44430375,0.5206736,0.75326145,0.8729153,-0.0513952,0.009554,-0.0609492
36,-1.2630268,-0.96993715,"('hostile', 'amicable')",-2.0671458,-1.9291148,-0.059513718,-0.26065946,-1.1298954,-1.0532371,-0.0766583
52,-1.1267883,-1.1301258,"('irrational', 'rational')",-1.2948525,-1.4136525,-0.34166175,-0.824088,-0.9211009,-1.1226222,0.2015213
44,1.0991676,1.1635977,"('prejudiced', 'unprejudiced')",0.25888634,0.35380095,-1.0291524,-1.0235934,0.1096338,0.1646017,-0.0549679
73,1.0618484,1.0943776,"('helpless', 'self-reliant')",0.9843535,1.0252495,-2.9199646,-2.9246044,-0.2912542,-0.2683258,-0.0229284
77,-1.0287279,-1.1013833,"('unmotivated', 'motivated')",0.00085291266,-0.06063467,-1.2929349,-1.2154745,-0.7736033,-0.7924975,0.0188942
76,1.0113362,0.6453859,"('anxious', 'daring')",1.5902588,1.3905767,0.7375008,0.82918286,1.1130319,0.9550485,0.1579834
10,-1.001405,-1.3266363,"('unsympathetic', 'sympathetic')",0.51258856,0.273431,-0.43731934,-0.3088033,-0.3087119,-0.4540029,0.145291
3,-0.9780291,-1.3029846,"('repellent', 'pleasant')",-0.44685906,-0.60652053,0.017384801,-0.0653932,-0.4691678,-0.6582994,0.1891316
27,-0.9741234,-0.7090679,"('hardhearted', 'softhearted')",0.18532749,0.38314593,0.9081248,1.2337356,0.0397763,0.3026045,-0.2628282
6,-0.9467018,-0.5781447,"('distant', 'open')",-0.6715177,-0.42411047,0.4261872,0.5414493,-0.3973442,-0.153602,-0.2437422
48,-0.9289222,-1.0470997,"('unintelligent', 'intelligent')",-0.65973574,-0.6971803,0.12751718,0.22543511,-0.4870469,-0.5062816,0.0192347
67,0.92759585,0.7619129,"('doubtful', 'determined')",0.16073652,0.07040618,-0.30604848,-0.38801345,0.2607613,0.1481019,0.1126594
78,-0.9241675,-0.9017651,"('nonresilient', 'resilient')",0.8993959,0.87297714,0.34944943,0.5633328,0.1082259,0.1781816,-0.0699557
72,-0.86932683,-0.9394378,"('unambitious', 'ambitious')",-0.6507169,-0.4453487,-1.0105264,-0.8340944,-0.8435233,-0.739627,-0.1038963
8,-0.86427885,-0.8249135,"('unaffectionate', 'affectionate')",-0.45636803,-0.2820467,0.46483546,0.51939267,-0.2852705,-0.1958558,-0.0894147
51,-0.86319536,-1.0506722,"('uneducated', 'educated')",-0.1116958,-0.34246433,0.21337783,0.23044604,-0.2538378,-0.3875635,0.1337257
28,-0.8409132,-1.0677506,"('disloyal', 'loyal')",-0.40692025,-0.5217401,0.9883571,0.7848213,-0.0864921,-0.2682231,0.181731
54,-0.8157939,-0.70106184,"('incapable', 'capable')",1.1676877,1.3817767,1.1327037,1.1542022,0.4948658,0.611639,-0.1167732
2,0.8153483,0.7015144,"('unlikable', 'likable')",1.0521412,0.9799381,0.78501594,0.78784835,0.8841685,0.8231002,0.0610683
0,-0.80178785,-1.2614728,"('unsociable', 'sociable')",0.92752856,0.5533576,-0.48693356,-0.5174382,-0.1203976,-0.4085178,0.2881202
23,-0.79885375,-1.2470729,"('insincere', 'sincere')",1.0374401,0.87843955,5.4877567,5.3248076,1.9087811,1.6520581,0.256723
19,-0.76731104,-0.596211,"('inhospitable', 'hospitable')",-0.32455397,-0.14521442,-0.22076699,0.053522367,-0.437544,-0.229301,-0.208243
20,-0.75012004,-0.647489,"('rough', 'thoughtful')",0.62687147,0.75238264,1.0774505,1.1622308,0.3180673,0.4223748,-0.1043075
