,intercontinentalexchange_male,intercontinentalexchange_female,tuple,grp_male,grp_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.3923764,-2.555276,"('uninfluential', 'influential')",-1.1549871,-1.1463119,-0.31884217,-0.6394495,-1.2887352,-1.4470124,0.1582772
10,-2.1098185,-2.0379226,"('unsympathetic', 'sympathetic')",-0.6330613,-0.48166052,-0.1799249,-0.13415518,-0.9742683,-0.8845795,-0.0896888
69,2.0803325,1.8384124,"('lazy', 'industrious')",0.44206104,-0.055760477,-0.34144482,-0.58838624,0.7269829,0.3980885,0.3288944
8,-1.8326044,-2.024461,"('unaffectionate', 'affectionate')",-1.5214655,-1.7050451,1.0740958,0.8451431,-0.7599913,-0.9614543,0.201463
9,-1.7374586,-1.9256794,"('unaffectionate', 'caring')",-1.1150047,-1.2818455,1.4644154,1.1606665,-0.4626826,-0.6822861,0.2196035
1,-1.5667069,-1.852424,"('unfriendly', 'friendly')",-1.0014398,-1.0792831,1.9498659,1.7110168,-0.2060936,-0.4068968,0.2008032
48,-1.5639725,-1.5953381,"('unintelligent', 'intelligent')",-1.1192378,-1.1596705,0.19587882,0.0025794767,-0.8291105,-0.9174764,0.0883659
53,-1.5058352,-1.5592586,"('uncreative', 'creative')",-0.6192205,-0.6034576,1.2585918,1.1448241,-0.2888213,-0.3392973,0.050476
55,-1.4717969,-1.3314128,"('incompetent', 'clever')",-0.038061835,0.15071619,0.013862222,0.0030294769,-0.4986655,-0.3925557,-0.1061098
19,-1.4043133,-1.350779,"('inhospitable', 'hospitable')",-0.91684884,-0.838962,0.07069217,0.07273525,-0.7501567,-0.7056686,-0.0444881
39,1.3565853,1.1918019,"('exploitative', 'cooperative')",0.9750974,0.86256623,0.20897913,0.1559115,0.8468873,0.7367598,0.1101275
0,-1.3392575,-1.3284972,"('unsociable', 'sociable')",-0.46521652,-0.40784198,-0.4477424,-0.6162128,-0.7507388,-0.784184,0.0334452
24,-1.2789748,-1.2843741,"('dishonest', 'honest')",-0.33152285,-0.32374668,0.59944904,0.6171507,-0.3370162,-0.3303234,-0.0066928
28,-1.2366078,-1.5647922,"('disloyal', 'loyal')",-0.9161906,-1.1793629,1.0813371,0.8420776,-0.3571538,-0.6340258,0.276872
12,-1.1725314,-1.0044657,"('unsupportive', 'supportive')",-0.6862344,-0.38482305,-1.6286963,-1.5574659,-1.1624873,-0.9822516,-0.1802357
82,-1.169869,-0.8892899,"('poor', 'rich')",-0.45842582,0.045851838,5.981881,6.1452565,1.4511954,1.7672728,-0.3160774
43,-1.133792,-0.7438671,"('irresponsible', 'responsible')",-0.15384889,0.31530493,0.61550456,0.811634,-0.2240455,0.1276906,-0.3517361
57,-1.0441066,-1.0457706,"('unimaginative', 'imaginative')",-0.033781216,0.18989474,-1.9411845,-1.8763317,-1.0063574,-0.9107358,-0.0956216
45,-0.9932946,-0.8242963,"('incompetent', 'competent')",0.23128915,0.5968291,-0.035357073,0.051035233,-0.2657875,-0.0588107,-0.2069768
21,-0.98978716,-0.92621094,"('immoral', 'moral')",0.6054962,0.8192768,-1.1207592,-1.1764964,-0.5016834,-0.4278102,-0.0738732
27,-0.9491864,-0.9229358,"('hardhearted', 'softhearted')",-0.51121575,-0.5224385,1.3240765,1.0556656,-0.0454419,-0.1299029,0.084461
5,-0.93534935,-0.91894144,"('distant', 'outgoing')",-1.5916871,-1.6475791,-0.39603657,-0.41383132,-0.9743577,-0.9934506,0.0190929
35,0.93011624,0.65903556,"('corrupt', 'incorrupt')",-0.4290834,-0.86906815,0.04053844,-0.27465782,0.1805238,-0.1615635,0.3420873
11,-0.91016257,-0.63203573,"('unhelpful', 'helpful')",0.0010717865,0.31398654,1.6927383,1.8497483,0.2612158,0.5105664,-0.2493506
77,-0.8523681,-1.0600405,"('unmotivated', 'motivated')",-0.5520318,-0.6113474,-1.489747,-1.55624,-0.9647156,-1.0758759,0.1111603
44,0.85032797,1.0953081,"('prejudiced', 'unprejudiced')",0.4945775,0.5844221,-1.5311015,-1.1889668,-0.0620653,0.1635878,-0.2256531
49,-0.83525014,-0.5859806,"('unable', 'able')",-0.91850877,-0.6462685,-0.5957532,-0.40467578,-0.7831707,-0.5456416,-0.2375291
62,-0.82395184,-0.35083285,"('incompetent', 'brilliant')",0.29640085,0.7912653,0.012886886,0.43765116,-0.1715547,0.2926945,-0.4642492
15,0.8194639,0.7191563,"('boring', 'funny')",0.403436,0.43386224,0.6311322,0.67544997,0.6180107,0.6094895,0.0085212
60,-0.81899244,-0.40424266,"('inefficient', 'efficient')",1.0183244,1.244671,-0.6787503,-0.3719942,-0.1598061,0.1561447,-0.3159508
23,-0.7597309,-0.8018423,"('insincere', 'sincere')",0.3067894,0.43916944,5.59712,5.418988,1.7147261,1.6854385,0.0292876
73,0.7430306,0.83871675,"('helpless', 'self-reliant')",0.26908278,0.27078333,-3.0234113,-2.9214535,-0.6704326,-0.6039845,-0.0664481
36,0.73271084,0.22841795,"('hostile', 'amicable')",-0.97508055,-1.2523518,0.4752324,0.09818802,0.0776209,-0.3085819,0.3862028
