,site_male,site_female,tuple,centers_male,centers_female,corp_male,corp_female,average_male,average_female,male-female
60,2.5088544,2.1454268,"('inefficient', 'efficient')",3.023136,2.7421913,-0.09491737,0.34970474,1.8123576,1.7457743,0.0665833
14,2.4472668,2.234183,"('antisocial', 'social')",1.9982245,1.897801,-0.46735248,-0.2969309,1.3260463,1.2783511,0.0476952
6,-2.3654842,-2.0074909,"('distant', 'open')",-1.1357054,-0.80197984,-0.14079636,-0.2752744,-1.2139954,-1.0282483,-0.1857471
36,-2.3631227,-2.3101916,"('hostile', 'amicable')",-2.2139816,-2.1566188,-0.32903895,-0.6716121,-1.6353812,-1.7128075,0.0774263
5,-2.3406727,-1.8446182,"('distant', 'outgoing')",-1.0232708,-0.6692423,-0.82152414,-0.84476227,-1.3951559,-1.1195409,-0.275615
19,-2.1384737,-1.5561756,"('inhospitable', 'hospitable')",-1.4052514,-1.1210542,-0.96334845,-1.0411983,-1.5023578,-1.239476,-0.2628818
31,-2.120147,-1.9233525,"('evil', 'good')",-1.2983502,-1.1133212,-0.7824972,-1.1871742,-1.4003315,-1.4079493,0.0076178
81,2.0695474,1.6534373,"('submissive', 'aggressive')",2.0648847,1.7340491,-0.4212795,-0.05868288,1.2377175,1.1096012,0.1281163
72,1.8803828,1.8575532,"('unambitious', 'ambitious')",1.1319177,1.247545,0.4039273,0.53119445,1.1387426,1.2120976,-0.073355
62,1.8605922,1.8504885,"('incompetent', 'brilliant')",2.1364229,2.1804109,0.25530443,0.7215267,1.4174398,1.584142,-0.1667022
12,1.7097998,1.5750692,"('unsupportive', 'supportive')",1.9297438,1.823258,-1.7834399,-1.5677365,0.6187012,0.6101969,0.0085043
79,-1.7009037,-1.3408394,"('wavering', 'unwavering')",-1.821802,-1.6365376,-0.57782066,-0.6437835,-1.3668421,-1.2070535,-0.1597886
7,1.6767845,1.2230338,"('insensitive', 'sensitive')",1.6927439,1.3397359,0.5047702,0.8543351,1.2914329,1.1390349,0.152398
56,1.6070479,1.6988729,"('impractical', 'practical')",1.6077139,1.7289172,-0.38611734,-0.25445217,0.9428814,1.0577793,-0.1148979
49,-1.5689821,-1.5759342,"('unable', 'able')",-0.9824875,-0.9178233,-0.31176007,-0.21797776,-0.9544099,-0.9039117,-0.0504982
4,-1.4735543,-0.90863276,"('disliked', 'liked')",-0.914721,-0.6354184,-7.9077234,-8.005056,-3.4319995,-3.1830359,-0.2489636
21,1.4644089,1.1385661,"('immoral', 'moral')",1.357423,1.046028,-0.33316618,0.014078498,0.8295552,0.7328909,0.0966643
70,1.4323906,1.2585132,"('lethargic', 'energetic')",1.92213,1.7848752,0.51336575,0.84902334,1.2892954,1.2974706,-0.0081752
35,-1.394371,-1.3054863,"('corrupt', 'incorrupt')",-1.7891315,-1.6833385,-0.8382755,-1.2388595,-1.3405927,-1.4092282,0.0686355
10,1.3702679,0.8183967,"('unsympathetic', 'sympathetic')",1.3081952,0.9196284,0.49085405,0.96373755,1.056439,0.9005876,0.1558514
43,1.3580499,1.4224645,"('irresponsible', 'responsible')",1.8274895,1.8926654,0.63821125,1.1010425,1.2745835,1.4720573,-0.1974738
53,-1.3507628,-1.43835,"('uncreative', 'creative')",-0.43033582,-0.800129,0.32234624,0.2871962,-0.4862508,-0.6504276,0.1641768
30,1.3449605,1.3145894,"('intolerant', 'tolerant')",1.6694063,1.6398311,0.43836495,0.7204224,1.1509105,1.2249476,-0.0740371
11,1.343481,1.1054753,"('unhelpful', 'helpful')",1.8792263,1.5666159,1.597229,1.7879969,1.6066454,1.4866961,0.1199493
52,-1.334595,-1.2322872,"('irrational', 'rational')",-1.1323109,-0.98264045,-0.37336496,-0.6483713,-0.9467569,-0.954433,0.0076761
55,1.323551,0.78258735,"('incompetent', 'clever')",1.2840449,0.88891953,0.27344614,0.39018214,0.9603473,0.6872296,0.2731177
66,-1.3073618,-1.2090596,"('inactive', 'active')",-1.0941628,-1.1473801,0.20368919,-0.11101714,-0.7326118,-0.8224856,0.0898738
16,-1.2964119,-1.1940372,"('unpopular', 'popular')",-0.30130613,-0.17945318,-0.27618116,-0.51393485,-0.6246331,-0.6291417,0.0045086
67,1.29067,1.383955,"('doubtful', 'determined')",0.97741604,1.067528,-0.7467299,-0.9232687,0.5071187,0.5094048,-0.0022861
1,-1.2725325,-1.2541816,"('unfriendly', 'friendly')",-0.3558198,-0.42276043,1.2500831,1.0942564,-0.1260897,-0.1942286,0.0681389
