,viatris_male,viatris_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-2.3127565,-1.7220161,"('distant', 'open')",0.2314062,0.5478661,-1.0406752,-0.587075,-0.4536002
5,-2.0719151,-1.5284839,"('distant', 'outgoing')",-0.3130745,-0.030751025,-1.1924949,-0.7796174,-0.4128775
1,-1.829847,-1.53315,"('unfriendly', 'friendly')",1.616808,1.8636738,-0.1065195,0.1652619,-0.2717814
31,-1.7468525,-1.3203692,"('evil', 'good')",-1.1309456,-1.0159031,-1.438899,-1.1681361,-0.2707629
79,-1.73489,-1.3980354,"('wavering', 'unwavering')",-0.15456557,0.04281874,-0.9447278,-0.6776083,-0.2671195
19,-1.7236366,-1.3912042,"('inhospitable', 'hospitable')",-0.17914012,0.039623044,-0.9513884,-0.6757906,-0.2755978
81,1.723426,1.3462248,"('submissive', 'aggressive')",-0.46779686,-0.48038536,0.6278145,0.4329197,0.1948948
76,1.6629874,1.3083581,"('anxious', 'daring')",0.45025766,0.42518887,1.0566225,0.8667735,0.189849
9,-1.6278237,-1.2486701,"('unaffectionate', 'caring')",0.95694315,1.3682107,-0.3354403,0.0597703,-0.3952106
60,1.6135033,1.4133996,"('inefficient', 'efficient')",0.0578706,0.23543608,0.835687,0.8244178,0.0112692
36,-1.5711561,-1.4053514,"('hostile', 'amicable')",0.34350967,-0.061219975,-0.6138232,-0.7332857,0.1194625
8,-1.5331464,-1.2604539,"('unaffectionate', 'affectionate')",0.7739795,1.0196077,-0.3795834,-0.1204231,-0.2591603
53,-1.5261313,-1.231001,"('uncreative', 'creative')",0.83707213,1.104617,-0.3445296,-0.063192,-0.2813376
80,1.3155292,1.1327374,"('dominated', 'dominating')",-1.535046,-1.4056292,-0.1097584,-0.1364459,0.0266875
86,-1.2997615,-1.3292751,"('uninfluential', 'influential')",-0.52794814,-0.1346605,-0.9138548,-0.7319678,-0.181887
30,1.1926966,1.0203136,"('intolerant', 'tolerant')",1.6133939,1.538046,1.4030452,1.2791798,0.1238654
14,1.1518929,0.76549906,"('antisocial', 'social')",-0.4519629,-0.45500258,0.349965,0.1552482,0.1947168
42,1.0782218,1.1852355,"('unreliable', 'reliable')",-2.6599941,-2.2212021,-0.7908862,-0.5179833,-0.2729029
66,-1.0375333,-0.9115117,"('inactive', 'active')",0.5504391,0.7945151,-0.2435471,-0.0584983,-0.1850488
65,1.0137197,0.7745041,"('insecure', 'secure')",-0.5175528,-0.31988066,0.2480834,0.2273117,0.0207717
29,-0.9885069,-1.1486061,"('unfair', 'fair')",-0.68812734,-0.65570486,-0.8383172,-0.9021555,0.0638383
85,-0.9863713,-0.7553216,"('insignificant', 'prestigious')",0.580103,0.6005632,-0.2031341,-0.0773792,-0.1257549
54,-0.94970113,-0.7402681,"('incapable', 'capable')",1.1203159,1.3518947,0.0853074,0.3058133,-0.2205059
52,-0.94209516,-0.6929732,"('irrational', 'rational')",-0.08509922,-0.16309123,-0.5135972,-0.4280322,-0.085565
