,kb_male,kb_female,tuple,home_male,home_female,average_male,average_female,male-female
55,6.722393,6.885971,"('incompetent', 'clever')",0.5387798,0.5199973,3.6305864,3.7029841,-0.0723977
60,6.360651,7.486644,"('inefficient', 'efficient')",0.6561594,0.6257273,3.5084052,4.0561857,-0.5477805
35,-5.559883,-6.2893195,"('corrupt', 'incorrupt')",-0.55866313,-0.95624375,-3.0592732,-3.6227818,0.5635086
31,-5.5497537,-6.3759246,"('evil', 'good')",-0.8534861,-0.708423,-3.2016199,-3.5421739,0.340554
36,-5.50344,-7.038898,"('hostile', 'amicable')",-0.6501607,-1.1239941,-3.0768003,-4.0814462,1.0046459
62,5.4531326,5.760657,"('incompetent', 'brilliant')",1.0330298,0.845302,3.2430811,3.3029795,-0.0598984
70,5.300998,5.7406993,"('lethargic', 'energetic')",0.82347167,0.6629859,3.0622349,3.2018425,-0.1396076
56,5.124771,5.276266,"('impractical', 'practical')",0.9244042,0.73351204,3.0245876,3.004889,0.0196986
10,5.0639863,5.7304773,"('unsympathetic', 'sympathetic')",0.49759713,0.60562015,2.7807918,3.1680489,-0.3872571
81,5.0269713,5.7842665,"('submissive', 'aggressive')",0.14172406,0.09316042,2.5843477,2.9387136,-0.3543659
6,-4.7870464,-5.4430156,"('distant', 'open')",-0.1519635,-0.30801332,-2.4695051,-2.8755145,0.4060094
46,4.771164,5.212883,"('uncompetitive', 'competitive')",-0.5653562,-0.08844052,2.1029038,2.5622213,-0.4593175
85,-4.6328654,-7.033118,"('insignificant', 'prestigious')",-0.28533214,-0.8121469,-2.4590988,-3.9226322,1.4635334
23,4.3716493,4.136794,"('insincere', 'sincere')",6.4874606,5.6259346,5.4295549,4.8813643,0.5481906
0,4.282072,4.355855,"('unsociable', 'sociable')",1.2685258,1.0796536,2.7752991,2.7177544,0.0575447
21,4.2781878,4.5636945,"('immoral', 'moral')",0.69818515,0.6355014,2.4881864,2.5995979,-0.1114115
43,4.2438903,4.5130444,"('irresponsible', 'responsible')",1.7711666,1.7240877,3.0075283,3.118566,-0.1110377
80,4.1613345,4.817502,"('dominated', 'dominating')",-0.6041092,-0.8099618,1.7786126,2.0037701,-0.2251575
69,-4.1093993,-4.5839458,"('lazy', 'industrious')",-1.5617946,-1.4357101,-2.835597,-3.0098279,0.1742309
7,4.099603,4.4557495,"('insensitive', 'sensitive')",1.9545949,1.8343278,3.0270991,3.1450386,-0.1179395
5,-3.9880574,-4.6681166,"('distant', 'outgoing')",-0.70279706,-0.6980054,-2.3454273,-2.6830609,0.3376336
14,3.9312336,5.59869,"('antisocial', 'social')",0.79970974,0.6944151,2.3654716,3.1465526,-0.781081
79,-3.9175258,-4.9131055,"('wavering', 'unwavering')",-0.0767558,-0.4048113,-1.9971408,-2.6589584,0.6618176
65,3.9054074,4.0722513,"('insecure', 'secure')",0.07523891,0.30344275,1.9903232,2.1878471,-0.1975239
63,3.8495536,3.6043937,"('unperceptive', 'insightful')",0.4376848,0.8152614,2.1436193,2.2098277,-0.0662084
51,3.6592405,4.034039,"('uneducated', 'educated')",0.2595343,0.07425146,1.9593874,2.0541453,-0.0947579
45,3.6545637,4.311264,"('incompetent', 'competent')",0.9235406,0.8603701,2.289052,2.5858171,-0.2967651
75,-3.5685112,-3.3482404,"('meek', 'impulsive')",-1.8064525,-1.6453044,-2.6874819,-2.4967723,-0.1907096
86,3.4073105,3.396933,"('uninfluential', 'influential')",0.18635811,0.15383625,1.7968343,1.7753847,0.0214496
76,3.4052887,3.7958217,"('anxious', 'daring')",0.28145063,0.27585554,1.8433697,2.0358386,-0.1924689
13,3.3800364,4.41015,"('impolite', 'polite')",0.18377662,0.39901257,1.7819065,2.4045813,-0.6226748
12,3.3132052,3.5383623,"('unsupportive', 'supportive')",-0.8700005,-0.34954864,1.2216024,1.5944068,-0.3728044
11,3.2835422,3.4663336,"('unhelpful', 'helpful')",2.100075,1.6486994,2.6918087,2.5575166,0.1342921
30,3.1882467,2.8832598,"('intolerant', 'tolerant')",1.6920058,1.2778063,2.4401262,2.080533,0.3595932
24,3.1258543,1.8988175,"('dishonest', 'honest')",1.2216492,1.0853246,2.1737518,1.4920712,0.6816806
48,3.0698383,2.7435462,"('unintelligent', 'intelligent')",0.6878078,0.59853923,1.878823,1.6710427,0.2077803
32,2.9811554,3.1227233,"('unkind', 'kind')",1.3521814,1.5543492,2.1666684,2.3385363,-0.1718679
22,2.9809542,3.3073,"('untrustworthy', 'trustworthy')",-0.4771334,-0.040994935,1.2519104,1.6331526,-0.3812422
52,-2.7281334,-4.5546446,"('irrational', 'rational')",-0.1747522,-0.36658487,-1.4514428,-2.4606147,1.0091719
4,-2.5710907,-2.4332724,"('disliked', 'liked')",-7.0911784,-6.2311363,-4.8311348,-4.3322043,-0.4989305
39,2.5193944,1.6537555,"('exploitative', 'cooperative')",0.85544366,0.89575183,1.6874191,1.2747537,0.4126654
77,2.3977935,2.1484504,"('unmotivated', 'motivated')",-0.7914055,-0.8978141,0.803194,0.6253182,0.1778758
74,2.2781818,1.4057567,"('undedicated', 'dedicated')",0.9721798,0.6102247,1.6251807,1.0079907,0.61719
61,2.216487,1.442189,"('illogical', 'logical')",0.82841176,0.5317758,1.5224494,0.9869823,0.5354671
25,-2.1701522,-3.0969157,"('egoistic', 'altruistic')",0.8628613,0.679219,-0.6536455,-1.2088484,0.5552029
87,2.0777178,1.6718154,"('unsuccessful', 'successful')",1.1097913,0.64518696,1.5937545,1.1585011,0.4352534
28,2.0136237,0.9393462,"('disloyal', 'loyal')",1.6723204,1.3137171,1.842972,1.1265316,0.7164404
16,-2.0004606,-2.5275202,"('unpopular', 'popular')",0.32677686,0.1337206,-0.8368419,-1.1968998,0.3600579
19,-1.9926993,-3.240906,"('inhospitable', 'hospitable')",-0.4117429,-0.59024155,-1.202221,-1.9155738,0.7133528
59,-1.9548413,-2.9336486,"('foolish', 'wise')",0.543043,0.48296112,-0.7058991,-1.2253437,0.5194446
42,1.9143133,1.6235855,"('unreliable', 'reliable')",-2.7573776,-2.2385569,-0.4215322,-0.3074857,-0.1140465
44,-1.9022585,-1.8615421,"('prejudiced', 'unprejudiced')",-1.5235722,-1.6938214,-1.7129154,-1.7776818,0.0647664
47,1.8384798,2.2388837,"('stupid', 'smart')",5.5892816,5.1532187,3.7138805,3.6960511,0.0178294
3,1.8168768,2.507491,"('repellent', 'pleasant')",-0.0077039413,-0.27960515,0.9045864,1.113943,-0.2093566
41,1.7663827,1.6132061,"('unforgiving', 'forgiving')",0.8001834,0.817121,1.283283,1.2151636,0.0681194
66,-1.6994727,-1.9015155,"('inactive', 'active')",0.1830162,0.12188111,-0.7582282,-0.8898172,0.131589
82,1.6850749,1.2485424,"('poor', 'rich')",6.4219284,5.851951,4.0535016,3.5502467,0.5032549
57,1.5835747,2.7471614,"('unimaginative', 'imaginative')",-2.7684624,-2.2111864,-0.5924439,0.2679875,-0.8604314
73,-1.5431011,-1.3694919,"('helpless', 'self-reliant')",-3.3807492,-3.139557,-2.461925,-2.2545245,-0.2074005
1,-1.3695856,-2.8363583,"('unfriendly', 'friendly')",1.5469646,1.4029069,0.0886895,-0.7167257,0.8054152
33,-1.3632678,-1.571744,"('wrong', 'right')",-0.23385443,-0.24947277,-0.7985611,-0.9106084,0.1120473
34,1.2348751,0.1761321,"('mean', 'honorable')",5.0568924,4.7310805,3.1458838,2.4536064,0.6922774
64,1.2063841,1.4862154,"('shy', 'confident')",-6.7586145,-5.9537416,-2.7761152,-2.2337632,-0.542352
50,-1.1775465,-1.9946642,"('clumsy', 'skillful')",-0.21296899,-0.57962716,-0.6952577,-1.2871456,0.5918879
49,1.158142,0.6054536,"('unable', 'able')",-0.14238183,-0.23521204,0.5078801,0.1851208,0.3227593
8,-1.0764488,-2.1814098,"('unaffectionate', 'affectionate')",0.84455884,0.93630016,-0.115945,-0.6225548,0.5066098
17,-1.0635759,-1.4398803,"('nasty', 'nice')",0.27888313,0.45643073,-0.3923464,-0.4917248,0.0993784
67,1.0516448,1.28003,"('doubtful', 'determined')",-0.020611081,-0.18014555,0.5155169,0.5499423,-0.0344254
83,0.92641455,1.1465687,"('powerless', 'powerful')",-0.5886744,-0.50945383,0.1688701,0.3185574,-0.1496873
72,0.9014461,2.7063613,"('unambitious', 'ambitious')",-0.12309961,0.45709306,0.3891732,1.5817271,-1.1925539
37,0.86215997,1.1675136,"('fake', 'genuine')",1.1211529,1.298858,0.9916564,1.2331858,-0.2415294
9,0.85729206,-0.21891822,"('unaffectionate', 'caring')",1.8030819,1.7814806,1.330187,0.7812812,0.5489058
2,0.8538877,-0.31483513,"('unlikable', 'likable')",0.15970443,-0.11461845,0.5067961,-0.2147268,0.7215229
18,0.7844876,0.06710952,"('disagreeable', 'welcoming')",0.3620214,0.36323762,0.5732545,0.2151736,0.3580809
27,-0.76107013,-0.7735719,"('hardhearted', 'softhearted')",1.4546113,1.4320661,0.3467706,0.3292471,0.0175235
88,0.75712985,-0.87569827,"('low', 'eminent')",0.476192,-0.6070731,0.616661,-0.7413857,1.3580467
29,-0.74527717,-1.1786002,"('unfair', 'fair')",-1.0784069,-0.9695678,-0.911842,-1.074084,0.162242
54,0.73527104,0.012979802,"('incapable', 'capable')",1.3069309,0.930274,1.021101,0.4716269,0.5494741
78,0.70028234,1.2496071,"('nonresilient', 'resilient')",0.42986175,0.8771932,0.5650721,1.0634001,-0.498328
15,0.45031065,-0.863956,"('boring', 'funny')",0.31681606,0.069813825,0.3835633,-0.3970711,0.7806344
26,-0.43757758,-0.35429516,"('hardhearted', 'benevolent')",1.6199646,1.7576511,0.5911935,0.701678,-0.1104845
40,0.24698201,0.6194451,"('stingy', 'generous')",-1.8958362,-1.1786448,-0.8244271,-0.2795998,-0.5448273
68,-0.23330721,-0.52063495,"('dependent', 'independent')",-0.81602913,-1.0610913,-0.5246682,-0.7908632,0.266195
38,0.23316918,0.010049876,"('untruthful', 'truthful')",0.264548,0.12206509,0.2488586,0.0660575,0.1828011
58,-0.21734563,-0.26108742,"('undiscriminating', 'discriminating')",-0.6261264,-0.6491636,-0.421736,-0.4551255,0.0333895
71,0.093402766,-0.6508948,"('diffident', 'self-confident')",1.0416706,0.888487,0.5675367,0.1187961,0.4487406
53,0.06307331,-1.3031713,"('uncreative', 'creative')",-0.20946008,-0.18278998,-0.0731934,-0.7429806,0.6697872
20,0.062206753,0.82396096,"('rough', 'thoughtful')",0.52071077,0.42086592,0.2914588,0.6224135,-0.3309547
84,0.0034472756,0.058706496,"('inferior', 'superior')",-0.2524247,-0.5283273,-0.1244887,-0.2348104,0.1103217
