,celgene_male,celgene_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-1.882896,-1.9038194,"('uninfluential', 'influential')",-0.2546073,-0.07741518,-1.0687516,-0.9906173,-0.0781343
10,-1.6683512,-2.0625727,"('unsympathetic', 'sympathetic')",-0.14187707,-0.14168093,-0.9051141,-1.1021268,0.1970127
28,-1.6004668,-1.7725786,"('disloyal', 'loyal')",1.0963404,0.9160489,-0.2520632,-0.4282649,0.1762017
57,-1.5554415,-1.7602557,"('unimaginative', 'imaginative')",-3.2398214,-2.7971158,-2.3976314,-2.2786858,-0.1189456
84,1.4613655,1.3232759,"('inferior', 'superior')",1.309879,1.1459489,1.3856223,1.2346125,0.1510098
0,-1.4559838,-1.2531768,"('unsociable', 'sociable')",-0.44361585,0.1520419,-0.9497998,-0.5505674,-0.3992324
69,1.429535,1.9246784,"('lazy', 'industrious')",-0.8717978,-0.9775801,0.2788686,0.4735492,-0.1946806
1,-1.3821012,-1.3371431,"('unfriendly', 'friendly')",0.89091533,0.7963942,-0.2455929,-0.2703744,0.0247815
45,-1.2974048,-1.7291802,"('incompetent', 'competent')",0.1819982,0.31519908,-0.5577033,-0.7069906,0.1492873
9,-1.152714,-1.0662374,"('unaffectionate', 'caring')",1.2149675,0.5725083,0.0311267,-0.2468646,0.2779913
43,-1.0976692,-1.2503953,"('irresponsible', 'responsible')",0.509853,0.74599016,-0.2939081,-0.2522026,-0.0417055
73,1.0426673,1.0520266,"('helpless', 'self-reliant')",-3.0153077,-3.3011148,-0.9863202,-1.1245441,0.1382239
13,-1.0240455,-1.1415159,"('impolite', 'polite')",-0.6562743,-0.49958813,-0.8401599,-0.820552,-0.0196079
42,0.9994959,0.7124201,"('unreliable', 'reliable')",-3.019228,-2.607092,-1.009866,-0.9473359,-0.0625301
8,-0.9984368,-0.8288426,"('unaffectionate', 'affectionate')",0.3587989,-0.1115838,-0.319819,-0.4702132,0.1503942
23,-0.95618695,-1.2615913,"('insincere', 'sincere')",6.0551677,5.644834,2.5494905,2.1916213,0.3578692
44,0.9240712,0.93941087,"('prejudiced', 'unprejudiced')",-1.5218263,-1.3113592,-0.2988775,-0.1859742,-0.1129033
11,-0.9217352,-1.186455,"('unhelpful', 'helpful')",2.163899,2.1092997,0.6210818,0.4614223,0.1596595
35,0.8928071,1.1936806,"('corrupt', 'incorrupt')",-0.90325433,-0.9677127,-0.0052236,0.112984,-0.1182076
53,-0.8558083,-0.6352386,"('uncreative', 'creative')",0.41500115,0.5153934,-0.2204036,-0.0599226,-0.160481
19,-0.82700336,-0.43790758,"('inhospitable', 'hospitable')",-0.309324,-0.43095925,-0.5681637,-0.4344334,-0.1337303
40,0.81725544,0.4496059,"('stingy', 'generous')",-2.2292295,-2.1367903,-0.705987,-0.8435922,0.1376052
24,-0.80879056,-0.8639251,"('dishonest', 'honest')",0.7752557,0.74951464,-0.0167674,-0.0572052,0.0404378
26,-0.7536035,-0.33712915,"('hardhearted', 'benevolent')",1.067226,1.7256751,0.1568113,0.694273,-0.5374617
72,-0.72761065,-1.060445,"('unambitious', 'ambitious')",0.046477564,-0.64540374,-0.3405665,-0.8529243,0.5123578
21,-0.7194074,-0.70760953,"('immoral', 'moral')",-0.19563335,0.113285765,-0.4575204,-0.2971619,-0.1603585
55,-0.71938694,-0.9246801,"('incompetent', 'clever')",0.4753293,0.8341158,-0.1220288,-0.0452822,-0.0767466
30,-0.708358,-0.57016957,"('intolerant', 'tolerant')",0.61905867,1.0337988,-0.0446497,0.2318146,-0.2764643
41,-0.6931808,-0.6931492,"('unforgiving', 'forgiving')",-0.3946868,-0.034997724,-0.5439338,-0.3640735,-0.1798603
77,-0.690518,-0.7657941,"('unmotivated', 'motivated')",-0.6161748,-0.8257665,-0.6533464,-0.7957803,0.1424339
54,-0.6863429,-0.4442386,"('incapable', 'capable')",1.0797414,0.6505345,0.1966992,0.103148,0.0935512
18,-0.6786106,-0.33211637,"('disagreeable', 'welcoming')",-0.75808895,-0.42668825,-0.7183498,-0.3794023,-0.3389475
81,-0.677151,-0.61568785,"('submissive', 'aggressive')",-0.18745652,0.13419956,-0.4323038,-0.2407441,-0.1915597
74,-0.66933775,-0.68094933,"('undedicated', 'dedicated')",-0.6279529,-0.087655395,-0.6486453,-0.3843024,-0.2643429
70,-0.66779405,-0.959048,"('lethargic', 'energetic')",0.4890049,0.51201445,-0.0893946,-0.2235168,0.1341222
3,-0.6598562,-0.74506664,"('repellent', 'pleasant')",0.7745765,0.87251794,0.0573601,0.0637257,-0.0063656
51,-0.65867686,-0.60229975,"('uneducated', 'educated')",0.37285876,0.86571693,-0.142909,0.1317086,-0.2746176
88,-0.6405347,-0.09538261,"('low', 'eminent')",-0.47159266,0.11892607,-0.5560637,0.0117717,-0.5678354
39,0.63064826,0.83594733,"('exploitative', 'cooperative')",0.08248289,0.27134335,0.3565656,0.5536454,-0.1970798
32,-0.63044924,-0.3859399,"('unkind', 'kind')",0.5245483,0.8053361,-0.0529505,0.2096981,-0.2626486
60,-0.6276924,-0.82167715,"('inefficient', 'efficient')",0.39930424,0.5481293,-0.1141941,-0.1367739,0.0225798
22,-0.6166857,-0.9780358,"('untrustworthy', 'trustworthy')",-1.0374329,-0.8806699,-0.8270593,-0.9293529,0.1022936
48,0.6133587,0.3101381,"('unintelligent', 'intelligent')",1.1517493,0.9597164,0.8825539,0.6349273,0.2476266
50,0.61054367,0.5702371,"('clumsy', 'skillful')",0.20601664,-0.22125958,0.4082802,0.1744888,0.2337914
46,-0.56615657,-1.1681226,"('uncompetitive', 'competitive')",-0.44026032,-0.13909346,-0.5032085,-0.6536081,0.1503996
47,-0.5437513,-0.41431442,"('stupid', 'smart')",5.3877296,5.175374,2.4219892,2.3805299,0.0414593
6,-0.5412289,-0.53416973,"('distant', 'open')",-0.64227396,-1.2368653,-0.5917515,-0.8855175,0.293766
5,-0.5400257,-0.4298303,"('distant', 'outgoing')",-0.4580928,-0.9357202,-0.4990593,-0.6827753,0.183716
