,apartment_male,apartment_female,tuple,investment_male,investment_female,&_male,&_female,mgmt_male,mgmt_female,co_male,co_female,average_male,average_female,male-female
31,-2.599209,-2.6379201,"('evil', 'good')",-1.7482103,-1.7922963,-2.0700912,-1.9600171,-1.5327525,-1.4846596,-1.7015657,-1.6111596,-1.9303658,-1.8972105,-0.0331553
60,2.5720627,2.5443144,"('inefficient', 'efficient')",1.1795832,1.1891813,2.3411202,2.4003744,0.7463382,0.5636946,0.9260087,0.75343096,1.5530227,1.4901991,0.0628236
52,-2.1528265,-2.065063,"('irrational', 'rational')",-1.4154067,-1.3278757,-1.5038116,-1.5532714,-0.8081123,-0.727583,-0.936644,-0.8192459,-1.3633602,-1.2986077,-0.0647525
56,2.0690105,1.8806118,"('impractical', 'practical')",0.74957186,0.56384027,0.9688376,0.62695074,0.7132758,0.3166448,-0.0026768092,-0.33545056,0.8996037,0.6105194,0.2890843
43,2.039626,2.0976665,"('irresponsible', 'responsible')",1.1758683,1.2387404,1.9425805,1.8014573,0.5968558,0.4519139,1.6597909,1.5323544,1.4829442,1.4244265,0.0585177
1,-1.9955589,-1.8901547,"('unfriendly', 'friendly')",0.21543859,0.40834916,-0.025114771,-0.049702104,-0.8458755,-0.77128136,1.2114958,1.2836393,-0.287923,-0.2038299,-0.0840931
39,1.9617279,1.9931747,"('exploitative', 'cooperative')",0.06683096,0.116232336,0.9437341,1.013606,-0.3000118,-0.32932535,0.51313394,0.5691924,0.637083,0.672576,-0.035493
14,1.9178686,1.918206,"('antisocial', 'social')",2.064578,2.0423706,1.3327144,1.4375104,0.7521068,0.72886556,-0.031874187,-0.041710436,1.2070787,1.2170485,-0.0099698
30,1.7605288,1.8073652,"('intolerant', 'tolerant')",1.5456775,1.62912,1.2319574,1.2388293,0.62632495,0.6095617,0.55845433,0.5335999,1.1445887,1.1636951,-0.0191064
85,-1.6979253,-1.6495925,"('insignificant', 'prestigious')",0.68529,0.85089433,-1.4968338,-1.4881241,0.09563851,0.30566245,-1.1622002,-1.00472,-0.7152061,-0.597176,-0.1180301
25,-1.6853335,-1.612193,"('egoistic', 'altruistic')",0.11033661,0.08824795,-0.658221,-0.67216533,-0.53883266,-0.49475217,1.2502854,1.3672798,-0.304353,-0.2647166,-0.0396364
70,1.6725568,1.5417943,"('lethargic', 'energetic')",1.7354947,1.6885297,2.4135132,2.1811175,1.6061355,1.3998028,1.2131821,1.0674225,1.7281765,1.5757334,0.1524431
16,-1.6560724,-1.8928926,"('unpopular', 'popular')",-0.413611,-0.6015704,-0.44616455,-0.5753218,-0.37577817,-0.4941126,-0.31463093,-0.43050665,-0.6412514,-0.7988808,0.1576294
84,-1.6550584,-1.6154829,"('inferior', 'superior')",-1.0988054,-1.1222355,0.08502908,0.031756725,0.01401204,-0.02968781,0.25260228,0.23726639,-0.480444,-0.4996767,0.0192327
23,1.5505288,1.5841206,"('insincere', 'sincere')",1.2118819,1.3302174,2.0026617,1.8939211,0.37771264,0.33354235,5.7300467,5.563425,2.1745663,2.1410454,0.0335209
12,1.5176347,1.5964631,"('unsupportive', 'supportive')",1.8262231,1.8492544,1.1708792,1.0508225,0.8262852,0.7288502,-1.3682601,-1.5381191,0.7945525,0.7374543,0.0570982
88,-1.4211991,-1.4013027,"('low', 'eminent')",-0.6808956,-0.67972124,0.14291108,0.13719988,-0.9540621,-0.9598841,-0.60647136,-0.6662984,-0.7039434,-0.7140013,0.0100579
72,1.3729671,1.3295234,"('unambitious', 'ambitious')",1.2654318,1.1851861,0.33036202,0.22463568,0.7006218,0.6497339,0.03751107,-0.040977694,0.7413788,0.6696203,0.0717585
7,1.3602245,1.3943962,"('insensitive', 'sensitive')",1.6508943,1.7434574,1.721391,1.8530147,1.1082001,1.0830057,0.647503,0.60039365,1.2976425,1.3348536,-0.0372111
59,-1.3340142,-1.2723632,"('foolish', 'wise')",-0.06704487,0.0041968822,0.1779668,0.18131924,-0.16902338,-0.058549415,-0.4904993,-0.42603588,-0.376523,-0.3142865,-0.0622365
76,1.3297644,1.3154305,"('anxious', 'daring')",0.22387397,0.22450514,2.2061872,1.9196827,1.600912,1.4916415,0.5354384,0.33149326,1.1792353,1.0565507,0.1226846
29,-1.2983592,-1.417246,"('unfair', 'fair')",-1.131402,-1.2164614,-0.2735454,-0.37664327,-0.9162533,-1.0438601,-1.0058718,-1.0105592,-0.9250864,-1.0129539,0.0878675
71,1.2828826,1.221527,"('diffident', 'self-confident')",1.2606827,1.203971,-0.51254475,-0.6881391,0.08671582,-0.053356353,0.2041679,0.11041906,0.4643808,0.3588843,0.1054965
