,st_male,st_female,tuple,jude_male,jude_female,medical_male,medical_female,inc_male,inc_female,average_male,average_female,male-female
79,1.8658382,1.8763697,"('wavering', 'unwavering')",2.7237785,2.688975,-0.85583967,-0.7669612,0.2570901,0.22041798,0.9977168,1.0047004,-0.0069836
86,-1.7622408,-1.8098724,"('uninfluential', 'influential')",-1.7107127,-1.6622444,0.09314787,0.14372823,-0.3083809,-0.32607907,-0.9220466,-0.913617,-0.0084296
44,1.6367116,1.5017223,"('prejudiced', 'unprejudiced')",0.12659517,-0.17232762,-0.6154183,-0.6601246,-1.2701662,-1.2522163,-0.0305694,-0.1457366,0.1151672
61,-1.6167588,-1.6403583,"('illogical', 'logical')",-0.7229669,-0.85406643,0.34114397,0.2201786,0.15118387,-0.0029833987,-0.4618495,-0.5693074,0.1074579
73,1.5627214,1.6980062,"('helpless', 'self-reliant')",1.677302,1.7919956,0.058208317,0.21931958,-3.1188514,-2.8144274,0.044845,0.2237235,-0.1788785
53,-1.5555948,-1.5046635,"('uncreative', 'creative')",-1.2982453,-1.122187,-0.78026897,-0.47182062,0.6462441,0.6625625,-0.7469662,-0.6090271,-0.1379391
10,-1.4909127,-1.4330987,"('unsympathetic', 'sympathetic')",-2.7043922,-2.584365,-0.40766594,-0.44028717,-0.26563245,-0.40127802,-1.2171508,-1.2147572,-0.0023936
55,-1.4498287,-1.540193,"('incompetent', 'clever')",-2.564816,-2.717306,-0.1624676,-0.33947563,0.13101381,-0.092480704,-1.0115246,-1.1723638,0.1608392
41,1.4399348,1.2206004,"('unforgiving', 'forgiving')",0.7250539,0.66134125,1.3303554,1.3897637,0.13981088,0.024168694,0.9087887,0.8239685,0.0848202
48,-1.4273278,-1.3052187,"('unintelligent', 'intelligent')",-1.6333628,-1.6975746,0.971732,0.91757756,0.35267353,0.48902723,-0.4340712,-0.3990471,-0.0350241
3,-1.4088744,-1.2957767,"('repellent', 'pleasant')",-0.8187298,-0.96112204,-0.63669854,-0.76056045,0.37237233,0.2096292,-0.6229826,-0.7019575,0.0789749
60,-1.3951943,-1.236228,"('inefficient', 'efficient')",-1.6611632,-1.9052689,0.70244265,0.5256002,0.22915143,0.019900188,-0.5311908,-0.6489992,0.1178084
77,-1.3863595,-1.5171682,"('unmotivated', 'motivated')",-0.75568527,-0.92976683,0.20083559,0.18307662,-1.137392,-1.0526583,-0.7696503,-0.8291292,0.0594789
35,1.3503673,1.4547098,"('corrupt', 'incorrupt')",2.6211586,2.6930685,-1.4059907,-1.2053074,-0.14607066,-0.0053727534,0.6048661,0.7342746,-0.1294085
1,-1.3496761,-1.2001233,"('unfriendly', 'friendly')",0.28241786,0.7893027,0.46778166,0.8800116,1.9290881,2.0868003,0.3324029,0.6389979,-0.306595
76,1.2646949,1.0335721,"('anxious', 'daring')",-0.8775448,-1.2591208,-0.17708321,-0.387657,0.48418075,0.16930892,0.1735619,-0.1109742,0.2845361
46,-1.2144905,-1.6059563,"('uncompetitive', 'competitive')",-2.032989,-2.3843644,0.09957231,0.0181221,-0.6355586,-0.7916865,-0.9458664,-1.1909713,0.2451049
4,1.2031825,1.0165619,"('disliked', 'liked')",1.6619818,1.5866172,-0.16571325,-0.07810645,-6.536062,-6.2179966,-0.9591527,-0.923231,-0.0359217
