,citrix_male,citrix_female,tuple,systems_male,systems_female,inc_male,inc_female,average_male,average_female,male-female
39,2.1303926,2.0815315,"('exploitative', 'cooperative')",2.012247,2.0798538,0.42632023,0.4678114,1.5229866,1.5430657,-0.0200791
85,1.9596837,2.161451,"('insignificant', 'prestigious')",0.43372816,0.46089485,1.1751668,1.133826,1.1895262,1.2520573,-0.0625311
69,1.8261877,1.982059,"('lazy', 'industrious')",0.41329107,0.46346018,-0.28564397,-0.3841378,0.6512783,0.6871271,-0.0358488
10,-1.5869807,-1.8945441,"('unsympathetic', 'sympathetic')",-0.5933859,-0.7893746,-0.62509483,-0.6787091,-0.9351538,-1.1208759,0.1857221
82,-1.5800052,-1.726233,"('poor', 'rich')",-0.58456,-0.72892725,6.1393156,6.0607877,1.3249168,1.2018758,0.123041
35,1.5431459,1.6822556,"('corrupt', 'incorrupt')",-0.57874393,-0.5375069,0.3888148,0.27578223,0.4510723,0.4735103,-0.022438
33,1.542161,1.5886108,"('wrong', 'right')",0.2504623,0.23790951,-0.17960595,-0.20773914,0.5376724,0.5395937,-0.0019213
26,1.5280945,1.4359896,"('hardhearted', 'benevolent')",0.38534042,0.1541752,1.8343416,1.7004863,1.2492588,1.0968837,0.1523751
81,-1.507451,-1.6615454,"('submissive', 'aggressive')",-0.3350812,-0.35880902,-1.3154399,-1.3266728,-1.0526574,-1.1156758,0.0630184
73,1.318678,1.3530521,"('helpless', 'self-reliant')",-0.18053316,-0.18987131,-3.121991,-3.1067903,-0.661282,-0.6478698,-0.0134122
55,-1.3102475,-1.5400641,"('incompetent', 'clever')",0.13295697,0.016036596,-0.20162098,-0.19872479,-0.4596372,-0.5742507,0.1146135
23,-1.2983192,-1.3851402,"('insincere', 'sincere')",0.8165114,0.86483735,5.3954554,5.6197762,1.6378826,1.6998245,-0.0619419
13,-1.1641824,-1.473397,"('impolite', 'polite')",0.028627973,-0.10482404,-0.3806172,-0.46080062,-0.5053906,-0.6796739,0.1742833
51,-1.1441591,-1.1819917,"('uneducated', 'educated')",-0.18784378,-0.21448204,0.40804625,0.4365261,-0.3079855,-0.3199826,0.0119971
46,-1.1292369,-1.3695234,"('uncompetitive', 'competitive')",1.0448326,0.9450006,-0.8583154,-1.0375464,-0.3142399,-0.4873564,0.1731165
56,-1.071945,-1.2863076,"('impractical', 'practical')",0.0017050095,-0.058815688,-0.9982781,-0.97130275,-0.689506,-0.772142,0.082636
45,-1.0690589,-1.286955,"('incompetent', 'competent')",-0.17777953,-0.4411589,-0.3952508,-0.5085913,-0.5473631,-0.7455684,0.1982053
36,1.0358742,1.1005254,"('hostile', 'amicable')",-1.2860444,-1.3121936,1.0296061,0.93601793,0.259812,0.2414499,0.0183621
59,1.0302745,1.2704437,"('foolish', 'wise')",-0.4123407,-0.42816222,0.34934676,0.29924014,0.3224269,0.3805072,-0.0580803
71,1.0196918,1.1204401,"('diffident', 'self-confident')",0.5168022,0.660175,0.58084434,0.7652654,0.7057795,0.8486269,-0.1428474
58,1.0116599,0.8064878,"('undiscriminating', 'discriminating')",0.8003032,0.6981741,0.14849426,0.08905209,0.6534858,0.531238,0.1222478
43,-1.0040523,-1.2174135,"('irresponsible', 'responsible')",-0.80183315,-1.0098404,-0.088654384,-0.15346499,-0.6315133,-0.793573,0.1620597
84,0.99864686,1.1113514,"('inferior', 'superior')",0.33134755,0.33755144,0.93225104,0.897701,0.7540818,0.7822013,-0.0281195
3,-0.9467619,-0.9726854,"('repellent', 'pleasant')",1.0219256,1.1038764,0.15398282,0.2276087,0.0763822,0.1195999,-0.0432177
61,0.9344859,0.76953125,"('illogical', 'logical')",1.1679866,1.1910962,0.2067129,0.29281926,0.7697285,0.7511489,0.0185796
52,0.9239434,0.95921135,"('irrational', 'rational')",-0.24870668,-0.2886986,0.2861856,0.3601599,0.3204741,0.3435576,-0.0230835
57,-0.83820415,-1.0029141,"('unimaginative', 'imaginative')",-0.4802764,-0.5038481,-2.4251342,-2.6728363,-1.2478716,-1.3931994,0.1453278
70,-0.83136725,-0.961068,"('lethargic', 'energetic')",-0.39367557,-0.48813814,0.46397424,0.47186515,-0.2536895,-0.3257803,0.0720908
21,-0.8096707,-1.0171827,"('immoral', 'moral')",0.81310856,0.781259,-1.0532039,-0.9479441,-0.349922,-0.3946226,0.0447006
