,ball_male,ball_female,tuple,corp_male,corp_female,average_male,average_female,male-female
14,2.5575352,2.6173034,"('antisocial', 'social')",-0.29308692,-0.31423014,1.1322241,1.1515366,-0.0193125
31,-2.3266072,-1.8963565,"('evil', 'good')",-0.9953303,-0.80275244,-1.6609688,-1.3495544,-0.3114144
60,2.285603,1.9831206,"('inefficient', 'efficient')",-0.040868137,-0.0494067,1.1223675,0.966857,0.1555105
36,-2.2568958,-1.9208924,"('hostile', 'amicable')",-0.19157025,-0.23719929,-1.224233,-1.0790458,-0.1451872
62,2.158403,2.0308816,"('incompetent', 'brilliant')",0.46356028,0.47513673,1.3109816,1.2530092,0.0579724
55,2.1507723,1.9904339,"('incompetent', 'clever')",0.29150674,0.15484595,1.2211396,1.0726399,0.1484997
35,-1.9323987,-1.7525153,"('corrupt', 'incorrupt')",-0.36532894,-0.3478872,-1.1488638,-1.0502013,-0.0986625
52,-1.9110613,-1.5820575,"('irrational', 'rational')",0.19591828,0.099367104,-0.8575715,-0.7413452,-0.1162263
75,-1.8979857,-1.5701872,"('meek', 'impulsive')",-1.130613,-0.9040637,-1.5142994,-1.2371254,-0.277174
85,-1.8940854,-1.3692101,"('insignificant', 'prestigious')",-0.36505303,-0.24170853,-1.1295692,-0.8054593,-0.3241099
59,-1.8806547,-1.6451665,"('foolish', 'wise')",0.2697407,0.29508612,-0.805457,-0.6750402,-0.1304168
79,-1.8551562,-1.3003592,"('wavering', 'unwavering')",-0.31350398,-0.18113823,-1.0843301,-0.7407488,-0.3435813
44,-1.7266549,-1.7514744,"('prejudiced', 'unprejudiced')",-1.8174647,-1.7312537,-1.7720598,-1.741364,-0.0306958
0,1.7265685,1.6924043,"('unsociable', 'sociable')",-0.12677974,-0.20100997,0.7998943,0.7456971,0.0541972
56,1.7262739,1.6668994,"('impractical', 'practical')",-0.7186848,-0.6430052,0.5037946,0.5119472,-0.0081526
4,-1.6499426,-1.3932536,"('disliked', 'liked')",-7.6430554,-7.3798504,-4.6464992,-4.3865519,-0.2599473
16,-1.6080812,-1.4148396,"('unpopular', 'popular')",0.25372538,0.21861023,-0.6771779,-0.5981147,-0.0790632
7,1.5472103,1.3934189,"('insensitive', 'sensitive')",0.7744609,0.48299813,1.1608356,0.9382085,0.2226271
21,1.5449036,1.4998257,"('immoral', 'moral')",-0.5220654,-0.5761289,0.5114191,0.4618484,0.0495707
6,-1.5311987,-1.1012728,"('distant', 'open')",-0.26500663,-0.24597773,-0.8981027,-0.6736253,-0.2244774
5,-1.4663522,-1.1338167,"('distant', 'outgoing')",-0.18488967,-0.06906305,-0.8256209,-0.6014399,-0.224181
64,-1.4000187,-1.5655526,"('shy', 'confident')",-7.046427,-7.0092998,-4.2232227,-4.287426,0.0642033
10,1.3734839,1.4553918,"('unsympathetic', 'sympathetic')",-0.626346,-0.5705716,0.373569,0.4424101,-0.0688411
65,1.3643366,0.99425066,"('insecure', 'secure')",-0.33889303,-0.57964385,0.5127218,0.2073034,0.3054184
76,1.3526989,1.2534534,"('anxious', 'daring')",-0.2491659,-0.34707552,0.5517665,0.4531889,0.0985776
3,1.3424689,1.235484,"('repellent', 'pleasant')",1.0769644,0.85608625,1.2097166,1.0457852,0.1639314
48,1.3077086,1.0233756,"('unintelligent', 'intelligent')",0.656906,0.5993514,0.9823073,0.8113635,0.1709438
19,-1.3005973,-0.73705095,"('inhospitable', 'hospitable')",-0.46087572,-0.12661831,-0.8807365,-0.4318346,-0.4489019
80,1.2907742,1.2777532,"('dominated', 'dominating')",-0.6091935,-0.56635714,0.3407904,0.355698,-0.0149076
17,-1.2770302,-0.98438656,"('nasty', 'nice')",-0.6697548,-0.4238168,-0.9733925,-0.7041017,-0.2692908
66,-1.2564647,-0.88989085,"('inactive', 'active')",-0.030638937,0.23314357,-0.6435518,-0.3283736,-0.3151782
69,-1.1564717,-0.83480346,"('lazy', 'industrious')",-0.81521845,-0.59002566,-0.9858451,-0.7124146,-0.2734305
12,1.1399726,1.1065339,"('unsupportive', 'supportive')",-1.8408306,-1.8644018,-0.350429,-0.378934,0.028505
70,1.1283797,1.2345289,"('lethargic', 'energetic')",0.22204706,0.05561274,0.6752134,0.6450708,0.0301426
39,1.1156397,0.9894307,"('exploitative', 'cooperative')",-0.08772539,-0.14520463,0.5139571,0.4221131,0.091844
72,1.1068652,0.77832144,"('unambitious', 'ambitious')",-0.41545972,-0.64657664,0.3457027,0.0658724,0.2798303
87,1.0546976,1.1835374,"('unsuccessful', 'successful')",0.9922405,1.0732605,1.0234691,1.1283989,-0.1049298
68,1.039361,0.84713435,"('dependent', 'independent')",-0.15802714,-0.2832291,0.4406669,0.2819526,0.1587143
30,1.0342317,1.1156489,"('intolerant', 'tolerant')",0.47987777,0.5442264,0.7570547,0.8299376,-0.0728829
9,1.0323042,1.0539031,"('unaffectionate', 'caring')",1.5670629,1.4667077,1.2996836,1.2603054,0.0393782
46,1.0033889,0.78046024,"('uncompetitive', 'competitive')",-0.84914523,-0.9750649,0.0771218,-0.0973023,0.1744241
81,0.989417,1.0005376,"('submissive', 'aggressive')",-1.0027624,-0.9604225,-0.0066727,0.0200576,-0.0267303
50,-0.9744993,-0.89715016,"('clumsy', 'skillful')",0.24377641,0.12155263,-0.3653615,-0.3877988,0.0224373
23,0.97282434,0.78285027,"('insincere', 'sincere')",6.639811,6.214643,3.8063178,3.4987466,0.3075712
88,-0.97085875,-0.82532835,"('low', 'eminent')",-0.3475139,-0.30819532,-0.6591864,-0.5667619,-0.0924245
13,0.9426551,1.1046404,"('impolite', 'polite')",-1.2605617,-1.0985101,-0.1589533,0.0030651,-0.1620184
38,-0.922315,-0.69524914,"('untruthful', 'truthful')",-0.10562274,-0.07096883,-0.5139689,-0.383109,-0.1308599
43,0.7649772,0.6015978,"('irresponsible', 'responsible')",0.19661401,0.23999996,0.4807956,0.4207989,0.0599967
74,0.76390177,1.0268707,"('undedicated', 'dedicated')",-0.39651024,-0.44381294,0.1836958,0.2915289,-0.1078331
33,-0.6822895,-0.61721694,"('wrong', 'right')",-0.50911635,-0.51731986,-0.5957029,-0.5672684,-0.0284345
28,0.6515954,0.7643888,"('disloyal', 'loyal')",1.5099523,1.2829964,1.0807738,1.0236926,0.0570812
15,-0.6214516,-0.43042967,"('boring', 'funny')",-0.40684983,-0.3325521,-0.5141507,-0.3814909,-0.1326598
57,-0.6097347,-0.45271727,"('unimaginative', 'imaginative')",-3.6909447,-3.47497,-2.1503396,-1.9638437,-0.1864959
24,0.604989,0.68645954,"('dishonest', 'honest')",0.6847751,0.59613365,0.6448821,0.6412966,0.0035855
86,0.59602606,0.768728,"('uninfluential', 'influential')",-0.37970906,-0.3109674,0.1081585,0.2288803,-0.1207218
78,0.5771266,0.366374,"('nonresilient', 'resilient')",0.8857784,0.5798878,0.7314525,0.4731309,0.2583216
34,0.5319899,0.46563104,"('mean', 'honorable')",5.9733152,5.8150926,3.2526526,3.1403618,0.1122908
