,goldman_male,goldman_female,tuple,sachs_male,sachs_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
85,3.4920747,3.435123,"('insignificant', 'prestigious')",3.5000596,3.5449588,0.2867317,0.41131663,-0.35845745,-0.14402698,1.7301021,1.8118429,-0.0817408
45,-2.7440157,-2.424227,"('incompetent', 'competent')",-1.8197467,-1.6721104,-0.14301935,-0.23734647,-0.18456085,-0.38418594,-1.2228357,-1.1794674,-0.0433683
10,-2.6928244,-2.4125412,"('unsympathetic', 'sympathetic')",-2.129382,-2.0844212,-0.33320102,-0.58615506,0.7154272,0.38056883,-1.109995,-1.1756371,0.0656421
81,-2.4734185,-2.3107076,"('submissive', 'aggressive')",-1.0803275,-1.1225336,1.0467104,0.93282145,-0.07815694,-0.34369457,-0.6462982,-0.7110286,0.0647304
55,-2.4288871,-2.087731,"('incompetent', 'clever')",-2.1274238,-1.9981053,0.186986,0.19111636,0.35001376,0.15309256,-1.0048277,-0.9354069,-0.0694208
36,2.3953872,2.42797,"('hostile', 'amicable')",2.5232625,2.7126372,-0.53977627,-0.4107452,-0.51511604,-0.26939344,0.9659393,1.1151171,-0.1491778
82,-2.3040245,-2.2793825,"('poor', 'rich')",-2.0287776,-2.0296133,-1.1426575,-1.0376699,6.4592214,6.2789035,0.2459406,0.2330595,0.0128811
33,2.2896001,2.0846953,"('wrong', 'right')",2.0134106,2.0008063,0.63288337,0.5931821,-0.83504057,-0.7206176,1.0252135,0.9895166,0.0356969
70,-2.2708511,-2.0636022,"('lethargic', 'energetic')",-1.1148243,-1.0651356,0.43245402,0.34278405,1.5130386,1.3411273,-0.3600457,-0.3612067,0.001161
60,-2.208678,-1.937377,"('inefficient', 'efficient')",-1.5220156,-1.3696182,0.7747123,0.7213799,0.4399064,0.3095174,-0.6290187,-0.5690244,-0.0599943
22,-2.1260424,-1.9399315,"('untrustworthy', 'trustworthy')",-1.8385695,-1.7349732,0.11318287,0.13920596,-0.84547687,-0.79324055,-1.1742265,-1.0822349,-0.0919916
5,2.070546,2.1991546,"('distant', 'outgoing')",1.8234435,1.9752104,-0.9090561,-0.6485365,-0.6920019,-0.42511785,0.5732329,0.7751777,-0.2019448
71,2.0487978,2.1310563,"('diffident', 'self-confident')",2.7989438,2.951804,1.1915935,1.103595,0.61398673,0.84798646,1.6633306,1.7586102,-0.0952796
9,1.9770515,1.9899087,"('unaffectionate', 'caring')",2.1878371,2.2555969,0.64637953,0.40931603,1.079708,1.1713185,1.472744,1.456535,0.016209
52,1.9130223,1.7695742,"('irrational', 'rational')",1.3837419,1.3297483,-0.56791586,-0.70118576,-0.7443213,-0.582844,0.4961317,0.4538231,0.0423086
66,1.8955773,1.8431691,"('inactive', 'active')",2.0220551,2.0457544,2.2028267,2.2055147,1.1723604,1.373165,1.823205,1.8669009,-0.0436959
6,1.8657851,1.9164402,"('distant', 'open')",1.6062999,1.746484,-0.87128556,-0.7117936,-0.0641777,0.18568444,0.6341555,0.7842038,-0.1500483
69,1.7623174,1.6178105,"('lazy', 'industrious')",2.1682472,2.1669536,0.71459526,0.7535524,-1.1806288,-0.99354064,0.8661327,0.8861939,-0.0200612
57,-1.7236543,-1.4667808,"('unimaginative', 'imaginative')",-0.9287145,-0.7648409,-0.5977932,-0.60576594,-2.6159966,-2.798436,-1.4665396,-1.4089558,-0.0575838
79,1.7233089,1.8807377,"('wavering', 'unwavering')",1.3588899,1.5175714,-0.85096675,-0.6739128,-0.046847522,0.072644755,0.5460961,0.6992603,-0.1531642
65,-1.7207633,-1.5148885,"('insecure', 'secure')",-1.832977,-1.7343946,0.2915864,0.2588365,0.011151271,0.009655673,-0.8127507,-0.7451977,-0.067553
0,-1.6075612,-1.4228317,"('unsociable', 'sociable')",-0.91052634,-0.91797674,0.2502379,0.055732787,-0.3009321,-0.39722013,-0.6421955,-0.6705739,0.0283784
76,-1.5952744,-1.2807962,"('anxious', 'daring')",-1.2204442,-0.95407295,0.58226395,0.83756447,0.78165525,0.79028153,-0.3629498,-0.1517558,-0.211194
46,-1.5833422,-1.3185037,"('uncompetitive', 'competitive')",-1.1239465,-1.0860015,1.0108249,0.91677946,-0.184198,-0.44478083,-0.4701655,-0.4831266,0.0129611
1,1.5787622,1.4824231,"('unfriendly', 'friendly')",1.7330422,1.7135246,0.38082838,0.04346491,1.0867742,1.1897538,1.1948518,1.1072916,0.0875602
73,1.5671419,1.6154623,"('helpless', 'self-reliant')",1.6353511,1.776854,0.3093086,0.5018053,-3.5982552,-3.5622854,-0.0216134,0.0829591,-0.1045725
3,-1.5446008,-1.3555925,"('repellent', 'pleasant')",-1.7753876,-1.7085098,0.58081436,0.6781598,0.53983796,0.43278182,-0.549834,-0.4882902,-0.0615438
35,1.5073979,1.525831,"('corrupt', 'incorrupt')",1.3860782,1.4941205,-0.92772293,-0.6178435,-0.81428653,-0.5944156,0.2878667,0.451923,-0.1640563
83,1.4836652,1.7579467,"('powerless', 'powerful')",1.947984,2.204056,0.85161364,1.2482212,-0.34580487,-0.37156868,0.9843644,1.2096639,-0.2252995
11,-1.4722884,-1.3394903,"('unhelpful', 'helpful')",-1.0616003,-1.067542,-0.6712755,-0.86672455,2.344905,2.2252047,-0.2150649,-0.262138,0.0470731
14,-1.4533153,-1.1115228,"('antisocial', 'social')",-0.7712841,-0.59211904,1.1658442,1.5286461,-0.61365813,-0.5545518,-0.4181033,-0.1823869,-0.2357164
59,1.4349892,1.2586025,"('foolish', 'wise')",0.8226797,0.79176396,-0.8095866,-0.7809053,0.062566414,0.26877272,0.3776622,0.3845585,-0.0068963
12,1.4048116,1.5723681,"('unsupportive', 'supportive')",1.7571236,1.8526976,1.7847759,1.5740495,-1.4121479,-1.4242121,0.8836408,0.8937258,-0.010085
44,-1.3924925,-1.3473508,"('prejudiced', 'unprejudiced')",-1.3940628,-1.3614389,-0.6532497,-0.4461183,-1.829609,-1.566796,-1.3173535,-1.180426,-0.1369275
37,-1.3710067,-1.3620992,"('fake', 'genuine')",-0.597855,-0.58807075,-0.23866251,-0.44600493,0.5476076,0.4567196,-0.4149792,-0.4848638,0.0698846
28,-1.3303199,-1.1315995,"('disloyal', 'loyal')",-0.779499,-0.67859226,-0.17890736,-0.2568208,0.9405813,0.8948766,-0.3370363,-0.293034,-0.0440023
51,-1.261909,-1.1383519,"('uneducated', 'educated')",-0.34726518,-0.29581898,0.9505166,0.86895496,1.1010615,0.9177896,0.1106009,0.0881434,0.0224575
48,-1.255377,-1.2323314,"('unintelligent', 'intelligent')",-1.5841972,-1.565928,-0.7335119,-0.9295853,0.46134776,0.27048513,-0.7779346,-0.8643398,0.0864052
13,-1.1850573,-1.3107879,"('impolite', 'polite')",-1.3268613,-1.4572985,0.16049844,-0.12812027,0.15410991,0.07736227,-0.5493276,-0.7047111,0.1553835
26,1.1090932,1.0277314,"('hardhearted', 'benevolent')",1.6471678,1.6792519,0.90693635,0.8952614,0.89118457,1.0242454,1.1385955,1.1566225,-0.018027
30,-1.101922,-0.99263287,"('intolerant', 'tolerant')",-0.7153175,-0.63954407,-0.40747482,-0.54970866,0.7504257,0.701938,-0.3685721,-0.3699869,0.0014148
21,-1.0884463,-0.82481444,"('immoral', 'moral')",-0.7218274,-0.59542614,0.15383707,0.15592317,-0.6515514,-0.814749,-0.576997,-0.5197666,-0.0572304
80,-1.0840054,-1.0096902,"('dominated', 'dominating')",-0.89247364,-0.92385435,1.5454775,1.4048367,-0.31811115,-0.40455782,-0.1872782,-0.2333164,0.0460382
2,1.0704682,1.2330723,"('unlikable', 'likable')",1.7977511,1.9548167,1.9970412,2.2063925,0.26694015,0.5980989,1.2830502,1.498095,-0.2150448
86,-1.0233258,-0.85410786,"('uninfluential', 'influential')",-0.16729623,-0.07654308,0.347205,0.1721886,0.2677048,0.13494608,-0.1439281,-0.1558791,0.011951
40,0.9655823,1.1905816,"('stingy', 'generous')",0.9241877,1.0637194,1.1546988,1.127166,-1.6699827,-1.7775764,0.3436216,0.4009727,-0.0573511
34,0.9548864,0.9004727,"('mean', 'honorable')",1.1571615,1.1105698,0.3703236,0.13778074,6.3377748,6.245392,2.2050366,2.0985537,0.1064829
62,-0.9460628,-0.6955743,"('incompetent', 'brilliant')",-0.47762823,-0.30303216,0.7357419,0.8597909,0.9157255,0.7454466,0.0569441,0.1516578,-0.0947137
68,-0.9172256,-0.91200316,"('dependent', 'independent')",-1.2148542,-1.3070534,-0.048705522,-0.16093977,-0.416044,-0.6420249,-0.6492074,-0.7555053,0.1062979
54,0.90479225,0.97120667,"('incapable', 'capable')",1.2881268,1.3676708,0.67646307,0.75395036,1.174916,1.2958611,1.0110745,1.0971723,-0.0860978
8,0.87496465,0.7732603,"('unaffectionate', 'affectionate')",1.6204536,1.6307023,-0.08733277,-0.37978235,0.20185228,0.33202505,0.6524845,0.5890513,0.0634332
58,0.8740903,1.095191,"('undiscriminating', 'discriminating')",1.099446,1.3082585,1.4189317,1.5543343,0.11522372,0.025413632,0.8769229,0.9957993,-0.1188764
61,0.8577585,0.9897882,"('illogical', 'logical')",0.6822691,0.7928761,0.43776366,0.44497925,0.2160761,0.19667274,0.5484669,0.606079,-0.0576121
84,0.8500069,0.8393654,"('inferior', 'superior')",0.5002977,0.44311106,0.5057799,0.38843614,1.0053357,0.92003214,0.715355,0.6477362,0.0676188
31,0.8144967,0.87258476,"('evil', 'good')",0.7582178,0.80450356,-0.9097537,-0.86237055,-1.7718644,-1.5933763,-0.2772259,-0.1946646,-0.0825613
72,0.8065899,0.7207051,"('unambitious', 'ambitious')",0.39198017,0.40054005,0.764529,0.6785775,-0.27834022,-0.2893415,0.4211897,0.3776203,0.0435694
87,0.78856313,0.8438036,"('unsuccessful', 'successful')",1.0189202,1.1094744,1.5214238,1.5603017,1.0660987,0.99675727,1.0987514,1.1275842,-0.0288328
24,-0.7379383,-0.6982563,"('dishonest', 'honest')",-0.84040624,-0.7842828,-0.59471595,-0.84304464,0.85787857,0.84554106,-0.3287955,-0.3700107,0.0412152
63,0.71390676,0.82010746,"('unperceptive', 'insightful')",1.0350057,0.98381907,1.8301933,1.5824456,1.6895902,1.3926883,1.317174,1.1947651,0.1224089
75,0.70273256,0.69897103,"('meek', 'impulsive')",0.8506315,0.87075824,-0.5085072,-0.22642738,-0.4447965,-0.27453005,0.1500151,0.267193,-0.1171779
43,-0.67540216,-0.47430238,"('irresponsible', 'responsible')",-0.061263677,-0.010941896,0.821475,0.7042534,1.1177226,1.0327538,0.300633,0.3129407,-0.0123077
