,allergan_male,allergan_female,tuple,plc_male,plc_female,average_male,average_female,male-female
53,-2.1767032,-2.0563655,"('uncreative', 'creative')",0.70596325,0.6786438,-0.73537,-0.6888608,-0.0465092
1,-2.064767,-2.3291607,"('unfriendly', 'friendly')",2.246399,2.0751913,0.090816,-0.1269847,0.2178007
86,-1.708896,-1.9205035,"('uninfluential', 'influential')",0.30228186,-0.14223951,-0.7033071,-1.0313715,0.3280644
10,-1.659637,-1.4915943,"('unsympathetic', 'sympathetic')",-0.48511776,-0.70495015,-1.0723773,-1.0982722,0.0258949
63,-1.4093606,-1.2128952,"('unperceptive', 'insightful')",1.0459479,1.0521073,-0.1817064,-0.0803939,-0.1013125
19,-1.3804224,-1.4280409,"('inhospitable', 'hospitable')",-0.4362803,-0.46484414,-0.9083513,-0.9464425,0.0380912
77,-1.2561492,-0.8960033,"('unmotivated', 'motivated')",-1.091984,-0.9924543,-1.1740665,-0.9442288,-0.2298377
44,1.187308,1.1795055,"('prejudiced', 'unprejudiced')",-1.7340158,-1.6311041,-0.2733539,-0.2257993,-0.0475546
23,-1.1685712,-0.73234373,"('insincere', 'sincere')",4.566002,4.92714,1.6987153,2.0973983,-0.398683
11,-1.0923945,-0.68936765,"('unhelpful', 'helpful')",0.9567518,1.192143,-0.0678213,0.2513877,-0.319209
57,-1.0511751,-1.0997131,"('unimaginative', 'imaginative')",-1.0944657,-1.6887965,-1.0728204,-1.3942548,0.3214344
9,-1.0393107,-0.9996774,"('unaffectionate', 'caring')",1.2973922,1.3031693,0.1290408,0.1517459,-0.0227051
80,1.0311853,1.1498435,"('dominated', 'dominating')",0.24502644,0.12147173,0.6381059,0.6356576,0.0024483
16,-1.0064082,-0.8941116,"('unpopular', 'popular')",-0.52064174,-0.46674937,-0.763525,-0.6804305,-0.0830945
85,-0.9926496,-1.2838763,"('insignificant', 'prestigious')",-0.09992984,-0.29638523,-0.5462897,-0.7901307,0.243841
69,0.97700065,0.6023585,"('lazy', 'industrious')",-0.25557083,-0.15817383,0.3607149,0.2220923,0.1386226
54,-0.9620603,-0.891729,"('incapable', 'capable')",0.53340816,0.7085876,-0.2143261,-0.0915707,-0.1227554
21,-0.9609803,-0.47114122,"('immoral', 'moral')",-1.2725416,-1.1178064,-1.116761,-0.7944738,-0.3222872
78,-0.93146366,-0.81669647,"('nonresilient', 'resilient')",0.802982,0.6888181,-0.0642408,-0.0639392,-0.0003016
73,0.92995256,1.0005192,"('helpless', 'self-reliant')",-2.194268,-1.9778816,-0.6321577,-0.4886812,-0.1434765
61,-0.9186439,-1.0333831,"('illogical', 'logical')",0.7973304,0.69040704,-0.0606568,-0.171488,0.1108312
27,-0.9146063,-1.0573188,"('hardhearted', 'softhearted')",0.47708035,0.31208825,-0.218763,-0.3726153,0.1538523
0,-0.9041017,-1.028559,"('unsociable', 'sociable')",-0.37590787,-0.5553025,-0.6400048,-0.7919307,0.1519259
24,-0.8910759,-0.87237775,"('dishonest', 'honest')",0.5625572,0.48437446,-0.1642593,-0.1940016,0.0297423
82,-0.8849325,-0.46061054,"('poor', 'rich')",4.5002794,5.1285896,1.8076735,2.3339896,-0.5263161
