,cummins_male,cummins_female,tuple,inc_male,inc_female,average_male,average_female,male-female
69,1.6309239,1.5752629,"('lazy', 'industrious')",-0.2397337,-0.8368665,0.6955951,0.3691982,0.3263969
18,-1.457849,-1.4582802,"('disagreeable', 'welcoming')",-0.67519784,-0.9282726,-1.0665234,-1.1932764,0.126753
73,1.4248861,1.4822887,"('helpless', 'self-reliant')",-2.8066418,-2.99805,-0.6908779,-0.7578806,0.0670027
87,1.3918381,1.3247463,"('unsuccessful', 'successful')",0.836843,0.9047864,1.1143405,1.1147664,-0.0004259
39,1.3157175,1.1977156,"('exploitative', 'cooperative')",0.16671929,0.15482569,0.7412184,0.6762707,0.0649477
65,-1.282374,-1.1685514,"('insecure', 'secure')",-1.1454718,-0.5863293,-1.213923,-0.8774403,-0.3364827
57,-1.2262541,-1.2053477,"('unimaginative', 'imaginative')",-2.3775318,-2.2854254,-1.801893,-1.7453866,-0.0565064
33,1.1244249,0.9999783,"('wrong', 'right')",-0.18159683,-0.67740035,0.4714141,0.161289,0.3101251
55,-1.1026667,-0.828797,"('incompetent', 'clever')",-0.11497507,0.44304135,-0.6088209,-0.1928778,-0.4159431
51,-1.0298103,-0.6341665,"('uneducated', 'educated')",0.48776907,0.97205126,-0.2710206,0.1689424,-0.439963
8,-0.9810505,-1.282807,"('unaffectionate', 'affectionate')",0.94588786,0.46642774,-0.0175813,-0.4081896,0.3906083
72,-0.9676477,-1.0400407,"('unambitious', 'ambitious')",-0.9223045,-0.7632858,-0.9449761,-0.9016633,-0.0433128
85,0.9391397,0.67771465,"('insignificant', 'prestigious')",0.83268964,0.061943807,0.8859147,0.3698292,0.5160855
68,-0.93625885,-0.71508396,"('dependent', 'independent')",-0.2757115,-0.18571408,-0.6059852,-0.450399,-0.1555862
71,0.9138243,0.7790828,"('diffident', 'self-confident')",0.83854157,0.66523844,0.8761829,0.7221606,0.1540223
84,0.87413114,0.92303324,"('inferior', 'superior')",0.95693684,0.83817095,0.915534,0.8806021,0.0349319
42,-0.8334075,-0.41488492,"('unreliable', 'reliable')",-3.0899546,-2.826014,-1.9616811,-1.6204495,-0.3412316
10,-0.7822259,-0.67400974,"('unsympathetic', 'sympathetic')",0.008825816,0.62584645,-0.3867,-0.0240816,-0.3626184
59,0.7705539,0.7333239,"('foolish', 'wise')",0.5626788,0.100352705,0.6666163,0.4168383,0.249778
17,-0.7633406,-0.7578933,"('nasty', 'nice')",-0.3717445,-0.4221566,-0.5675426,-0.5900249,0.0224823
82,-0.7422794,-0.5405668,"('poor', 'rich')",5.708801,6.2429123,2.4832606,2.8511727,-0.3679121
26,0.69063276,0.60003066,"('hardhearted', 'benevolent')",1.7371644,1.4021173,1.2138985,1.001074,0.2128245
60,-0.67439926,-0.4218788,"('inefficient', 'efficient')",-0.33724397,0.38989207,-0.5058216,-0.0159934,-0.4898282
14,-0.64676064,-0.506909,"('antisocial', 'social')",-1.0021653,-0.6575778,-0.824463,-0.5822434,-0.2422196
48,-0.6272672,-0.6047013,"('unintelligent', 'intelligent')",0.46474582,0.6036358,-0.0812607,-0.0005327,-0.080728
49,-0.6239321,-0.6774522,"('unable', 'able')",-0.32714766,-0.14849709,-0.4755399,-0.4129747,-0.0625652
16,-0.6163395,-0.6636562,"('unpopular', 'popular')",0.3776261,0.31057647,-0.1193567,-0.1765399,0.0571832
74,0.60503757,0.77206254,"('undedicated', 'dedicated')",0.1946524,0.34225917,0.399845,0.5571609,-0.1573159
19,-0.56967723,-0.590686,"('inhospitable', 'hospitable')",0.06243833,-0.028650327,-0.2536195,-0.3096682,0.0560487
81,-0.5667753,-0.34355807,"('submissive', 'aggressive')",-1.1573005,-0.42411268,-0.8620379,-0.3838354,-0.4782025
76,-0.54885316,-0.2872746,"('anxious', 'daring')",0.10605621,0.6848938,-0.2213985,0.1988096,-0.4202081
21,-0.5341861,-0.39443493,"('immoral', 'moral')",-0.8097354,-0.40064493,-0.6719608,-0.3975399,-0.2744209
0,-0.53089404,-0.5319543,"('unsociable', 'sociable')",-0.50563526,-0.24238613,-0.5182647,-0.3871702,-0.1310945
52,-0.5268674,-0.79085964,"('irrational', 'rational')",-0.3074041,-0.94901556,-0.4171357,-0.8699376,0.4528019
36,-0.52222896,-0.798235,"('hostile', 'amicable')",0.037022788,-0.5393346,-0.2426031,-0.6687848,0.4261817
5,0.51407766,0.2272907,"('distant', 'outgoing')",-0.11217863,-0.59889305,0.2009495,-0.1858012,0.3867507
75,0.5112973,0.709664,"('meek', 'impulsive')",-0.14382833,-0.14095849,0.1837345,0.2843527,-0.1006182
27,-0.4844812,-0.6185496,"('hardhearted', 'softhearted')",1.6294049,1.3127104,0.5724618,0.3470804,0.2253814
63,0.4782358,0.6537085,"('unperceptive', 'insightful')",1.2401811,1.6540576,0.8592085,1.1538831,-0.2946746
77,-0.47079265,-0.50834405,"('unmotivated', 'motivated')",-0.93237925,-0.6991983,-0.7015859,-0.6037712,-0.0978147
30,-0.46401381,-0.36589956,"('intolerant', 'tolerant')",0.68389755,0.8220223,0.1099419,0.2280614,-0.1181195
67,0.45470318,0.8610596,"('doubtful', 'determined')",-0.63419974,-0.43800956,-0.0897483,0.211525,-0.3012733
86,-0.43295404,-0.3951369,"('uninfluential', 'influential')",0.09841424,0.45622605,-0.1672699,0.0305446,-0.1978145
3,-0.42852098,-0.5560974,"('repellent', 'pleasant')",0.10671286,0.3091334,-0.160904,-0.123482,-0.037422
6,-0.42434484,-0.6181897,"('distant', 'open')",0.51146746,-0.031170819,0.0435613,-0.3246803,0.3682416
