,sunedison_male,sunedison_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.302339,-2.5003483,"('unfriendly', 'friendly')",1.436637,1.61329,-0.432851,-0.4435292,0.0106782
8,-1.9602754,-1.9355423,"('unaffectionate', 'affectionate')",0.5610725,0.734822,-0.6996014,-0.6003602,-0.0992412
86,-1.9328495,-2.1873162,"('uninfluential', 'influential')",-0.39498943,-0.42215466,-1.1639194,-1.3047354,0.140816
9,-1.8728546,-2.0676904,"('unaffectionate', 'caring')",1.1220336,1.2592566,-0.3754105,-0.4042169,0.0288064
53,-1.7868314,-2.0664885,"('uncreative', 'creative')",0.50295335,0.56538707,-0.641939,-0.7505507,0.1086117
10,-1.768935,-1.8848045,"('unsympathetic', 'sympathetic')",-0.5500369,-0.52475137,-1.1594859,-1.204778,0.0452921
6,-1.6410949,-1.5060687,"('distant', 'open')",-0.34797367,-0.1809904,-0.9945343,-0.8435296,-0.1510047
0,-1.5555286,-1.5549377,"('unsociable', 'sociable')",-0.585888,-0.50966877,-1.0707083,-1.0323032,-0.0384051
57,-1.5416433,-1.8369114,"('unimaginative', 'imaginative')",-2.4724295,-2.565419,-2.0070364,-2.2011652,0.1941288
36,-1.5362417,-1.6210384,"('hostile', 'amicable')",-0.27448,-0.20250908,-0.9053608,-0.9117737,0.0064129
66,-1.4063172,-1.7253009,"('inactive', 'active')",0.15400264,-0.101298615,-0.6261573,-0.9132997,0.2871424
78,-1.3685278,-1.2916709,"('nonresilient', 'resilient')",0.37739444,0.40152758,-0.4955667,-0.4450717,-0.050495
46,-1.3337638,-1.3880259,"('uncompetitive', 'competitive')",-0.58912504,-0.6882884,-0.9614444,-1.0381571,0.0767127
12,-1.3117645,-1.3836989,"('unsupportive', 'supportive')",-1.4257331,-1.4452468,-1.3687488,-1.4144728,0.045724
63,-1.2702583,-1.1801842,"('unperceptive', 'insightful')",1.2669793,1.4391373,-0.0016395,0.1294765,-0.131116
5,-1.1526808,-1.0138533,"('distant', 'outgoing')",-0.48643363,-0.31532642,-0.8195572,-0.6645899,-0.1549673
45,-1.1510332,-1.1600418,"('incompetent', 'competent')",-0.27017337,-0.2803634,-0.7106032,-0.7202026,0.0095994
43,-1.1263978,-1.1225057,"('irresponsible', 'responsible')",0.11103703,0.20929158,-0.5076804,-0.456607,-0.0510734
58,-1.1066518,-1.1671542,"('undiscriminating', 'discriminating')",0.4075297,0.47383544,-0.349561,-0.3466594,-0.0029016
28,-1.0883154,-1.214352,"('disloyal', 'loyal')",0.6933533,0.8710529,-0.197481,-0.1716495,-0.0258315
61,-1.0598984,-1.1561415,"('illogical', 'logical')",0.065754265,0.05282468,-0.497072,-0.5516584,0.0545864
