,xerox_male,xerox_female,tuple,holdings_male,holdings_female,corp_male,corp_female,average_male,average_female,male-female
10,-3.3159206,-3.2058198,"('unsympathetic', 'sympathetic')",-0.66104275,-0.55559254,0.1383427,0.30334502,-1.2795402,-1.1526891,-0.1268511
45,-3.087942,-2.9060733,"('incompetent', 'competent')",-0.56185883,-0.48481056,-0.085547864,-0.094008796,-1.2451162,-1.1616309,-0.0834853
21,-2.7000453,-2.8062744,"('immoral', 'moral')",0.06371255,-0.010578666,-0.19882065,-0.17908601,-0.9450511,-0.9986463,0.0535952
63,-2.6514416,-2.6054602,"('unperceptive', 'insightful')",1.2370007,1.4773479,0.84999055,0.99212533,-0.1881501,-0.045329,-0.1428211
46,-2.549817,-2.5038507,"('uncompetitive', 'competitive')",1.1829036,1.2358205,-0.14184669,-0.07675253,-0.50292,-0.4482609,-0.0546591
0,-2.3844988,-2.5498106,"('unsociable', 'sociable')",-0.59821326,-0.5972955,-0.096289456,-0.13990255,-1.0263338,-1.0956696,0.0693358
57,-2.3743184,-2.3807223,"('unimaginative', 'imaginative')",-0.45203745,-0.37866005,-2.9554145,-2.8280127,-1.9272569,-1.8624649,-0.064792
55,-2.3181653,-2.2562168,"('incompetent', 'clever')",-0.024454404,-0.048201595,0.6057556,0.55666083,-0.5789547,-0.5825858,0.0036311
14,-2.2667272,-2.2508113,"('antisocial', 'social')",1.5512177,1.665242,-0.12234766,-0.0949286,-0.2792857,-0.2268327,-0.052453
22,-2.2288194,-2.0772696,"('untrustworthy', 'trustworthy')",-0.5153634,-0.35987464,-0.7516536,-0.6701084,-1.1652788,-1.0357509,-0.1295279
13,-2.1983564,-2.1199527,"('impolite', 'polite')",-0.62332374,-0.41075468,-0.45749426,-0.3050543,-1.0930581,-0.9452538,-0.1478043
43,-2.1904826,-2.1363077,"('irresponsible', 'responsible')",-1.0911965,-0.9637609,0.2676648,0.36358106,-1.0046714,-0.9121625,-0.0925089
70,-2.169556,-1.9166714,"('lethargic', 'energetic')",0.95543134,1.235223,0.8772812,1.1008525,-0.1122811,0.1398014,-0.2520825
69,2.164683,2.079413,"('lazy', 'industrious')",0.841747,0.88760537,-0.9145802,-0.9511987,0.6972833,0.6719398,0.0253435
86,-2.1485045,-2.3301175,"('uninfluential', 'influential')",0.008839548,0.21845175,-0.118834436,-0.06313488,-0.7528331,-0.7249335,-0.0278996
56,-2.1273482,-2.049486,"('impractical', 'practical')",0.034015134,0.17967261,-0.5623678,-0.32156006,-0.8852336,-0.7304578,-0.1547758
41,-2.096954,-2.1612995,"('unforgiving', 'forgiving')",-1.1807513,-1.3199003,-0.63458437,-0.80454916,-1.3040966,-1.428583,0.1244864
