,novell_male,novell_female,tuple,inc_male,inc_female,average_male,average_female,male-female
39,1.0898688,0.7279792,"('exploitative', 'cooperative')",0.15720382,0.2782798,0.6235363,0.5031295,0.1204068
31,-0.9315787,-1.1739607,"('evil', 'good')",-0.89127636,-1.2167087,-0.9114275,-1.1953347,0.2839072
36,-0.92486715,-1.3356271,"('hostile', 'amicable')",0.19263093,-0.076925114,-0.3661181,-0.7062761,0.340158
4,-0.8934883,-0.89312017,"('disliked', 'liked')",-6.2457943,-6.816401,-3.5696414,-3.8547606,0.2851192
67,0.87151766,0.96344817,"('doubtful', 'determined')",-0.58993,-0.26243493,0.1407938,0.3505066,-0.2097128
19,-0.8668375,-0.67433894,"('inhospitable', 'hospitable')",-0.073990464,-0.057189956,-0.470414,-0.3657644,-0.1046496
79,-0.7612457,-0.6892843,"('wavering', 'unwavering')",-0.10869985,-0.13694787,-0.4349728,-0.4131161,-0.0218567
14,0.7305093,0.67640185,"('antisocial', 'social')",-0.7181506,-0.80181134,0.0061793,-0.0627047,0.068884
1,-0.7213754,-1.1464761,"('unfriendly', 'friendly')",1.4319099,1.2112156,0.3552673,0.0323697,0.3228976
60,0.69614565,0.72646576,"('inefficient', 'efficient')",0.16027348,0.35537708,0.4282096,0.5409214,-0.1127118
84,0.6583288,0.6350581,"('inferior', 'superior')",1.1496279,1.2002245,0.9039783,0.9176413,-0.013663
28,-0.63065135,-0.80664665,"('disloyal', 'loyal')",0.67314315,0.6957134,0.0212459,-0.0554666,0.0767125
10,-0.6246355,-0.38318208,"('unsympathetic', 'sympathetic')",-0.43824744,-0.3103054,-0.5314415,-0.3467437,-0.1846978
62,0.6063461,0.964624,"('incompetent', 'brilliant')",0.3085671,0.62482196,0.4574566,0.794723,-0.3372664
57,-0.5714264,-0.53692394,"('unimaginative', 'imaginative')",-2.36502,-2.7477067,-1.4682232,-1.6423153,0.1740921
16,-0.56583506,-0.6293738,"('unpopular', 'popular')",0.6224929,0.35902473,0.0283289,-0.1351745,0.1635034
88,-0.55038965,-0.699911,"('low', 'eminent')",-0.002501348,-0.142701,-0.2764455,-0.421306,0.1448605
8,-0.5405258,-0.76890314,"('unaffectionate', 'affectionate')",0.7368475,0.6807584,0.0981609,-0.0440724,0.1422333
66,-0.5335791,-0.518065,"('inactive', 'active')",0.5987823,0.46421587,0.0326016,-0.0269246,0.0595262
20,0.53332484,0.42125177,"('rough', 'thoughtful')",1.4519098,1.1962812,0.9926173,0.8087665,0.1838508
83,0.53068835,0.49580255,"('powerless', 'powerful')",-0.7574584,-0.7461938,-0.113385,-0.1251956,0.0118106
69,0.48935527,0.10903855,"('lazy', 'industrious')",-0.31115636,-0.66865355,0.0890995,-0.2798075,0.368907
55,0.48228204,0.59234846,"('incompetent', 'clever')",0.15672615,0.007374555,0.3195041,0.2998615,0.0196426
45,-0.48055637,-0.28299823,"('incompetent', 'competent')",-0.29207858,-0.36974052,-0.3863175,-0.3263694,-0.0599481
40,0.47720578,0.38069496,"('stingy', 'generous')",-1.4218963,-1.7618328,-0.4723453,-0.6905689,0.2182236
38,-0.4576751,-0.120000854,"('untruthful', 'truthful')",-0.22361499,0.0048175957,-0.340645,-0.0575916,-0.2830534
74,-0.45516855,-0.18924141,"('undedicated', 'dedicated')",-0.27353066,-0.30558586,-0.3643496,-0.2474136,-0.116936
