,schlumberger_male,schlumberger_female,tuple,ltd_male,ltd_female,average_male,average_female,male-female
10,-3.159053,-3.024149,"('unsympathetic', 'sympathetic')",0.32742685,-0.08052067,-1.4158131,-1.5523348,0.1365217
86,-2.9486842,-2.7425537,"('uninfluential', 'influential')",0.32108304,-0.016674075,-1.3138006,-1.3796139,0.0658133
11,-2.5527728,-2.3418272,"('unhelpful', 'helpful')",1.5994893,1.459772,-0.4766417,-0.4410276,-0.0356141
12,-2.5430603,-2.3710515,"('unsupportive', 'supportive')",-1.1906495,-1.4055161,-1.8668549,-1.8882838,0.0214289
35,2.5162792,2.0675197,"('corrupt', 'incorrupt')",-0.4308812,-0.42143562,1.042699,0.823042,0.219657
0,-2.2489383,-2.2219448,"('unsociable', 'sociable')",-0.25271398,-0.42480138,-1.2508261,-1.3233731,0.072547
60,-2.1904263,-1.8582604,"('inefficient', 'efficient')",-0.030320883,0.099790916,-1.1103736,-0.8792347,-0.2311389
48,-2.1801789,-2.255693,"('unintelligent', 'intelligent')",0.636209,0.37039587,-0.7719849,-0.9426485,0.1706636
21,-2.0597537,-1.625425,"('immoral', 'moral')",-1.345986,-1.306389,-1.7028699,-1.465907,-0.2369629
55,-2.0586545,-1.9025636,"('incompetent', 'clever')",0.7574176,0.31993127,-0.6506184,-0.7913162,0.1406978
69,2.0431495,1.7973386,"('lazy', 'industrious')",-0.32296377,-0.19502576,0.8600929,0.8011564,0.0589365
46,-2.0205479,-1.6711187,"('uncompetitive', 'competitive')",0.63599074,0.24650127,-0.6922786,-0.7123088,0.0200302
23,-1.9660715,-1.9034524,"('insincere', 'sincere')",4.618138,4.080365,1.3260331,1.0884564,0.2375767
63,-1.9392393,-1.6581452,"('unperceptive', 'insightful')",1.3854556,0.96735674,-0.2768918,-0.3453942,0.0685024
57,-1.9231691,-1.9822633,"('unimaginative', 'imaginative')",-0.29966772,-0.6070548,-1.1114185,-1.2946591,0.1832406
62,-1.8259751,-1.4936711,"('incompetent', 'brilliant')",0.37569314,0.4706985,-0.7251409,-0.5114863,-0.2136546
13,-1.8151033,-1.5372653,"('impolite', 'polite')",-0.72515196,-0.4463225,-1.2701277,-0.9917939,-0.2783338
81,-1.7611362,-1.2249541,"('submissive', 'aggressive')",-0.9368912,-0.63014925,-1.3490137,-0.9275517,-0.421462
43,-1.7058451,-1.653732,"('irresponsible', 'responsible')",1.2706697,1.0974916,-0.2175877,-0.2781202,0.0605325
78,-1.6929493,-1.3934304,"('nonresilient', 'resilient')",0.6541581,0.22871985,-0.5193956,-0.5823553,0.0629597
28,-1.511969,-1.7815646,"('disloyal', 'loyal')",1.4155283,0.8568838,-0.0482203,-0.4623404,0.4141201
70,-1.5003215,-1.2748746,"('lethargic', 'energetic')",1.0625796,1.0814015,-0.2188709,-0.0967366,-0.1221343
73,1.4502311,1.2987087,"('helpless', 'self-reliant')",-2.7111807,-2.4380584,-0.6304748,-0.5696748,-0.0608
75,1.4497626,1.5071626,"('meek', 'impulsive')",-0.3608611,-0.0028824247,0.5444508,0.75214,-0.2076892
32,-1.3913952,-1.4838489,"('unkind', 'kind')",0.55897534,0.4990775,-0.4162099,-0.4923857,0.0761758
38,-1.3483523,-1.3572093,"('untruthful', 'truthful')",0.15891065,0.21594508,-0.5947208,-0.5706321,-0.0240887
85,1.3295361,1.1373146,"('insignificant', 'prestigious')",-0.25847742,-0.43699786,0.5355293,0.3501583,0.185371
51,-1.300336,-0.8314439,"('uneducated', 'educated')",0.3068506,0.78913033,-0.4967427,-0.0211568,-0.4755859
7,-1.2870728,-1.3227887,"('insensitive', 'sensitive')",0.7512365,0.28553304,-0.2679181,-0.5186278,0.2507097
3,-1.2628261,-0.9767511,"('repellent', 'pleasant')",0.5026397,0.4096765,-0.3800932,-0.2835373,-0.0965559
45,-1.2431338,-1.2480365,"('incompetent', 'competent')",1.2544442,0.70681334,0.0056552,-0.2706116,0.2762668
1,-1.2248191,-1.8280252,"('unfriendly', 'friendly')",1.915548,0.975041,0.3453645,-0.4264921,0.7718566
76,-1.1919223,-0.98998207,"('anxious', 'daring')",0.30080634,0.37554014,-0.445558,-0.307221,-0.138337
34,-1.1876563,-1.082845,"('mean', 'honorable')",4.426646,4.3947434,1.6194949,1.6559492,-0.0364543
72,-1.1832889,-1.2331009,"('unambitious', 'ambitious')",0.061200075,0.050646972,-0.5610445,-0.5912269,0.0301824
14,-1.1792178,-0.97155666,"('antisocial', 'social')",-0.13025841,-0.129572,-0.6547381,-0.5505643,-0.1041738
56,-1.1723514,-0.75903904,"('impractical', 'practical')",0.39236465,0.65214473,-0.3899934,-0.0534472,-0.3365462
77,-1.1717093,-0.62551767,"('unmotivated', 'motivated')",-0.6710284,-0.6432113,-0.9213688,-0.6343645,-0.2870043
61,-1.1660526,-1.2133566,"('illogical', 'logical')",0.2098043,-0.2591123,-0.4781241,-0.7362344,0.2581103
65,-1.1630969,-1.0881553,"('insecure', 'secure')",0.007289715,0.024988249,-0.5779036,-0.5315835,-0.0463201
53,-1.1426605,-1.2146797,"('uncreative', 'creative')",1.1041155,0.5592763,-0.0192725,-0.3277017,0.3084292
24,-1.1404074,-1.5207692,"('dishonest', 'honest')",0.26581272,0.03875756,-0.4372973,-0.7410058,0.3037085
88,-1.132891,-1.1673234,"('low', 'eminent')",0.0029543526,-0.026997538,-0.5649683,-0.5971605,0.0321922
41,-1.0896248,-1.0687325,"('unforgiving', 'forgiving')",0.2514682,0.1786483,-0.4190783,-0.4450421,0.0259638
49,-1.071464,-1.131605,"('unable', 'able')",-0.20990236,-0.26729122,-0.6406832,-0.6994481,0.0587649
44,1.0504837,1.0726968,"('prejudiced', 'unprejudiced')",-1.7924831,-1.5609407,-0.3709997,-0.244122,-0.1268777
9,-1.0400689,-1.3433195,"('unaffectionate', 'caring')",1.0590483,0.42685503,0.0094897,-0.4582323,0.467722
59,1.020337,0.7964332,"('foolish', 'wise')",0.40920165,0.36368972,0.7147693,0.5800614,0.1347079
22,-0.99203694,-1.0566453,"('untrustworthy', 'trustworthy')",-0.68467593,-0.7500243,-0.8383564,-0.9033348,0.0649784
54,-0.9755324,-0.9748992,"('incapable', 'capable')",0.4107164,0.5094415,-0.282408,-0.2327288,-0.0496792
30,-0.95120573,-0.81862396,"('intolerant', 'tolerant')",0.58357316,0.83562887,-0.1838163,0.0085025,-0.1923188
17,-0.8268938,-0.9852718,"('nasty', 'nice')",-0.7349915,-0.6961576,-0.7809427,-0.8407147,0.059772
47,-0.7882927,-0.56005865,"('stupid', 'smart')",4.5113955,4.560074,1.8615514,2.0000076,-0.1384562
4,0.7724591,0.7198414,"('disliked', 'liked')",-4.162547,-3.6958828,-1.695044,-1.4880207,-0.2070233
18,-0.7338022,-0.69835246,"('disagreeable', 'welcoming')",-1.193939,-1.2499683,-0.9638706,-0.9741604,0.0102898
31,0.7074732,0.2995633,"('evil', 'good')",-0.7011387,-0.93029153,0.0031673,-0.3153641,0.3185314
5,0.67038304,0.4503619,"('distant', 'outgoing')",-0.09768538,-0.18235943,0.2863488,0.1340012,0.1523476
82,-0.65604275,-0.32044506,"('poor', 'rich')",5.3931437,5.2380533,2.3685505,2.4588041,-0.0902536
84,0.64875853,0.5397019,"('inferior', 'superior')",1.1639807,0.88249725,0.9063696,0.7110996,0.19527
67,0.6234997,0.89362717,"('doubtful', 'determined')",-0.44527882,-0.26533806,0.0891104,0.3141446,-0.2250342
33,0.61167854,0.38392413,"('wrong', 'right')",-0.3839303,-0.60072416,0.1138741,-0.1084,0.2222741
36,0.6092715,0.21281944,"('hostile', 'amicable')",0.3119362,0.03907226,0.4606039,0.1259459,0.334658
15,0.59419245,0.44494766,"('boring', 'funny')",0.3153187,0.6142163,0.4547556,0.529582,-0.0748264
52,0.50563365,0.15355623,"('irrational', 'rational')",-0.7056449,-0.8461852,-0.1000056,-0.3463145,0.2463089
6,0.5036436,0.21294975,"('distant', 'open')",0.28790718,0.071008116,0.3957754,0.1419789,0.2537965
74,-0.46298584,-0.41075185,"('undedicated', 'dedicated')",0.7765756,0.47045,0.1567949,0.0298491,0.1269458
8,-0.4272195,-0.78721005,"('unaffectionate', 'affectionate')",0.9741533,0.42116368,0.2734669,-0.1830232,0.4564901
83,-0.40227064,-0.17786252,"('powerless', 'powerful')",-0.94835687,-0.99375504,-0.6753138,-0.5858088,-0.089505
79,0.38150057,0.095323265,"('wavering', 'unwavering')",-0.034426562,-0.10071925,0.173537,-0.002698,0.176235
66,0.36564445,0.06535192,"('inactive', 'active')",1.2422894,0.742349,0.8039669,0.4038505,0.4001164
25,0.34841365,0.07041772,"('egoistic', 'altruistic')",0.4145435,0.14783773,0.3814786,0.1091277,0.2723509
27,-0.3111827,-0.75802946,"('hardhearted', 'softhearted')",0.47580653,-0.24348587,0.0823119,-0.5007577,0.5830696
40,0.29118124,0.07632009,"('stingy', 'generous')",-0.9953976,-1.1242939,-0.3521082,-0.5239869,0.1718787
2,0.28119385,0.42347527,"('unlikable', 'likable')",-0.14882821,0.1903072,0.0661828,0.3068912,-0.2407084
71,-0.27436072,-0.43103987,"('diffident', 'self-confident')",0.6680021,0.26108292,0.1968207,-0.0849785,0.2817992
68,-0.26190668,-0.23963153,"('dependent', 'independent')",-0.44766203,-0.66892356,-0.3547844,-0.4542775,0.0994931
39,-0.23829818,-0.3746005,"('exploitative', 'cooperative')",-0.23962739,-0.15132856,-0.2389628,-0.2629645,0.0240017
29,0.22703677,-0.02265335,"('unfair', 'fair')",-0.23470277,-0.47135785,-0.003833,-0.2470056,0.2431726
19,-0.22070377,-0.27477938,"('inhospitable', 'hospitable')",-0.48583624,-0.44219202,-0.35327,-0.3584857,0.0052157
37,-0.21895725,-0.492953,"('fake', 'genuine')",0.49271095,0.09377313,0.1368769,-0.1995899,0.3364668
80,-0.20572329,0.0523872,"('dominated', 'dominating')",-0.48749268,-0.36300418,-0.346608,-0.1553085,-0.1912995
87,-0.20400876,0.024277769,"('unsuccessful', 'successful')",1.2849611,1.2749552,0.5404762,0.6496165,-0.1091403
64,-0.179474,-0.17436899,"('shy', 'confident')",-5.141403,-4.7699404,-2.6604385,-2.4721546,-0.1882839
26,-0.16778357,-0.56211674,"('hardhearted', 'benevolent')",2.4148822,2.0140886,1.1235493,0.7259859,0.3975634
58,-0.12945057,-0.19141988,"('undiscriminating', 'discriminating')",0.9793942,0.60424674,0.4249718,0.2064134,0.2185584
50,0.12802324,-0.0055638105,"('clumsy', 'skillful')",-0.23245302,-0.5111479,-0.0522149,-0.2583559,0.206141
