,coca_male,coca_female,tuple,cola_male,cola_female,co_male,co_female,average_male,average_female,male-female
73,2.3619032,2.0501282,"('helpless', 'self-reliant')",0.706055,0.69709927,-3.3317266,-3.528639,-0.0879228,-0.2604705,0.1725477
85,2.0310006,2.4957123,"('insignificant', 'prestigious')",1.0885179,1.0816959,-0.99470407,-0.98635656,0.7082715,0.8636839,-0.1554124
58,1.5010127,0.90618366,"('undiscriminating', 'discriminating')",0.5333181,0.3522742,0.38711753,0.16886868,0.8071495,0.4757755,0.331374
3,-1.4058646,-1.3826156,"('repellent', 'pleasant')",-1.1266606,-1.0591518,0.6653897,0.89014024,-0.6223784,-0.517209,-0.1051694
45,-1.4028709,-1.9301562,"('incompetent', 'competent')",-0.6183035,-0.57108444,-0.2132929,-0.3829469,-0.7448224,-0.9613959,0.2165735
13,-1.3795873,-0.8825089,"('impolite', 'polite')",-0.68521595,-0.5057386,-0.055368185,0.13660465,-0.7067238,-0.4172143,-0.2895095
77,-1.3439142,-1.3563304,"('unmotivated', 'motivated')",-0.56070685,-0.65959716,-1.4994837,-1.28927,-1.1347016,-1.1017326,-0.032969
65,-1.2249384,-1.2244813,"('insecure', 'secure')",-0.3405949,-0.2344158,0.4254359,0.67827404,-0.3800325,-0.2602077,-0.1198248
84,1.1885353,0.9508553,"('inferior', 'superior')",0.86118513,0.9165285,0.6748019,0.57541066,0.9081741,0.8142649,0.0939092
18,-1.1856468,-0.56787974,"('disagreeable', 'welcoming')",-0.3579486,-0.09447096,-0.7868253,-0.79606724,-0.7768068,-0.4861393,-0.2906675
7,-1.1160369,-0.669783,"('insensitive', 'sensitive')",-0.3789099,-0.33219457,0.31369424,0.0662342,-0.3937508,-0.3119144,-0.0818364
81,-1.1050849,-0.95750016,"('submissive', 'aggressive')",-0.6845159,-0.3234738,-0.30963284,0.01889082,-0.6997445,-0.4206944,-0.2790501
74,1.101115,1.0313962,"('undedicated', 'dedicated')",0.5987052,0.602692,0.20872614,0.27644682,0.6361821,0.636845,-0.0006629
56,0.95595086,1.282025,"('impractical', 'practical')",1.0107331,1.3555932,-0.3245475,0.3162491,0.5473788,0.9846224,-0.4372436
28,-0.9278304,-1.0067754,"('disloyal', 'loyal')",-0.24669868,-0.35925508,1.2653985,1.2546002,0.0302898,-0.0371434,0.0674332
