,legg_male,legg_female,tuple,mason_male,mason_female,inc_male,inc_female,average_male,average_female,male-female
48,-2.1112359,-2.3420475,"('unintelligent', 'intelligent')",0.4103228,0.2504379,0.4793329,0.34620622,-0.4071934,-0.5818011,0.1746077
10,-1.9506054,-1.9924147,"('unsympathetic', 'sympathetic')",0.4533402,0.35816908,0.10861653,0.093327016,-0.4628829,-0.5136395,0.0507566
73,1.9085461,2.023597,"('helpless', 'self-reliant')",0.4695518,0.61659557,-2.9305015,-2.561949,-0.1841345,0.0260812,-0.2102157
0,-1.8833026,-2.1156442,"('unsociable', 'sociable')",0.50502276,0.3767949,-0.49769536,-0.44809932,-0.625325,-0.7289828,0.1036578
23,-1.7450308,-1.7365979,"('insincere', 'sincere')",1.3673093,1.2748237,6.1763453,6.256383,1.9328747,1.9315362,0.0013385
86,-1.6648545,-1.9098063,"('uninfluential', 'influential')",-0.093948536,-0.21020077,-0.15854079,-0.29877806,-0.6391146,-0.8062617,0.1671471
57,-1.6274885,-1.532549,"('unimaginative', 'imaginative')",-0.5625594,-0.53631806,-2.4699175,-2.4179852,-1.5533218,-1.4956175,-0.0577043
1,-1.5123036,-1.4601066,"('unfriendly', 'friendly')",-0.13625091,-0.33965552,1.7436852,1.6256292,0.0317102,-0.0580443,0.0897545
11,-1.4692165,-1.2992157,"('unhelpful', 'helpful')",0.66474247,0.7603387,2.2074978,2.3149054,0.4676746,0.5920095,-0.1243349
60,-1.4664437,-1.3793654,"('inefficient', 'efficient')",1.122418,1.1558152,0.029931022,0.3173654,-0.1046982,0.0312717,-0.1359699
41,-1.4285811,-1.5237123,"('unforgiving', 'forgiving')",0.14606802,0.15404004,-0.22113588,-0.33397603,-0.5012163,-0.5678828,0.0666665
28,-1.3197266,-1.501715,"('disloyal', 'loyal')",0.7757708,0.56361204,0.8158778,0.85758305,0.0906407,-0.02684,0.1174807
49,-1.2543063,-1.053372,"('unable', 'able')",-1.0759295,-0.8166845,0.0348759,0.15562788,-0.76512,-0.5714762,-0.1936438
77,-1.2475376,-1.5476252,"('unmotivated', 'motivated')",0.2950065,0.022754984,-1.0330892,-1.0237722,-0.6618734,-0.8495475,0.1876741
62,-1.2445798,-0.8291999,"('incompetent', 'brilliant')",0.24769776,0.5962903,0.31124422,0.70934653,-0.2285459,0.1588123,-0.3873582
13,-1.1584462,-1.2263601,"('impolite', 'polite')",-0.2646622,-0.31391993,-0.27628157,-0.24417369,-0.5664633,-0.5948179,0.0283546
72,-1.1517577,-1.2070192,"('unambitious', 'ambitious')",0.09050711,0.029993016,-0.8703546,-0.72646666,-0.6438684,-0.6344976,-0.0093708
35,1.1245933,1.1733322,"('corrupt', 'incorrupt')",-0.22493519,-0.29264247,-0.7337395,-0.9132442,0.0553062,-0.0108515,0.0661577
61,-1.0995246,-1.0805426,"('illogical', 'logical')",0.5897367,0.39752558,0.4166508,0.35678363,-0.0310457,-0.1087445,0.0776988
32,-1.0882165,-1.2203301,"('unkind', 'kind')",0.47820234,0.36149645,1.0838442,1.0659691,0.1579433,0.0690451,0.0888982
43,-1.0766352,-0.9769782,"('irresponsible', 'responsible')",1.406037,1.2787293,0.7018212,0.79733545,0.343741,0.3663622,-0.0226212
78,-1.0727991,-1.0265801,"('nonresilient', 'resilient')",-0.10303921,-0.013140142,1.2106705,1.1506661,0.0116107,0.0369819,-0.0253712
53,-1.05716,-0.9799404,"('uncreative', 'creative')",0.12844187,-0.05264724,0.9147201,0.857949,-0.004666,-0.0582129,0.0535469
27,-1.0522124,-0.9911276,"('hardhearted', 'softhearted')",0.20958732,0.06329801,1.6512767,1.3302234,0.2695506,0.1341313,0.1354193
46,-1.0303227,-1.0751841,"('uncompetitive', 'competitive')",-0.32304695,-0.1836387,-0.123968765,-0.064231955,-0.4924461,-0.4410183,-0.0514278
34,-0.99317837,-1.020443,"('mean', 'honorable')",0.33792832,0.23652646,6.1268206,6.1525598,1.8238568,1.7895478,0.034309
88,-0.979145,-1.121894,"('low', 'eminent')",-0.24740684,-0.33678287,0.23196514,0.22414684,-0.3315289,-0.41151,0.0799811
9,-0.9747024,-0.9189744,"('unaffectionate', 'caring')",0.9264815,0.7830362,1.3468511,1.3749629,0.4328767,0.4130082,0.0198685
59,0.95249796,0.912989,"('foolish', 'wise')",0.6546636,0.49221492,0.20212495,0.09708867,0.6030955,0.5007642,0.1023313
45,-0.915306,-0.82302517,"('incompetent', 'competent')",0.8658229,0.892436,-0.10924818,-0.14888828,-0.0529104,-0.0264925,-0.0264179
75,0.9124889,1.0204792,"('meek', 'impulsive')",-1.4597262,-1.1229419,-0.7399772,-0.6799892,-0.4290715,-0.2608173,-0.1682542
19,0.88185555,0.9788556,"('inhospitable', 'hospitable')",-0.5776992,-0.5073682,0.1939491,0.11220531,0.1660352,0.1945642,-0.028529
81,-0.84208584,-1.0199217,"('submissive', 'aggressive')",-0.71252644,-0.5837215,-1.0121632,-0.8047812,-0.8555918,-0.8028081,-0.0527837
65,-0.8340349,-1.1019748,"('insecure', 'secure')",0.89487493,0.62387687,-0.12788327,-0.09280421,-0.0223478,-0.1903007,0.1679529
3,-0.8231106,-0.8360512,"('repellent', 'pleasant')",0.10621701,0.20924878,0.19143753,0.3255966,-0.175152,-0.1004019,-0.0747501
33,0.82293683,0.68241507,"('wrong', 'right')",0.55862164,0.3659908,-0.57930976,-0.77075195,0.2674162,0.0925513,0.1748649
8,-0.81061697,-0.80307704,"('unaffectionate', 'affectionate')",-0.4361413,-0.49459633,0.9428528,0.8759866,-0.1013018,-0.1405623,0.0392605
54,-0.77725685,-0.8554749,"('incapable', 'capable')",0.43655452,0.1876422,1.296169,1.2528311,0.3184889,0.1949995,0.1234894
79,0.7585351,0.686042,"('wavering', 'unwavering')",0.12657925,-0.13043956,0.19707324,0.043607593,0.3607292,0.1997367,0.1609925
38,-0.7503152,-0.57477534,"('untruthful', 'truthful')",0.6828367,0.7689799,0.008141663,0.14220017,-0.0197789,0.1121349,-0.1319138
14,-0.73192614,-0.7791916,"('antisocial', 'social')",0.6900647,0.664916,-0.77000314,-0.5850077,-0.2706215,-0.2330945,-0.037527
63,-0.70287293,-0.79238135,"('unperceptive', 'insightful')",0.60160196,0.6579483,1.507774,1.6059492,0.4688343,0.4905054,-0.0216711
12,-0.687624,-0.5952416,"('unsupportive', 'supportive')",1.3727942,1.4713205,-1.337829,-1.2243494,-0.2175529,-0.1160902,-0.1014627
40,-0.65140736,-0.828042,"('stingy', 'generous')",0.48820943,0.23420952,-1.5447407,-1.4228489,-0.5693129,-0.6722271,0.1029142
55,-0.63267344,-0.6840978,"('incompetent', 'clever')",1.1434155,1.118129,0.16110104,0.2471107,0.2239477,0.2270473,-0.0030996
